"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Si","S","Cl","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER44L","HER44L_2A_1",1.05,539.41,6.49,1,28946,95148,1.45,22,45,71,139,640,311,22,319,34272,157,162,162,2624,106,837,828,45723,8034
"HER44L","HER44L_2A_0",1.1,541.07,6.49,1,29307,97267,1.51,0,41,79,161,697,296,23,336,35785,162,189,153,2661,71,825,946,46332,7959
"HER44L","HER44L_2A_1",1.15,542.72,6.49,1,29547,97239,1.53,0,29,78,132,667,328,59,296,35292,192,131,149,2867,158,1012,1036,46380,7762
"HER44L","HER44L_2A_2",1.2,544.38,6.49,1,29993,99524,1.57,29,31,69,181,762,371,41,266,37614,84,170,104,2954,96,812,857,46498,7911
"HER44L","HER44L_2A_3",1.25,546.03,6.48,1,29560,96377,1.4,7,43,54,157,764,407,37,296,34576,119,191,106,2731,294,943,898,46070,7988
"HER44L","HER44L_2A_4",1.3,547.69,6.48,1,29525,97230,1.66,22,43,99,224,854,483,37,337,35507,110,167,128,2775,216,968,998,45484,7951
"HER44L","HER44L_2A_5",1.35,549.34,6.48,1,28845,93709,1.33,11,39,63,175,962,427,26,345,33295,137,161,69,2795,150,859,1046,44864,7607
"HER44L","HER44L_2A_6",1.4,551,6.48,1,28731,94153,1.43,5,20,48,195,907,323,72,360,33203,222,78,205,2616,143,996,1031,44779,8142
"HER44L","HER44L_2A_7",1.45,552.65,6.47,1,28335,90730,1.53,30,45,66,165,851,337,39,276,31066,173,175,213,2575,99,874,991,44273,7677
"HER44L","HER44L_2A_8",1.5,554.31,6.47,1,28270,89696,1.4,34,41,69,141,812,361,39,284,29541,157,133,175,2580,166,965,1099,44630,7887
"HER44L","HER44L_2A_9",1.55,555.96,6.46,1,28456,90588,1.39,19,46,77,158,837,320,37,336,29743,170,155,96,2718,120,935,945,45056,8089
"HER44L","HER44L_2A_10",1.6,557.61,6.46,1,28535,90642,1.41,22,16,70,191,894,382,27,302,29965,132,173,165,2745,139,1086,953,45243,7647
"HER44L","HER44L_2A_11",1.65,559.27,6.45,1,28549,91606,1.39,24,41,80,201,871,422,45,345,29944,133,167,201,2922,209,1051,1109,44962,7874
"HER44L","HER44L_2A_12",1.7,560.92,6.45,1,28465,90907,1.44,6,30,57,192,925,394,28,339,29297,124,174,123,2806,347,944,891,45292,8000
"HER44L","HER44L_2A_13",1.75,562.58,6.45,1,28362,90324,1.42,12,50,75,190,972,406,21,347,30012,154,122,94,2715,171,1099,1217,44499,7484
"HER44L","HER44L_2A_14",1.8,564.23,6.45,1,27526,85967,1.4,15,54,51,154,789,344,0,280,26643,188,242,162,2705,105,865,1045,44064,7648
"HER44L","HER44L_2A_15",1.85,565.89,6.45,1,27707,87453,1.42,9,6,76,185,933,340,53,271,27285,149,201,244,2926,142,1096,981,44040,7863
"HER44L","HER44L_2A_16",1.9,567.54,6.45,1,28175,89327,1.39,24,30,74,196,1117,332,8,333,29857,123,140,195,2907,31,1204,918,43448,7707
"HER44L","HER44L_2A_17",1.95,569.2,6.45,1,28976,97181,1.3,51,56,68,206,1013,392,65,381,36320,134,129,207,2808,124,1229,925,44226,8050
"HER44L","HER44L_2A_18",2,570.85,6.45,1,28447,90988,1.43,21,30,75,197,942,342,22,347,30212,156,180,190,2995,61,805,890,44586,7656
"HER44L","HER44L_2A_19",2.05,572.51,6.45,1,28573,95467,1.41,38,57,45,183,936,377,52,287,34845,165,210,167,2714,208,1039,973,44574,7740
"HER44L","HER44L_2A_20",2.1,574.16,6.45,1,28681,93130,1.4,19,61,75,163,800,329,59,235,33208,87,134,92,2578,214,964,1045,44951,7580
"HER44L","HER44L_2A_21",2.15,575.82,6.45,1,28812,91494,1.46,34,35,70,159,872,358,8,251,30260,135,170,210,2650,174,832,1089,45559,8046
"HER44L","HER44L_2A_22",2.2,577.47,6.45,1,28530,89594,1.29,26,28,52,169,851,339,22,275,28545,124,152,139,2561,147,713,1111,45555,7876
"HER44L","HER44L_2A_23",2.25,579.13,6.45,1,28635,89397,1.33,38,42,65,214,912,328,6,258,27547,148,197,165,2809,215,983,891,46202,7828
"HER44L","HER44L_2A_24",2.3,580.78,6.45,1,28625,88780,1.56,24,50,79,193,822,395,47,353,27305,161,149,121,3024,77,852,951,45703,7562
"HER44L","HER44L_2A_25",2.35,582.44,6.45,1,28611,88974,1.3,29,61,62,196,978,396,13,299,26975,134,205,125,3072,132,871,1089,45887,7854
"HER44L","HER44L_2A_26",2.4,584.09,6.45,1,28117,86446,1.4,15,30,60,143,799,326,34,266,24942,137,203,162,2905,114,889,1120,46107,7575
"HER44L","HER44L_2A_27",2.45,585.75,6.45,1,28602,88955,1.35,25,45,68,183,841,325,21,237,26862,115,216,175,2781,94,856,1157,46229,7919
"HER44L","HER44L_2A_28",2.5,587.4,6.45,1,28855,90200,1.42,45,37,88,202,818,345,25,250,28066,122,126,163,3133,54,763,923,46554,7756
"HER44L","HER44L_2A_29",2.55,589.06,6.46,1,29201,91379,1.41,28,30,66,156,776,323,56,306,29617,121,109,151,2791,153,849,972,46026,7945
"HER44L","HER44L_2A_30",2.6,590.71,6.46,1,28830,89629,1.44,26,49,73,200,812,385,15,285,27316,147,183,126,2871,196,769,1173,46704,7778
"HER44L","HER44L_2A_31",2.65,592.37,6.46,1,29030,90441,1.4,16,51,41,132,739,370,9,259,29067,164,99,192,2850,0,674,923,46602,7618
"HER44L","HER44L_2A_32",2.7,594.02,6.46,1,29874,97486,1.46,18,27,68,198,906,413,51,338,34541,172,95,118,3156,0,575,1098,47176,7894
"HER44L","HER44L_2A_33",2.75,595.68,6.47,1,29450,91637,1.32,15,20,34,182,888,344,28,347,29653,209,236,190,3078,82,758,885,46857,7421
"HER44L","HER44L_2A_34",2.8,597.33,6.47,1,29390,92158,1.34,14,12,45,166,777,337,50,264,30195,145,192,160,3072,115,782,785,46462,8018
"HER44L","HER44L_2A_35",2.85,598.99,6.46,1,29279,90927,1.35,0,17,66,195,799,388,38,312,29211,152,142,140,3096,76,792,1030,46327,7640
"HER44L","HER44L_2A_36",2.9,600.64,6.46,1,29371,91272,1.45,8,48,72,179,903,356,40,299,29065,153,196,136,3070,336,817,1012,46402,7726
"HER44L","HER44L_2A_37",2.95,602.3,6.46,1,29344,90978,1.31,7,63,70,179,826,374,32,296,28281,160,196,149,2816,63,843,1269,46994,7707
"HER44L","HER44L_2A_38",3,603.95,6.47,1,28992,88810,1.39,49,41,113,195,823,303,26,330,26419,175,198,56,3069,209,805,812,46640,7747
"HER44L","HER44L_2A_39",3.05,605.61,6.47,1,29049,89440,1.3,35,42,47,140,718,333,0,285,26095,149,154,124,3094,153,836,791,47488,7998
"HER44L","HER44L_2A_40",3.1,607.26,6.48,1,29211,90620,1.38,18,33,74,135,726,373,25,279,26536,118,174,88,3132,175,943,1233,47848,8039
"HER44L","HER44L_2A_41",3.15,608.91,6.49,1,29698,92701,1.3,22,50,83,192,794,338,13,325,27961,156,147,167,3243,0,955,1192,48224,8123
"HER44L","HER44L_2A_42",3.2,610.57,6.49,1,29499,92108,1.32,21,44,73,133,791,302,40,322,28370,166,109,174,3032,180,892,1036,47992,7757
