"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Si","S","Cl","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER44L","HER44L_2A","HER44L_2A_1",1.05,539.41,6.49,1,28946,95148,1.45,-2.64875045882092,-1.93313042240891,-1.47711303513792,-0.805318979048542,0.721675264174483,0,-2.64875045882092,0.0253981906056104,4.70229106106824,-0.683547106830926,-0.65219657694685,-0.65219657694685,2.13266223788475,-1.07635381806717,0.990031158310241,4.99056382037473,3.25164490273999,53757,5.69118745332338,0.175710255232596,-0.805318979048542,-1.52699424322303,-0.721675264174483
"HER44L","HER44L_2A","HER44L_2A_0",1.1,541.07,6.49,1,29307,97267,1.51,NA,-1.97678738761975,-1.32091160185704,-0.608955089339597,0.856425956436464,0,-2.55486523839491,0.126751705639144,4.79492463584864,-0.602763119091676,-0.448612439264418,-0.659921532931625,2.19609781665363,-1.42767957728275,1.02502393201062,5.05322869172818,3.29169918848179,54291,5.82133433848473,0.171781921781922,-0.608955089339597,-1.46538104577606,-0.856425956436463
"HER44L","HER44L_2A","HER44L_2A_1",1.15,542.72,6.49,1,29547,97239,1.53,NA,-2.42571777839767,-1.43630478169455,-0.910211685797773,0.70977643753148,0,-1.71547616447842,-0.102654154060083,4.67839797995785,-0.535518236356362,-0.917816285182992,-0.789067302438685,2.16800785749923,-0.730418575357177,1.12667024146327,4.95161000242538,3.16398170354471,54142,5.97526410718887,0.167356619232428,-0.910211685797773,-1.61998812332925,-0.70977643753148
"HER44L","HER44L_2A","HER44L_2A_2",1.2,544.38,6.49,1,29993,99524,1.57,-2.54890623262096,-2.48221485812229,-1.68209555801018,-0.717705031341609,0.719744493079211,0,-2.20262999590313,-0.332705753825736,4.61892953789459,-1.48538526376412,-0.780403625557173,-1.27181116346606,2.07471340048389,-1.3518538711396,0.783298277554243,4.83096251729034,3.05980741241396,54409,5.87763873088105,0.170136349950536,-0.717705031341609,-1.43744952442082,-0.719744493079211
"HER44L","HER44L_2A","HER44L_2A_3",1.25,546.03,6.48,1,29560,96377,1.4,-4.06290303638728,-2.24761306974903,-2.01982913887832,-0.952567380094287,0.629754603723925,0,-2.39789527279837,-0.318453731118535,4.44210189330407,-1.22968969233107,-0.756539757395965,-1.34537409133053,1.90360993603111,-0.325233418103913,0.840253097190862,4.72910407248737,2.97688250909311,54058,5.76740110165248,0.173388322118515,-0.952567380094287,-1.58232198381821,-0.629754603723926
"HER44L","HER44L_2A","HER44L_2A_4",1.3,547.69,6.48,1,29525,97230,1.66,-3.08897420029426,-2.41881653795901,-1.58489680351798,-0.768370601797533,0.569914540135997,0,-2.56909874100835,-0.359933723300211,4.29746848547149,-1.47953628786016,-1.06202284123582,-1.32798638973296,1.74838937252796,-0.804738245968408,0.695215433624004,4.54509924109204,2.80103633224891,53435,5.72053829706955,0.174808723946882,-0.768370601797533,-1.33828514193353,-0.569914540135997
"HER44L","HER44L_2A","HER44L_2A_5",1.35,549.34,6.48,1,28845,93709,1.33,-3.65888874043025,-2.39322236709898,-1.91364928683709,-0.89199803930511,0.812230437437082,0,-2.79868747520714,-0.213239596197265,4.3563785013161,-1.1368030874005,-0.975379648244162,-1.82267750863137,1.87880337236058,-1.04614871913237,0.698984908755631,4.65460695716564,2.88004014176868,52471,5.89772577888787,0.169556883024251,-0.89199803930511,-1.70422847674219,-0.812230437437082
"HER44L","HER44L_2A","HER44L_2A_6",1.4,551,6.48,1,28731,94153,1.43,-4.16821441078856,-2.78192004966867,-1.90645131231477,-0.50465276465891,1.03249012689248,0,-1.5009862042066,0.108451708227499,4.63274318904536,-0.374974941350377,-1.42094349653306,-0.454642344084248,2.09174938935443,-0.814807692962749,1.12609493436194,4.93184223528279,3.22713880584027,52921,5.49975436010808,0.181826302507872,-0.50465276465891,-1.53714289155139,-1.03249012689248
"HER44L","HER44L_2A","HER44L_2A_7",1.45,552.65,6.47,1,28335,90730,1.53,-2.41888554869021,-2.01342044058204,-1.63042818832594,-0.714137456451781,0.926329198221012,0,-2.15652128422272,-0.199682064635212,4.52378632219549,-0.666791335854583,-0.655296956428848,-0.458790764642937,2.03352188274547,-1.22496308021777,0.952997445303174,4.87804735905929,3.12590119447554,51950,5.7669662628631,0.173401395884625,-0.714137456451781,-1.64046665467279,-0.926329198221012
"HER44L","HER44L_2A","HER44L_2A_8",1.5,554.31,6.47,1,28270,89696,1.4,-2.36251743371672,-2.17530589162857,-1.65477145373562,-0.940118067954713,0.810622381828797,0,-2.22531631220323,-0.239903720171675,4.40465644958303,-0.832632152984573,-0.998528830111127,-0.724091984409367,1.96666671958278,-0.776890169976338,0.983250143006105,4.81728359929043,3.08409315506511,52517,5.65867883859516,0.176719695272238,-0.940118067954713,-1.75074044978351,-0.810622381828797
