"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Si","K","Ca","Ti","Mn","Fe","Ni","Cu","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca","cps_sum_all","cps_sum_filtered","cps_sum_filtered_pc"
"HER44L","HER44L_2A","HER44L_2A_1",1.05,539.41,6.49,1,28946,95148,1.45,0.0231218732921344,0.146088199436667,0.672636313952999,0.326859208811536,0.335267162735948,36.0196746121831,0.165006095766595,0.170261066969353,2.7578088872073,0.111405389498466,0.879682179341657,48.0546096607391,8.44368772859125,5.69118745332338,0.175710255232596,-0.805318979048542,-1.52699424322303,-0.721675264174483,100,98.4214066506916,98.1061083785261
"HER44L","HER44L_2A","HER44L_2A_0",1.1,541.07,6.49,1,29307,97267,1.51,0,0.165523764483329,0.71658424748373,0.304316983149475,0.345440899791296,36.7904839256891,0.166551862399375,0.194310506132604,2.73576855459714,0.0729949520392322,0.848180780737558,47.6338326462212,8.18263131380633,5.82133433848473,0.171781921781922,-0.608955089339597,-1.46538104577606,-0.856425956436463,100,98.4609374196799,98.1566204365304
"HER44L","HER44L_2A","HER44L_2A_1",1.15,542.72,6.49,1,29547,97239,1.53,0,0.135748002344738,0.685938769423791,0.337313217947531,0.304404611318504,36.2940795359887,0.197451639774165,0.134719608387581,2.94840547516943,0.162486245230823,1.04073468464299,47.6969117329467,7.98239389545347,5.97526410718887,0.167356619232428,-0.910211685797773,-1.61998812332925,-0.70977643753148,100,98.2445315151328,97.9205874186283
"HER44L","HER44L_2A","HER44L_2A_2",1.2,544.38,6.49,1,29993,99524,1.57,0.0291387002130139,0.181865680639846,0.765644467666091,0.372774406173385,0.267272215746955,37.7938989590451,0.0844017523411438,0.17081307021422,2.96812829066356,0.0964591455327358,0.815883605964391,46.720389051887,7.94883646155701,5.87763873088105,0.170136349950536,-0.717705031341609,-1.43744952442082,-0.719744493079211,100,98.461677585306,98.2155058076444
"HER44L","HER44L_2A","HER44L_2A_3",1.25,546.03,6.48,1,29560,96377,1.4,0.00726314369611007,0.162901937184183,0.792720254832585,0.422299926330971,0.307127219149797,35.8757794909574,0.123473442833871,0.198180063708146,2.83366363343951,0.305052035236623,0.978449215061685,47.8018614399701,8.28828454921818,5.76740110165248,0.173388322118515,-0.952567380094287,-1.58232198381821,-0.629754603723926,100,98.3460784212001,98.0970563516192
"HER44L","HER44L_2A","HER44L_2A_4",1.3,547.69,6.48,1,29525,97230,1.66,0.0226267612876684,0.230381569474442,0.87832973362131,0.496760259179266,0.346600843361103,36.5185642291474,0.113133806438342,0.171757687956392,2.85405738969454,0.222153656278926,0.99557749665741,46.779800473105,8.17751722719325,5.72053829706955,0.174808723946882,-0.768370601797533,-1.33828514193353,-0.569914540135997,100,98.123007302273,97.807261133395
"HER44L","HER44L_2A","HER44L_2A_5",1.35,549.34,6.48,1,28845,93709,1.33,0.0117384669562155,0.186748337939792,1.02658229198903,0.455665944573093,0.368161009081305,35.5302052097451,0.146197270272866,0.171808470904609,2.9826377402384,0.160070003948393,0.916667555944466,47.8758710476048,8.11768346690286,5.89772577888787,0.169556883024251,-0.89199803930511,-1.70422847674219,-0.812230437437082,100,98.1602620879531,97.9500368161009
"HER44L","HER44L_2A","HER44L_2A_6",1.4,551,6.48,1,28731,94153,1.43,0.00531050524146867,0.207109704417278,0.963325650802417,0.343058638598876,0.382356377385745,35.2649411064969,0.235786432721209,0.0828438817669113,2.77845634233641,0.151880449906004,1.05785264410056,47.5598228415451,8.64762673520759,5.49975436010808,0.181826302507872,-0.50465276465891,-1.53714289155139,-1.03249012689248,100,98.0467961721878,97.6803713105265
"HER44L","HER44L_2A","HER44L_2A_7",1.45,552.65,6.47,1,28335,90730,1.53,0.0330651383224953,0.181858260773724,0.93794775708145,0.371431720489364,0.304199272566957,34.2400529042213,0.190675630993056,0.192879973547889,2.83809103934751,0.109114956464235,0.96329769646203,48.7964289650612,8.46136889672655,5.7669662628631,0.173401395884625,-0.714137456451781,-1.64046665467279,-0.926329198221012,100,98.0205003857599,97.6204122120578
"HER44L","HER44L_2A","HER44L_2A_8",1.5,554.31,6.47,1,28270,89696,1.4,0.0379058151980021,0.15719764537995,0.905280057081698,0.402470567249376,0.316625044595077,32.9345790224759,0.175035676061363,0.148278630039244,2.87638244737781,0.185069568319658,1.07585622547271,49.7569568319658,8.79303424901891,5.65867883859516,0.176719695272238,-0.940118067954713,-1.75074044978351,-0.810622381828797,100,98.1258919015341,97.7646717802355
"HER44L","HER44L_2A","HER44L_2A_9",1.55,555.96,6.46,1,28456,90588,1.39,0.020974080452157,0.174416037444253,0.923963438866075,0.353247670773171,0.370910054311829,32.8332670993951,0.187662825098247,0.171104340530755,3.00039740362962,0.132467876539939,1.03214553804036,49.7372720448625,8.92943877776306,5.57003337866238,0.179532137784091,-0.705725962766805,-1.66722903746251,-0.961503074695703,100,98.1498653243255,97.867267187707
"HER44L","HER44L_2A","HER44L_2A_10",1.6,557.61,6.46,1,28535,90642,1.41,0.0242713091061539,0.210719092694336,0.986297742768253,0.421438185388672,0.333178879548112,33.0586262439046,0.145627854636923,0.19086074888021,3.0283974316542,0.153350543897972,1.1981200767856,49.9139471768055,8.43648639703449,5.91643781875245,0.16902062197467,-0.693147180559945,-1.54343234712688,-0.850285166566939,100,98.4080227709009,98.101321683105
"HER44L","HER44L_2A","HER44L_2A_11",1.65,559.27,6.45,1,28549,91606,1.39,0.0261991572604415,0.219417942056197,0.950811082243521,0.460668515162762,0.376612885618846,32.6878152086108,0.145186996484946,0.182302469270572,3.18974739645875,0.228150994476344,1.14730476169683,49.081937864332,8.59550684452983,5.71018542037084,0.175125661669855,-0.741700405976936,-1.46633706879343,-0.724636662816491,100,97.6922908979761,97.2916621182019
"HER44L","HER44L_2A","HER44L_2A_12",1.7,560.92,6.45,1,28465,90907,1.44,0.00660015180349148,0.211204857711727,1.01752340303827,0.433409968429274,0.372908576897269,32.2274412311483,0.136403137272157,0.191404402301253,3.08667099343285,0.381708779301924,1.03842388374933,49.822345913956,8.80020240465531,5.6615,0.176631634725779,-0.718855537270152,-1.57229836548464,-0.853442828214491,100,97.9880537252357,97.7262477036972
"HER44L","HER44L_2A","HER44L_2A_13",1.75,562.58,6.45,1,28362,90324,1.42,0.0132855055134848,0.210353837296842,1.07612594659227,0.449492936539569,0.384172534431602,33.2270492892255,0.170497320756388,0.135069306053762,3.00584562242593,0.189318453567158,1.21673087994332,49.26597582038,8.28572693857668,5.94588455371459,0.168183554686622,-0.759329087441246,-1.63233173229995,-0.873002644858706,100,97.8953545015721,97.6296443913024
"HER44L","HER44L_2A","HER44L_2A_14",1.8,564.23,6.45,1,27526,85967,1.4,0.0174485558411949,0.179138506636267,0.91779403724685,0.400153547291403,0.325706375702304,30.9921248851303,0.218688566542976,0.281503367571277,3.14655623669548,0.122139890888364,1.0062000535089,51.2568776390941,8.89643700489723,5.76150627615063,0.17356572258533,-0.803689054959769,-1.63381371843224,-0.830124663472476,100,98.0713529610199,97.7607686670466
"HER44L","HER44L_2A","HER44L_2A_15",1.85,565.89,6.45,1,27707,87453,1.42,0.0102912421529279,0.211542199810184,1.06685876985352,0.388780259110608,0.309880735938161,31.1996157936263,0.170377231198472,0.229837741415389,3.34579717105188,0.162372931746195,1.25324459995655,50.358478268327,8.99111522760797,5.60091568103777,0.178542234332425,-0.608589792531882,-1.61804937576902,-1.00945958323714,100,98.1315678135684,97.6981921717951
"HER44L","HER44L_2A","HER44L_2A_16",1.9,567.54,6.45,1,28175,89327,1.39,0.0268675764326575,0.219418540866703,1.25046178646994,0.371668140651763,0.372787623003123,33.4243845645773,0.13769632921737,0.156727529190502,3.25433519540564,0.0347039528921827,1.34785675103832,48.639269201921,8.62785048193715,5.63747242766316,0.17738445958387,-0.527020309685971,-1.74028713983868,-1.21326683015271,100,98.2077087554715,97.8640276736037
"HER44L","HER44L_2A","HER44L_2A_17",1.95,569.2,6.45,1,28976,97181,1.3,0.0524793941202498,0.211975591936695,1.04238482831006,0.40337102931643,0.392051944310102,37.3735606754407,0.137887035531637,0.132741996892397,2.88945369979729,0.127596958253156,1.26465049752524,45.5088957718072,8.28351220917669,5.49391304347826,0.182019626464071,-0.643385671000882,-1.5927953354591,-0.949409664458221,100,98.2280486926457,97.8205616324179
