"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Si","S","Cl","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER44L","HER44L_2A","HER44L_2A_1",1.05,539.41,6.49,1,28946,95148,1.45,-0.840720329160663,-1.49221482006734,-0.49833506036124,-1.23838936444431,-1.11527179272295,-1.36140599137923,-1.58073158907718,-1.05941904209673,-1.18620616507748,0.059831665897292,-0.853934704080264,-0.484684661556412,1.45654029860789,-1.44271186392442,-1.22933345152681,NA,-1.21666781784461,53757,5.69118745332338,0.175710255232596,-0.805318979048542,-1.52699424322303,-0.721675264174483
"HER44L","HER44L_2A","HER44L_2A_0",1.1,541.07,6.49,1,29307,97267,1.51,NA,-1.54941949102976,-0.196436022585312,-1.1854617941789,-1.08711575725612,-1.39329719597691,-1.56549386875996,-1.02174143807946,-1.13327767946283,0.111632335701708,-0.589252797763964,-0.584410803884755,1.45999455883586,-1.60189884239428,-1.24336225924452,NA,-1.31667221836625,54291,5.82133433848473,0.171781921781922,-0.608955089339597,-1.46538104577606,-0.856425956436463
"HER44L","HER44L_2A","HER44L_2A_1",1.15,542.72,6.49,1,29547,97239,1.53,NA,-1.69904279025271,-0.24268702072582,-1.26199957169993,-1.10494156366527,-1.34055054832432,-0.790886835033953,-1.14084037768036,-1.15980528751393,0.642329831768655,-1.20865821047829,-0.62154046097377,1.80209553736769,-1.2222631684153,-1.13066734098256,NA,-1.42932806445107,54142,5.97526410718887,0.167356619232428,-0.910211685797773,-1.61998812332925,-0.70977643753148
"HER44L","HER44L_2A","HER44L_2A_2",1.2,544.38,6.49,1,29993,99524,1.57,-0.78911200365618,-1.67517097809777,-0.634941079602897,-1.13462202708762,-1.05094196207811,-1.27055336686919,-1.18068713204127,-1.23138652586262,-1.0483774496696,-1.28272164042448,-0.798154570747056,-1.02568395713878,1.93591662890321,-1.49410104473959,-1.25299762968139,NA,-1.35856388224342,54409,5.87763873088105,0.170136349950536,-0.717705031341609,-1.43744952442082,-0.719744493079211
"HER44L","HER44L_2A","HER44L_2A_3",1.25,546.03,6.48,1,29560,96377,1.4,-0.959929796809296,-1.5215030109011,-1.25320064853576,-1.1936238173208,-1.04567660936561,-1.20451440570281,-1.2592107480206,-1.13496115326158,-1.18399421342496,-0.642054453440715,-0.556370706872785,-0.99910183771314,1.60411066156407,-0.619667683849718,-1.16859932940437,NA,-1.27577775136748,54058,5.76740110165248,0.173388322118515,-0.952567380094287,-1.58232198381821,-0.629754603723926
"HER44L","HER44L_2A","HER44L_2A_4",1.3,547.69,6.48,1,29525,97230,1.66,-0.839804830786309,-1.51457348713526,0.738480965624127,-1.00899926693283,-0.986677746617445,-1.06675171520295,-1.24887790796526,-1.00022130816294,-1.1140409450185,-0.777855858595627,-0.790478619726267,-0.786527582709054,1.73925352819119,-0.950375455038337,-1.14576099560262,NA,-1.23961828702228,53435,5.72053829706955,0.174808723946882,-0.768370601797533,-1.33828514193353,-0.569914540135997
"HER44L","HER44L_2A","HER44L_2A_5",1.35,549.34,6.48,1,28845,93709,1.33,-0.926166452770364,-1.55842270710431,-0.792955117176976,-1.13364385546025,-0.914912986552441,-1.15177314994675,-1.48249706159377,-0.96179124886566,-1.20344108353756,-0.253735382980184,-0.831449804793634,-1.31501073818912,1.83987666740112,-1.23506530607953,-1.20572261105375,NA,-1.37331549213418,52471,5.89772577888787,0.169556883024251,-0.89199803930511,-1.70422847674219,-0.812230437437082
"HER44L","HER44L_2A","HER44L_2A_6",1.4,551,6.48,1,28731,94153,1.43,-0.97451640989692,-1.80198000644089,-1.45187767906059,-1.07838344259874,-0.94687114048397,-1.32965227112208,-0.455556058081009,-0.913933022489729,-1.20494007366387,1.31721213668262,-1.7430801101472,-0.0560972043091094,1.53704182469622,-1.2654440430008,-1.11879496415568,NA,-1.06097033212813,52921,5.49975436010808,0.181826302507872,-0.50465276465891,-1.53714289155139,-1.03249012689248
"HER44L","HER44L_2A","HER44L_2A_7",1.45,552.65,6.47,1,28335,90730,1.53,-0.769583449149096,-1.47364015348185,-0.621426498763112,-1.15479678777018,-0.974680458851543,-1.29887994222859,-1.18154622976153,-1.16110397779231,-1.2973061639788,0.450795531306761,-0.651701930118465,0.0403982900822505,1.5168706252227,-1.45935839323608,-1.18903248920243,NA,-1.27544492978836,51950,5.7669662628631,0.173401395884625,-0.714137456451781,-1.64046665467279,-0.926329198221012
"HER44L","HER44L_2A","HER44L_2A_8",1.5,554.31,6.47,1,28270,89696,1.4,-0.739092505412479,-1.52997262340065,-0.511786098205716,-1.22387397621975,-1.00233436287407,-1.26207089057157,-1.18858285164864,-1.1433906994844,-1.38964569597349,0.129214363131658,-1.13186447487351,-0.328129010787657,1.4892964445483,-1.15889738384043,-1.13621359807643,NA,-1.19097029310683,52517,5.65867883859516,0.176719695272238,-0.940118067954713,-1.75074044978351,-0.810622381828797
"HER44L","HER44L_2A","HER44L_2A_9",1.55,555.96,6.46,1,28456,90588,1.39,-0.862251189081877,-1.4710292252601,-0.188704270780082,-1.18158820277898,-0.992031712572685,-1.3382148804457,-1.24116121112134,-0.993624251627732,-1.39376558012461,0.339830422142184,-0.904736248575607,-1.06956849126679,1.68573558023206,-1.37282097268718,-1.16065010079638,NA,-1.11937335997197,53145,5.57003337866238,0.179532137784091,-0.705725962766805,-1.66722903746251,-0.961503074695703
"HER44L","HER44L_2A","HER44L_2A_10",1.6,557.61,6.46,1,28535,90642,1.41,-0.838871877191961,-1.85556708393751,-0.509495105863104,-1.0945793589025,-0.960193877555891,-1.23470219662669,-1.4652728261226,-1.10072693706957,-1.38870943098113,-0.366023775426653,-0.715358231482457,-0.44165944842463,1.71285929299291,-1.28998632519651,-1.06934363991995,NA,-1.38696720104836,52890,5.91643781875245,0.16902062197467,-0.693147180559945,-1.54343234712688,-0.850285166566939
