"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Si","S","Cl","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER44L","HER44L_2A","HER44L_2A_18",2,570.85,6.45,1,28447,90988,1.43,21,30,75,197,942,342,22,347,30212,156,180,190,2995,61,805,44586,7656,52242,5.82366771159875,0.171713093796259,-0.551607008324617,-1.56480154583837,-1.01319453751376
"HER44L","HER44L_2A","HER44L_2A_19",2.05,572.51,6.45,1,28573,95467,1.41,38,57,45,183,936,377,52,287,34845,165,210,167,2714,208,1039,44574,7740,52314,5.75891472868217,0.173643828240678,-0.72275903460659,-1.63212932363617,-0.909370289029581
"HER44L","HER44L_2A","HER44L_2A_20",2.1,574.16,6.45,1,28681,93130,1.4,19,61,75,163,800,329,59,235,33208,87,134,92,2578,214,964,44951,7580,52531,5.9302110817942,0.168628061667149,-0.70230754995861,-1.59086152686116,-0.888553976902555
"HER44L","HER44L_2A","HER44L_2A_21",2.15,575.82,6.45,1,28812,91494,1.46,34,35,70,159,872,358,8,251,30260,135,170,210,2650,174,832,45559,8046,53605,5.6623166790952,0.176606159046511,-0.811628784180469,-1.70188522168875,-0.890256437508279
"HER44L","HER44L_2A","HER44L_2A_22",2.2,577.47,6.45,1,28530,89594,1.29,26,28,52,169,851,339,22,275,28545,124,152,139,2561,147,713,45555,7876,53431,5.78402742508888,0.172889913291626,-0.696101392457377,-1.6165134136503,-0.920412021192924
"HER44L","HER44L_2A","HER44L_2A_23",2.25,579.13,6.45,1,28635,89397,1.33,38,42,65,214,912,328,6,258,27547,148,197,165,2809,215,983,46202,7828,54030,5.90214614205416,0.169429894809748,-0.427037593362292,-1.44966397505248,-1.02262638169019
"HER44L","HER44L_2A","HER44L_2A_24",2.3,580.78,6.45,1,28625,88780,1.56,24,50,79,193,822,395,47,353,27305,161,149,121,3024,77,852,45703,7562,53265,6.04377148902407,0.165459597838216,-0.716195575996236,-1.44905020615129,-0.732854630155058
"HER44L","HER44L_2A","HER44L_2A_25",2.35,582.44,6.45,1,28611,88974,1.3,29,61,62,196,978,396,13,299,26975,134,205,125,3072,132,871,45887,7854,53741,5.84250063661828,0.171159587682786,-0.703299552023963,-1.6073950108043,-0.904095458780337
"HER44L","HER44L_2A","HER44L_2A_26",2.4,584.09,6.45,1,28117,86446,1.4,15,30,60,143,799,326,34,266,24942,137,203,162,2905,114,889,46107,7575,53682,6.08673267326733,0.164291756132474,-0.8240527511068,-1.72051631550637,-0.896463564399567
"HER44L","HER44L_2A","HER44L_2A_27",2.45,585.75,6.45,1,28602,88955,1.35,25,45,68,183,841,325,21,237,26862,115,216,175,2781,94,856,46229,7919,54148,5.83773203687334,0.171299400809016,-0.574339029488317,-1.52510550713153,-0.950766477643211
"HER44L","HER44L_2A","HER44L_2A_28",2.5,587.4,6.45,1,28855,90200,1.42,45,37,88,202,818,345,25,250,28066,122,126,163,3133,54,763,46554,7756,54310,6.00232078390923,0.166602225372685,-0.535276719630155,-1.39859463920154,-0.863317919571387
"HER44L","HER44L_2A","HER44L_2A_29",2.55,589.06,6.46,1,29201,91379,1.41,28,30,66,156,776,323,56,306,29617,121,109,151,2791,153,849,46026,7945,53971,5.79307740717432,0.172619823577978,-0.727796315973119,-1.60429651293368,-0.876500196960562
"HER44L","HER44L_2A","HER44L_2A_30",2.6,590.71,6.46,1,28830,89629,1.44,26,49,73,200,812,385,15,285,27316,147,183,126,2871,196,769,46704,7778,54482,6.00462843918745,0.166538198013018,-0.654925967739748,-1.40118297361364,-0.746257005873894
"HER44L","HER44L_2A","HER44L_2A_31",2.65,592.37,6.46,1,29030,90441,1.4,16,51,41,132,739,370,9,259,29067,164,99,192,2850,NA,674,46602,7618,54220,6.11735363612497,0.16346937899661,-1.0307010830519,-1.72249599836183,-0.691794915309932
"HER44L","HER44L_2A","HER44L_2A_32",2.7,594.02,6.46,1,29874,97486,1.46,18,27,68,198,906,413,51,338,34541,172,95,118,3156,NA,575,47176,7894,55070,5.97618444388143,0.167330846192979,-0.735180562266498,-1.52077227534844,-0.785591713081947
"HER44L","HER44L_2A","HER44L_2A_33",2.75,595.68,6.47,1,29450,91637,1.32,15,20,34,182,888,344,28,347,29653,209,236,190,3078,82,758,46857,7421,54278,6.31410861069937,0.158375482852082,-0.636634970296603,-1.58496505591537,-0.948330085618772
"HER44L","HER44L_2A","HER44L_2A_34",2.8,597.33,6.47,1,29390,92158,1.34,14,12,45,166,777,337,50,264,30195,145,192,160,3072,115,782,46462,8018,54480,5.79471189822898,0.172571133399337,-0.708095141995818,-1.5434525620111,-0.835357420015286
"HER44L","HER44L_2A","HER44L_2A_35",2.85,598.99,6.46,1,29279,90927,1.35,NA,17,66,195,799,388,38,312,29211,152,142,140,3096,76,792,46327,7640,53967,6.06374345549738,0.1649146286183,-0.688005781059527,-1.41036138720253,-0.722355606143001
"HER44L","HER44L_2A","HER44L_2A_36",2.9,600.64,6.46,1,29371,91272,1.45,8,48,72,179,903,356,40,299,29065,153,196,136,3070,336,817,46402,7726,54128,6.00595392182242,0.16650144390328,-0.687544925011276,-1.61833674757623,-0.930791822564955
"HER44L","HER44L_2A","HER44L_2A_37",2.95,602.3,6.46,1,29344,90978,1.31,7,63,70,179,826,374,32,296,28281,160,196,149,2816,63,843,46994,7707,54701,6.09757363435838,0.163999659531004,-0.736869991573777,-1.52920896768022,-0.792338976106446
"HER44L","HER44L_2A","HER44L_2A_38",3,603.95,6.47,1,28992,88810,1.39,49,41,113,195,823,303,26,330,26419,175,198,56,3069,209,805,46640,7747,54387,6.02039499160966,0.166102058319039,-0.440733246945622,-1.43995664211332,-0.999223395167701
"HER44L","HER44L_2A","HER44L_2A_39",3.05,605.61,6.47,1,29049,89440,1.3,35,42,47,140,718,333,NA,285,26095,149,154,124,3094,153,836,47488,7998,55486,5.93748437109277,0.168421495956873,-0.866500067371139,-1.63482714643892,-0.76832707906778
"HER44L","HER44L_2A","HER44L_2A_40",3.1,607.26,6.48,1,29211,90620,1.38,18,33,74,135,726,373,25,279,26536,118,174,88,3132,175,943,47848,8039,55887,5.95198407762159,0.16801120214011,-1.01630364120539,-1.68227523638637,-0.66597159518098
"HER44L","HER44L_2A","HER44L_2A_41",3.15,608.91,6.49,1,29698,92701,1.3,22,50,83,192,794,338,13,325,27961,156,147,167,3243,NA,955,48224,8123,56347,5.93672288563339,0.168443098871931,-0.565550523455237,-1.41958808921935,-0.854037565764117
"HER44L","HER44L_2A","HER44L_2A_42",3.2,610.57,6.49,1,29499,92108,1.32,21,44,73,133,791,302,40,322,28370,166,109,174,3032,180,892,47992,7757,55749,6.18692793605775,0.161631105184197,-0.820077889153116,-1.7829488395459,-0.962870950392784
"HER44L","HER44L_2A","HER44L_2A_43",3.25,612.22,6.49,1,29320,89258,1.43,17,48,57,144,781,369,31,273,25709,145,162,111,3087,198,638,48028,7859,55887,6.11121007761802,0.163633713667028,-0.940983344464527,-1.69076185026369,-0.749778505799159
"HER44L","HER44L_2A","HER44L_2A_44",3.3,613.88,6.5,1,29602,90374,1.51,NA,46,88,140,750,318,26,329,25792,166,111,143,3236,236,706,48406,8311,56717,5.82432920226206,0.171693591703508,-0.820408960170873,-1.67843078392105,-0.858021823750179
"HER44L","HER44L_2A","HER44L_2A_45",3.35,615.53,6.5,1,29887,92072,1.29,47,28,73,144,792,369,29,415,27081,135,193,152,3417,NA,717,48833,8122,56955,6.01243536074858,0.166321954416071,-0.940983344464527,-1.70474809223843,-0.763764747773899
"HER44L","HER44L_2A","HER44L_2A_46",3.4,617.19,6.51,1,29624,91243,1.43,41,35,57,175,726,356,NA,351,27070,159,180,134,3321,99,840,47765,7946,55711,6.01120060407752,0.166356118496807,-0.710144756928516,-1.42276404090128,-0.712619283972766
"HER44L","HER44L_2A","HER44L_2A_47",3.45,618.84,6.51,1,29199,89151,1.43,17,15,61,147,791,324,23,302,25485,138,220,65,3120,114,747,47826,7957,55783,6.01055674249089,0.166373938861707,-0.790310929013593,-1.68286538098892,-0.892554451975324
"HER44L","HER44L_2A","HER44L_2A_48",3.5,620.5,6.51,1,28777,85573,1.37,19,26,63,131,717,371,15,288,22784,162,153,110,2990,38,834,47546,7738,55284,6.14448177823727,0.162747654902621,-1.04100473940628,-1.69987851739847,-0.658873777992185
"HER44L","HER44L_2A","HER44L_2A_49",3.55,622.15,6.51,1,28751,85287,1.28,22,39,60,124,704,290,40,250,21748,124,205,130,3057,123,827,47748,8199,55947,5.82363702890596,0.171713998492083,-0.849599357375483,-1.73649679055301,-0.886897433177523
"HER44L","HER44L_2A","HER44L_2A_50",3.6,623.81,6.5,1,29092,88866,1.54,29,59,71,159,738,374,12,362,24542,144,166,95,2959,124,1060,47827,7975,55802,5.99711598746082,0.166746816651682,-0.8553515951943,-1.53503962238024,-0.679688027185941
"HER44L","HER44L_2A","HER44L_2A_51",3.65,625.46,6.49,1,28961,87106,1.3,11,17,83,153,763,364,40,341,23048,113,132,121,2949,80,871,48263,8035,56298,6.00659614187928,0.166483641713114,-0.866715946244305,-1.60682010989202,-0.740104163647716
"HER44L","HER44L_2A","HER44L_2A_52",3.7,627.12,6.49,1,29125,86866,1.47,19,37,60,161,794,348,36,461,22719,126,120,70,3046,67,687,48610,7980,56590,6.09147869674185,0.164163752314339,-0.770798114790011,-1.59567909626267,-0.824880981472661
"HER44L","HER44L_2A","HER44L_2A_53",3.75,628.77,6.49,1,29308,87352,1.38,16,52,66,168,686,295,25,353,23594,150,140,161,3097,139,717,48465,7903,56368,6.13248133620144,0.163066130197049,-0.563011376936561,-1.40691364832263,-0.843902271386065
"HER44L","HER44L_2A","HER44L_2A_54",3.8,630.43,6.48,1,29578,89505,1.41,NA,40,54,115,767,389,25,326,25104,130,191,141,3169,40,729,48850,7909,56759,6.17650777595145,0.161903787103378,-1.2186472152552,-1.89755467300401,-0.67890745774881
"HER44L","HER44L_2A","HER44L_2A_55",3.85,632.08,6.48,1,29639,90629,1.46,33,43,67,124,784,333,47,466,25242,137,174,157,2931,186,818,49053,8237,57290,5.95520213670025,0.167920412614927,-0.987860924375407,-1.84412745474537,-0.856266530369964
