"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","As","Se","Br","Rb","Sr","Y","Zr","Sn","I","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","Fe a*2"
"HER44L","HER44L_2A","HER44L_2A_52",3.7,627.12,6.49,1,29125,86866,1.47,11,17,19,14,37,60,154,161,794,348,36,6,461,22719,161,126,120,70,0,92,3046,67,687,0,1047,0,0,0,0,16,0,0,0,0,0,0,0,7,48610,7980,105
"HER44L","HER44L_2A","HER44L_2A_53",3.75,628.77,6.49,1,29308,87352,1.38,0,12,16,0,52,66,136,168,686,295,25,25,353,23594,163,150,140,161,0,48,3097,139,717,0,818,0,0,0,0,41,0,0,0,0,0,33,49,0,48465,7903,117
"HER44L","HER44L_2A","HER44L_2A_54",3.8,630.43,6.48,1,29578,89505,1.41,0,0,0,14,40,54,140,115,767,389,25,0,326,25104,176,130,191,141,55,0,3169,40,729,0,979,9,12,0,0,7,25,0,0,0,0,8,101,0,48850,7909,0
"HER44L","HER44L_2A","HER44L_2A_55",3.85,632.08,6.48,1,29639,90629,1.46,46,57,33,15,43,67,151,124,784,333,47,20,466,25242,185,137,174,157,0,50,2931,186,818,0,1060,0,0,0,0,49,7,0,0,0,9,42,106,0,49053,8237,0
"HER44L","HER44L_2A","HER44L_2A_56",3.9,633.74,6.48,1,29503,87596,1.5,0,6,9,0,30,74,158,168,820,315,31,13,314,22720,181,170,203,152,0,0,2991,171,1005,0,815,0,0,0,4,49,46,0,0,0,0,0,100,0,48993,8058,21
"HER44L","HER44L_2A","HER44L_2A_57",3.95,635.39,6.48,1,29592,89376,1.33,0,28,18,11,38,53,131,176,726,340,33,37,245,23574,143,165,189,139,0,151,3206,52,791,0,923,0,14,0,0,0,0,0,8,0,0,251,86,20,49407,8421,113
"HER44L","HER44L_2A","HER44L_2A_58",4,637.05,6.48,1,29528,86888,1.4,16,29,27,26,15,59,123,130,626,349,17,0,222,21449,46,158,215,98,34,0,3111,11,567,0,1093,0,0,0,0,18,33,0,0,0,0,15,48,0,50245,8108,0
"HER44L","HER44L_2A","HER44L_2A_59",4.05,638.7,6.48,1,29977,88859,1.4,52,37,42,26,51,59,133,133,695,306,38,7,265,21446,169,191,258,201,0,27,3232,253,784,0,1026,0,0,0,0,0,26,35,0,68,0,218,158,4,50550,8369,44
"HER44L","HER44L_2A","HER44L_2A_60",4.1,640.35,6.48,1,30229,88729,1.35,14,0,0,0,26,76,108,113,671,296,12,10,273,21717,15,148,235,158,0,242,3494,52,658,0,1129,0,0,0,0,0,0,10,0,12,0,157,151,57,50633,8262,75
"HER44L","HER44L_2A","HER44L_2A_61",4.15,642,6.48,1,30097,87978,1.41,0,0,0,15,32,85,130,137,676,396,12,18,256,20755,154,194,180,194,0,98,3365,127,528,0,1084,0,0,0,0,53,103,0,0,0,0,270,0,0,50766,8350,83
"HER44L","HER44L_2A","HER44L_2A_62",4.2,643.65,6.48,1,29661,84332,1.42,0,31,33,25,44,86,146,125,606,288,8,6,203,18651,60,151,141,120,0,326,3241,160,517,0,1049,16,0,5,7,27,0,0,0,11,0,68,104,0,50075,8002,217
"HER44L","HER44L_2A","HER44L_2A_63",4.25,645.3,6.49,1,29324,83100,1.38,27,27,0,34,49,55,147,120,574,251,20,5,176,17722,124,195,196,157,0,123,3204,147,585,0,1203,0,0,0,0,0,16,0,0,0,0,230,26,38,49774,7875,161
"HER44L","HER44L_2A","HER44L_2A_64",4.3,646.95,6.49,1,29179,83609,1.39,0,0,23,6,41,88,152,143,634,310,35,15,192,19295,29,192,176,119,0,105,3051,117,688,0,1093,0,4,0,0,36,0,0,0,0,0,76,41,0,48875,8073,347
"HER44L","HER44L_2A","HER44L_2A_65",4.35,648.6,6.49,1,28763,83344,1.36,0,15,0,0,22,83,150,118,585,252,36,28,213,18143,90,167,292,84,0,169,3155,151,686,0,1148,0,0,4,0,0,0,0,0,0,0,51,207,77,49458,7960,44
"HER44L","HER44L_2A","HER44L_2A_66",4.4,650.25,6.49,1,28653,82751,1.35,8,45,47,9,33,69,150,106,623,267,40,18,224,18630,58,150,198,128,0,66,3118,67,640,0,1005,0,9,0,0,21,31,0,0,0,0,144,92,30,48683,8042,89
"HER44L","HER44L_2A","HER44L_2A_67",4.45,651.9,6.5,1,28010,79075,1.43,0,0,13,14,34,58,132,120,519,271,29,0,201,16775,112,126,163,178,0,108,2864,126,469,0,843,0,0,0,0,51,0,0,0,0,0,0,0,0,48129,7740,0
"HER44L","HER44L_2A","HER44L_2A_68",4.5,653.55,6.51,1,28072,80222,1.34,17,45,19,0,33,44,148,103,586,227,20,0,162,17299,0,195,112,160,0,0,3046,101,697,0,944,0,0,0,5,48,14,0,0,0,0,177,147,34,47960,7879,0
"HER44L","HER44L_2A","HER44L_2A_69",4.55,655.2,6.52,1,27630,78008,1.47,0,28,31,29,28,69,150,98,554,280,33,13,152,16286,178,175,149,97,36,0,3002,188,637,0,1019,0,0,0,0,34,44,0,0,0,0,10,105,23,47031,7529,194
"HER44L","HER44L_2A","HER44L_2A_70",4.6,656.85,6.52,1,27599,78112,1.38,0,25,34,9,25,67,144,122,577,289,10,11,199,17289,106,124,131,122,0,186,2888,10,578,0,857,0,0,0,0,27,37,0,0,33,0,154,0,0,46120,7938,63
"HER44L","HER44L_2A","HER44L_2A_71",4.65,658.5,6.52,1,27294,78242,1.29,0,8,20,0,50,74,193,132,579,283,15,19,203,17761,106,151,189,152,0,0,2781,180,741,0,902,11,11,0,0,0,0,0,0,0,0,0,168,0,45927,7586,126
"HER44L","HER44L_2A","HER44L_2A_72",4.7,660.15,6.53,1,27077,77168,1.45,0,19,25,0,38,72,172,117,588,283,50,0,238,16977,117,148,225,112,0,47,2801,62,835,0,939,0,13,0,0,0,0,0,0,0,0,11,129,50,45478,7622,15
"HER44L","HER44L_2A","HER44L_2A_73",4.75,661.8,6.53,1,27282,80101,1.26,25,28,41,26,47,74,162,174,708,377,32,4,301,19603,69,129,331,189,6,86,2748,222,761,0,1021,0,0,0,0,62,51,28,0,0,30,0,16,0,45190,7560,65
"HER44L","HER44L_2A","HER44L_2A_74",4.8,663.45,6.53,1,26991,78328,1.26,0,32,0,25,47,51,124,127,660,358,5,13,278,18452,125,116,191,117,77,0,2826,40,774,0,855,0,0,0,0,0,0,0,0,0,0,26,167,0,44929,7913,0
"HER44L","HER44L_2A","HER44L_2A_75",4.85,665.1,6.53,1,26887,77688,1.31,0,18,23,44,46,60,152,104,646,240,10,22,276,17439,206,190,174,127,0,168,2802,0,909,0,922,7,0,0,5,47,4,0,0,7,0,65,0,0,45136,7839,142
"HER44L","HER44L_2A","HER44L_2A_76",4.9,666.75,6.53,1,27632,80618,1.35,0,4,30,10,25,64,138,143,702,309,36,0,308,19954,47,134,259,155,0,83,3115,0,743,0,1033,0,0,0,12,18,26,0,0,0,0,0,0,0,45432,7838,106
"HER44L","HER44L_2A","HER44L_2A_77",4.95,668.4,6.53,1,27925,82933,1.49,0,0,8,11,20,75,137,165,830,383,35,0,334,22220,92,163,270,118,0,52,2732,154,886,0,910,0,0,0,0,11,48,0,0,0,0,0,0,0,45299,7980,319
"HER44L","HER44L_2A","HER44L_2A_78",5,670.05,6.53,1,27524,80537,1.46,0,0,14,5,50,52,148,150,849,340,8,28,333,20558,135,148,193,217,0,134,2573,6,1073,0,858,0,5,0,8,0,55,0,0,0,0,0,79,0,44768,7750,26
"HER44L","HER44L_2A","HER44L_2A_79",5.05,671.7,6.54,1,27493,81280,1.65,0,25,0,24,39,75,144,162,758,312,50,9,316,20927,83,159,218,126,0,156,2741,152,1023,0,1007,9,9,0,0,11,41,0,0,7,0,0,31,0,44718,7948,0
"HER44L","HER44L_2A","HER44L_2A_80",5.1,673.35,6.54,1,27691,83044,1.32,0,33,28,7,57,70,120,181,864,344,30,42,338,23744,183,182,200,98,0,59,2840,139,905,0,896,9,4,0,0,0,24,49,14,4,0,70,153,0,43677,7680,0
"HER44L","HER44L_2A","HER44L_2A_81",5.15,675,6.54,1,27667,83186,1.35,0,8,20,36,67,85,157,185,930,356,36,0,368,23438,230,105,172,172,0,167,2629,266,1172,0,762,0,12,0,12,70,0,0,0,0,0,141,131,0,43471,7988,0
"HER44L","HER44L_2A","HER44L_2A_82",5.2,676.65,6.53,1,27922,85700,1.34,14,10,34,0,40,78,139,184,1041,429,39,0,472,25534,241,173,237,223,0,150,2762,102,1218,0,1141,0,0,0,0,38,103,12,0,0,0,55,46,82,43301,7802,195
"HER44L","HER44L_2A","HER44L_2A_83",5.25,678.3,6.53,1,27129,83590,1.33,11,11,38,16,55,90,152,180,1217,497,21,30,371,25382,111,83,177,191,0,78,2626,71,1435,0,1114,0,0,0,0,0,72,42,31,0,0,125,85,47,41652,7579,210
"HER44L","HER44L_2A","HER44L_2A_84",5.3,679.95,6.52,1,26199,77784,1.47,0,23,23,26,37,59,164,187,886,408,8,35,321,21470,111,87,110,78,61,68,2507,127,1078,0,1049,0,0,0,19,51,39,0,0,0,0,0,45,0,41358,7349,52
"HER44L","HER44L_2A","HER44L_2A_85",5.35,681.6,6.51,1,26943,81377,1.36,6,35,43,15,27,42,121,197,940,402,27,18,350,24260,84,154,172,138,0,145,2517,130,1267,0,913,0,0,0,8,31,42,0,0,0,0,179,71,146,41497,7400,51
"HER44L","HER44L_2A","HER44L_2A_86",5.4,683.25,6.5,1,27137,83555,1.39,0,29,21,16,24,40,115,211,1018,479,46,0,408,26241,163,170,142,144,0,125,2476,189,1446,37,906,0,0,0,11,43,0,0,0,0,0,85,194,0,41214,7562,67
"HER44L","HER44L_2A","HER44L_2A_87",5.45,684.9,6.49,1,26879,81916,1.32,24,25,11,11,49,72,128,190,1026,436,14,0,413,24640,24,105,150,139,0,42,2334,253,1300,0,1019,0,0,0,0,0,7,0,0,0,0,67,0,0,41649,7788,308
"HER44L","HER44L_2A","HER44L_2A_88",5.5,686.55,6.48,1,27366,85674,1.46,26,35,28,10,44,77,116,260,1084,552,24,20,468,29572,234,90,312,200,0,33,2537,95,1289,0,1040,0,0,0,0,0,0,0,22,42,0,139,0,0,39870,7455,196
"HER44L","HER44L_2A","HER44L_2A_89",5.55,688.2,6.48,1,26360,85182,1.52,7,20,4,19,16,84,108,257,1320,567,58,23,450,30650,103,107,183,170,0,132,2123,246,1628,0,918,0,0,0,0,65,100,0,0,0,27,149,115,103,38297,7133,0
"HER44L","HER44L_2A","HER44L_2A_90",5.6,689.85,6.48,1,24948,81091,1.39,27,23,41,31,26,82,145,210,1205,631,6,13,419,29900,230,120,182,214,17,28,1863,212,1533,0,806,0,0,0,0,46,20,0,0,55,0,0,0,0,35934,7072,0
"HER44L","HER44L_2A","HER44L_2A_91",5.65,691.5,6.47,1,24086,75940,1.56,0,48,33,10,31,79,145,186,991,532,24,48,413,25430,364,126,148,145,0,149,1613,67,1683,0,847,0,0,0,19,0,29,14,0,54,0,59,12,30,35385,7226,28
"HER44L","HER44L_2A","HER44L_2A_92",5.7,693.15,6.45,1,24741,78173,1.38,8,33,38,9,40,64,131,223,1048,631,5,0,457,25512,168,116,206,174,0,138,1730,368,1938,0,869,0,0,0,0,26,15,27,0,28,0,43,117,0,36744,7267,163
"HER44L","HER44L_2A","HER44L_2A_93",5.75,694.8,6.45,1,24975,77112,1.28,0,8,22,0,22,71,103,165,1036,391,60,16,386,24013,173,89,129,153,0,12,1868,170,1813,0,852,0,6,0,0,39,0,0,0,0,0,0,74,0,37881,7560,60
"HER44L","HER44L_2A","HER44L_2A_94",5.8,696.45,6.45,1,26700,88949,1.37,11,15,21,18,38,58,112,241,1464,456,51,15,533,34236,130,141,206,229,0,0,2029,180,1680,0,990,0,0,0,7,24,38,0,0,0,0,134,143,0,38186,7563,0
"HER44L","HER44L_2A","HER44L_2A_95",5.85,698.1,6.45,1,26033,85671,1.5,0,35,26,0,51,94,110,245,1708,531,60,27,542,32495,159,119,194,230,0,132,1670,217,1843,0,825,0,0,0,9,40,43,10,0,0,0,138,162,0,36747,7209,0
"HER44L","HER44L_2A","HER44L_2A_96",5.9,699.75,6.45,1,23990,77280,1.44,0,30,45,29,50,74,182,245,1274,377,53,24,444,26783,27,154,209,146,0,165,1603,125,1816,0,938,0,12,0,0,27,0,17,0,27,0,97,0,18,35138,7151,92
"HER44L","HER44L_2A","HER44L_2A_97",5.95,701.4,6.46,1,22945,73300,1.42,0,36,29,0,21,31,133,169,1358,467,59,7,389,24132,215,97,100,121,0,134,1443,171,1685,0,1016,7,0,20,0,45,0,24,0,0,35,118,78,0,34355,6805,0
"HER44L","HER44L_2A","HER44L_2A_98",6,703.05,6.47,1,22562,71826,1.48,32,30,42,16,38,63,142,182,1077,387,87,16,352,22958,197,141,138,70,112,33,1349,87,1725,0,936,0,11,0,0,0,30,0,0,0,0,0,0,0,34578,6997,75
