"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","As","Se","Br","Rb","Sr","Y","Zr","Sn","I","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","Fe a*2"
"HER44L","HER44L_2A","HER44L_2A_2",1,537.76,6.49,1,28755,92017,1.66,0,23,16,8,42,60,181,143,608,269,18,29,246,32296,83,76,64,48,31,0,2710,133,656,0,898,0,0,6,35,35,0,0,0,0,0,0,147,0,45378,7778,11
"HER44L","HER44L_2A","HER44L_2A_1",1.05,539.41,6.49,1,28946,95148,1.45,0,35,22,0,45,71,133,139,640,311,22,23,319,34272,148,157,162,162,0,156,2624,106,837,0,828,0,0,0,0,0,0,0,0,0,0,179,0,0,45723,8034,67
"HER44L","HER44L_2A","HER44L_2A_0",1.1,541.07,6.49,1,29307,97267,1.51,27,31,0,20,41,79,165,161,697,296,23,22,336,35785,75,162,189,153,0,0,2661,71,825,5,946,0,0,0,0,0,20,0,25,0,0,84,77,0,46332,7959,64
"HER44L","HER44L_2A","HER44L_2A_1",1.15,542.72,6.49,1,29547,97239,1.53,9,24,0,21,29,78,128,132,667,328,59,8,296,35292,84,192,131,149,0,93,2867,158,1012,0,1036,0,6,0,0,80,47,0,0,0,0,0,171,0,46380,7762,24
"HER44L","HER44L_2A","HER44L_2A_2",1.2,544.38,6.49,1,29993,99524,1.57,0,31,29,24,31,69,123,181,762,371,41,50,266,37614,188,84,170,104,0,65,2954,96,812,0,857,0,0,0,0,0,30,0,0,0,0,51,107,5,46498,7911,110
"HER44L","HER44L_2A","HER44L_2A_3",1.25,546.03,6.48,1,29560,96377,1.4,9,0,7,0,43,54,125,157,764,407,37,20,296,34576,171,119,191,106,0,125,2731,294,943,0,898,0,8,0,0,0,31,0,0,0,0,93,85,29,46070,7988,97
"HER44L","HER44L_2A","HER44L_2A_4",1.3,547.69,6.48,1,29525,97230,1.66,13,41,22,16,43,99,161,224,854,483,37,25,337,35507,138,110,167,128,0,114,2775,216,968,0,998,7,11,0,5,0,0,0,0,0,0,181,115,0,45484,7951,0
"HER44L","HER44L_2A","HER44L_2A_5",1.35,549.34,6.48,1,28845,93709,1.33,0,30,11,0,39,63,115,175,962,427,26,34,345,33295,0,137,161,69,0,91,2795,150,859,0,1046,7,0,0,26,0,0,0,0,66,0,216,81,12,44864,7607,51
"HER44L","HER44L_2A","HER44L_2A_6",1.4,551,6.48,1,28731,94153,1.43,0,0,5,0,20,48,148,195,907,323,72,26,360,33203,129,222,78,205,0,118,2616,143,996,0,1031,0,0,0,8,82,0,0,0,0,0,94,160,43,44779,8142,138
"HER44L","HER44L_2A","HER44L_2A_7",1.45,552.65,6.47,1,28335,90730,1.53,14,52,30,9,45,66,173,165,851,337,39,12,276,31066,93,173,175,213,0,110,2575,99,874,0,991,0,4,0,0,29,0,0,0,34,0,135,102,38,44273,7677,40
"HER44L","HER44L_2A","HER44L_2A_8",1.5,554.31,6.47,1,28270,89696,1.4,24,37,34,27,41,69,126,141,812,361,39,0,284,29541,63,157,133,175,0,25,2580,166,965,0,1099,0,0,0,0,45,57,0,0,0,0,144,34,0,44630,7887,104
"HER44L","HER44L_2A","HER44L_2A_9",1.55,555.96,6.46,1,28456,90588,1.39,0,0,19,0,46,77,133,158,837,320,37,0,336,29743,150,170,155,96,0,194,2718,120,935,0,945,0,0,0,0,11,20,27,0,0,0,82,81,33,45056,8089,22
"HER44L","HER44L_2A","HER44L_2A_10",1.6,557.61,6.46,1,28535,90642,1.41,12,0,22,11,16,70,114,191,894,382,27,48,302,29965,133,132,173,165,0,0,2745,139,1086,0,953,0,0,0,10,34,20,0,0,0,0,108,0,0,45243,7647,217
"HER44L","HER44L_2A","HER44L_2A_11",1.65,559.27,6.45,1,28549,91606,1.39,27,39,24,13,41,80,129,201,871,422,45,11,345,29944,146,133,167,201,0,152,2922,209,1051,0,1109,0,0,0,0,14,29,0,0,0,0,309,102,34,44962,7874,23
"HER44L","HER44L_2A","HER44L_2A_12",1.7,560.92,6.45,1,28465,90907,1.44,0,0,6,0,30,57,124,192,925,394,28,18,339,29297,210,124,174,123,0,140,2806,347,944,0,891,0,0,0,0,14,0,0,42,5,0,202,183,0,45292,8000,96
"HER44L","HER44L_2A","HER44L_2A_13",1.75,562.58,6.45,1,28362,90324,1.42,0,0,12,15,50,75,156,190,972,406,21,30,347,30012,206,154,122,94,6,85,2715,171,1099,0,1217,0,22,0,0,62,0,0,0,0,0,0,5,97,44499,7484,0
"HER44L","HER44L_2A","HER44L_2A_14",1.8,564.23,6.45,1,27526,85967,1.4,0,0,15,0,54,51,113,154,789,344,0,8,280,26643,100,188,242,162,0,82,2705,105,865,0,1045,0,0,0,14,0,46,14,0,0,0,91,60,85,44064,7648,20
"HER44L","HER44L_2A","HER44L_2A_15",1.85,565.89,6.45,1,27707,87453,1.42,0,45,9,26,6,76,143,185,933,340,53,5,271,27285,186,149,201,244,0,122,2926,142,1096,0,981,0,14,0,0,34,0,0,0,0,0,0,78,0,44040,7863,0
"HER44L","HER44L_2A","HER44L_2A_16",1.9,567.54,6.45,1,28175,89327,1.39,0,39,24,24,30,74,149,196,1117,332,8,42,333,29857,158,123,140,195,0,62,2907,31,1204,0,918,0,0,0,15,22,0,0,0,7,11,154,0,0,43448,7707,72
"HER44L","HER44L_2A","HER44L_2A_17",1.95,569.2,6.45,1,28976,97181,1.3,0,58,51,16,56,68,130,206,1013,392,65,24,381,36320,322,134,129,207,0,64,2808,124,1229,0,925,0,0,0,12,9,7,0,0,0,0,155,0,0,44226,8050,109
"HER44L","HER44L_2A","HER44L_2A_18",2,570.85,6.45,1,28447,90988,1.43,0,18,21,0,30,75,134,197,942,342,22,33,347,30212,177,156,180,190,0,94,2995,61,805,0,890,0,8,0,12,15,53,51,0,49,0,304,208,125,44586,7656,0
"HER44L","HER44L_2A","HER44L_2A_19",2.05,572.51,6.45,1,28573,95467,1.41,0,37,38,9,57,45,127,183,936,377,52,8,287,34845,215,165,210,167,0,58,2714,208,1039,5,973,0,0,0,14,6,59,0,0,26,0,137,156,0,44574,7740,0
"HER44L","HER44L_2A","HER44L_2A_20",2.1,574.16,6.45,1,28681,93130,1.4,0,0,19,19,61,75,172,163,800,329,59,10,235,33208,188,87,134,92,0,41,2578,214,964,0,1045,0,0,4,0,0,0,0,0,23,0,79,0,0,44951,7580,121
"HER44L","HER44L_2A","HER44L_2A_21",2.15,575.82,6.45,1,28812,91494,1.46,13,30,34,0,35,70,90,159,872,358,8,0,251,30260,109,135,170,210,0,58,2650,174,832,0,1089,0,0,0,8,34,16,0,0,0,0,169,55,0,45559,8046,0
"HER44L","HER44L_2A","HER44L_2A_22",2.2,577.47,6.45,1,28530,89594,1.29,16,30,26,6,28,52,151,169,851,339,22,7,275,28545,250,124,152,139,0,186,2561,147,713,0,1111,0,0,0,0,0,0,0,0,0,0,17,246,0,45555,7876,0
"HER44L","HER44L_2A","HER44L_2A_23",2.25,579.13,6.45,1,28635,89397,1.33,0,23,38,0,42,65,140,214,912,328,6,0,258,27547,154,148,197,165,0,95,2809,215,983,0,891,0,0,0,7,11,0,0,0,0,0,5,75,39,46202,7828,0
"HER44L","HER44L_2A","HER44L_2A_24",2.3,580.78,6.45,1,28625,88780,1.56,40,55,24,7,50,79,91,193,822,395,47,8,353,27305,283,161,149,121,0,117,3024,77,852,0,951,0,8,0,5,0,13,0,0,0,0,71,214,0,45703,7562,0
"HER44L","HER44L_2A","HER44L_2A_25",2.35,582.44,6.45,1,28611,88974,1.3,0,29,29,7,61,62,168,196,978,396,13,10,299,26975,53,134,205,125,0,7,3072,132,871,0,1089,0,0,0,20,70,0,0,0,0,0,81,151,0,45887,7854,125
"HER44L","HER44L_2A","HER44L_2A_26",2.4,584.09,6.45,1,28117,86446,1.4,0,40,15,25,30,60,119,143,799,326,34,0,266,24942,136,137,203,162,0,56,2905,114,889,0,1120,0,0,0,0,54,69,0,0,0,0,35,85,0,46107,7575,93
"HER44L","HER44L_2A","HER44L_2A_27",2.45,585.75,6.45,1,28602,88955,1.35,0,36,25,17,45,68,122,183,841,325,21,13,237,26862,262,115,216,175,0,109,2781,94,856,0,1157,0,0,0,0,0,73,5,0,0,0,108,8,53,46229,7919,34
"HER44L","HER44L_2A","HER44L_2A_28",2.5,587.4,6.45,1,28855,90200,1.42,0,26,45,0,37,88,103,202,818,345,25,24,250,28066,230,122,126,163,66,44,3133,54,763,0,923,0,0,0,0,62,34,8,0,0,0,0,133,0,46554,7756,32
"HER44L","HER44L_2A","HER44L_2A_29",2.55,589.06,6.46,1,29201,91379,1.41,7,46,28,0,30,66,129,156,776,323,56,0,306,29617,218,121,109,151,0,244,2791,153,849,0,972,0,0,0,0,90,8,0,0,29,0,122,11,0,46026,7945,103
"HER44L","HER44L_2A","HER44L_2A_30",2.6,590.71,6.46,1,28830,89629,1.44,0,14,26,9,49,73,121,200,812,385,15,7,285,27316,197,147,183,126,0,67,2871,196,769,0,1173,0,0,0,0,12,8,0,0,0,0,0,86,0,46704,7778,169
"HER44L","HER44L_2A","HER44L_2A_31",2.65,592.37,6.46,1,29030,90441,1.4,0,5,16,21,51,41,119,132,739,370,9,20,259,29067,160,164,99,192,0,64,2850,0,674,0,923,0,0,0,0,59,0,0,0,0,0,53,134,0,46602,7618,0
"HER44L","HER44L_2A","HER44L_2A_32",2.7,594.02,6.46,1,29874,97486,1.46,8,36,18,33,27,68,138,198,906,413,51,21,338,34541,166,172,95,118,0,36,3156,0,575,0,1098,5,0,0,0,71,15,0,0,0,0,49,64,0,47176,7894,119
"HER44L","HER44L_2A","HER44L_2A_33",2.75,595.68,6.47,1,29450,91637,1.32,0,40,15,11,20,34,91,182,888,344,28,0,347,29653,122,209,236,190,0,0,3078,82,758,0,885,0,0,0,25,0,40,20,0,0,0,26,35,0,46857,7421,0
"HER44L","HER44L_2A","HER44L_2A_34",2.8,597.33,6.47,1,29390,92158,1.34,0,22,14,40,12,45,109,166,777,337,50,32,264,30195,158,145,192,160,29,115,3072,115,782,0,785,5,0,0,0,0,24,0,0,0,0,6,27,0,46462,8018,149
"HER44L","HER44L_2A","HER44L_2A_35",2.85,598.99,6.46,1,29279,90927,1.35,0,30,0,4,17,66,104,195,799,388,38,6,312,29211,132,152,142,140,0,100,3096,76,792,0,1030,0,4,0,0,17,0,0,0,64,0,0,45,0,46327,7640,253
"HER44L","HER44L_2A","HER44L_2A_36",2.9,600.64,6.46,1,29371,91272,1.45,0,0,8,0,48,72,151,179,903,356,40,17,299,29065,125,153,196,136,0,0,3070,336,817,0,1012,0,0,11,26,4,0,0,0,0,0,120,0,0,46402,7726,114
"HER44L","HER44L_2A","HER44L_2A_37",2.95,602.3,6.46,1,29344,90978,1.31,10,50,7,17,63,70,110,179,826,374,32,10,296,28281,159,160,196,149,0,161,2816,63,843,0,1269,0,0,0,0,0,6,0,0,0,0,10,120,0,46994,7707,203
"HER44L","HER44L_2A","HER44L_2A_38",3,603.95,6.47,1,28992,88810,1.39,19,42,49,19,41,113,119,195,823,303,26,45,330,26419,97,175,198,56,0,98,3069,209,805,0,812,0,0,0,0,38,12,48,0,108,0,37,118,0,46640,7747,118
"HER44L","HER44L_2A","HER44L_2A_39",3.05,605.61,6.47,1,29049,89440,1.3,55,18,35,18,42,47,119,140,718,333,0,5,285,26095,191,149,154,124,0,160,3094,153,836,0,791,0,7,0,0,20,0,0,0,0,0,143,222,0,47488,7998,0
"HER44L","HER44L_2A","HER44L_2A_40",3.1,607.26,6.48,1,29211,90620,1.38,10,52,18,30,33,74,125,135,726,373,25,34,279,26536,279,118,174,88,0,84,3132,175,943,0,1233,0,0,0,0,10,0,0,0,0,0,47,0,0,47848,8039,176
"HER44L","HER44L_2A","HER44L_2A_41",3.15,608.91,6.49,1,29698,92701,1.3,15,7,22,22,50,83,146,192,794,338,13,13,325,27961,99,156,147,167,0,150,3243,0,955,0,1192,0,0,0,0,66,28,0,0,0,0,65,0,105,48224,8123,228
"HER44L","HER44L_2A","HER44L_2A_42",3.2,610.57,6.49,1,29499,92108,1.32,14,32,21,22,44,73,144,133,791,302,40,0,322,28370,219,166,109,174,0,19,3032,180,892,0,1036,0,0,0,0,93,11,0,0,0,0,0,120,0,47992,7757,90
"HER44L","HER44L_2A","HER44L_2A_43",3.25,612.22,6.49,1,29320,89258,1.43,0,34,17,21,48,57,126,144,781,369,31,8,273,25709,114,145,162,111,0,124,3087,198,638,0,788,0,0,0,0,52,0,0,0,15,0,139,180,0,48028,7859,140
"HER44L","HER44L_2A","HER44L_2A_44",3.3,613.88,6.5,1,29602,90374,1.51,0,40,0,17,46,88,152,140,750,318,26,6,329,25792,94,166,111,143,0,103,3236,236,706,0,1056,0,8,0,9,57,0,0,0,0,0,28,0,0,48406,8311,199
"HER44L","HER44L_2A","HER44L_2A_45",3.35,615.53,6.5,1,29887,92072,1.29,14,24,47,30,28,73,130,144,792,369,29,18,415,27081,167,135,193,152,53,63,3417,0,717,0,994,0,0,0,0,0,0,0,11,0,0,0,21,0,48833,8122,194
"HER44L","HER44L_2A","HER44L_2A_46",3.4,617.19,6.51,1,29624,91243,1.43,0,15,41,5,35,57,130,175,726,356,0,0,351,27070,211,159,180,134,0,86,3321,99,840,0,1161,0,22,0,0,35,18,0,0,0,0,41,207,57,47765,7946,0
"HER44L","HER44L_2A","HER44L_2A_47",3.45,618.84,6.51,1,29199,89151,1.43,0,18,17,16,15,61,157,147,791,324,23,11,302,25485,221,138,220,65,0,159,3120,114,747,0,766,9,8,0,0,0,0,0,0,9,0,157,268,0,47826,7957,40
"HER44L","HER44L_2A","HER44L_2A_48",3.5,620.5,6.51,1,28777,85573,1.37,12,27,19,15,26,63,141,131,717,371,15,18,288,22784,6,162,153,110,0,119,2990,38,834,0,881,0,0,0,0,64,25,0,0,0,0,10,207,63,47546,7738,0
"HER44L","HER44L_2A","HER44L_2A_49",3.55,622.15,6.51,1,28751,85287,1.28,0,8,22,0,39,60,109,124,704,290,40,0,250,21748,92,124,205,130,0,175,3057,123,827,0,935,0,0,0,14,0,0,0,0,21,0,214,0,29,47748,8199,10
"HER44L","HER44L_2A","HER44L_2A_50",3.6,623.81,6.5,1,29092,88866,1.54,25,65,29,16,59,71,150,159,738,374,12,35,362,24542,0,144,166,95,0,91,2959,124,1060,0,1148,0,0,0,0,0,25,0,0,82,0,138,332,63,47827,7975,0
"HER44L","HER44L_2A","HER44L_2A_51",3.65,625.46,6.49,1,28961,87106,1.3,0,33,11,0,17,83,119,153,763,364,40,0,341,23048,140,113,132,121,0,125,2949,80,871,0,1043,0,15,0,0,61,12,0,0,0,0,161,13,0,48263,8035,29
