"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER24L","HER24L_3A","HER24L_3A_2",5.1,1186.5,6.67,1,30814,68160,1.33,-2.72225341849457,0.0389066079215929,-1.73012461022891,-2.72225341849457,1.35989587063372,-0.876426727996235,1.89974408762605,-3.44617225772126,0.785213156761634,4.61681191034788,2.79665879964467,6.17343218279047,0.161984447288119,-1.01160091167848,-2.79001413895364,-1.77841322727516
"HER24L","HER24L_3A","HER24L_3A_3",5.2,1206.17,6.69,1,30582,67603,1.3,-3.35754594280914,-0.0974271594068915,-1.85933366548527,-2.8054773605091,1.21390416323954,-1.17802094257232,1.83189596597362,-1.66725593374595,0.70017103242804,4.5191124920006,2.69997735088686,6.16715939886672,0.162149206032158,-1.54044504094715,-3.31216375929176,-1.77171871834461
"HER24L","HER24L_3A","HER24L_3A_4",5.3,1225.85,6.69,1,30510,66920,1.28,-2.04216891486817,0.262541577438191,-1.41497970210002,-3.05910317252201,1.77296820189312,-0.92947188631832,2.16093463697087,-5.89231651657823,1.09517373042276,4.92258991962829,3.12383212603351,6.0427495749332,0.165487579387411,-0.637266722165489,-2.32409129821501,-1.68682457604952
"HER24L","HER24L_3A","HER24L_3A_5",5.4,1245.53,6.7,1,30451,67795,1.24,-3.17641149141515,-0.131889053691722,-2.13495761658698,-2.7168791620367,1.21855193428946,-1.09696994973531,1.72546244899518,-1.47166339917672,0.656748665587276,4.46693165186265,2.66107597190802,6.08579414266618,0.164317092651757,-1.06919840346182,-3.08509595417059,-2.01589755070877
"HER24L","HER24L_3A","HER24L_3A_6",5.5,1265.21,6.72,1,30244,67047,1.48,-2.80324025999319,-0.053479570309613,-1.558445461147,-2.58009670867898,1.42561900753931,-1.31785499622907,1.66966756907368,-2.41646728489718,0.599807260957123,4.42187724554214,2.6126131981428,6.10658268494504,0.163757710587521,-1.26493350411562,-2.77615378840428,-1.51122028428865
"HER24L","HER24L_3A","HER24L_3A_7",5.6,1284.89,6.73,1,29280,65103,1.28,-3.03159273417245,-0.308106724940399,-1.43557784207049,-2.56158910492671,1.27472207876574,-1.23983326494439,1.63058770653242,-1.90019062268135,0.68522608863073,4.34023193456723,2.54612248523967,6.01474851884533,0.166257990149848,-1.62313675679226,-2.75519697952791,-1.13206022273565
"HER24L","HER24L_3A","HER24L_3A_8",5.7,1304.57,6.75,1,29174,64913,1.17,-2.43757047664772,0.100710633731654,-2.33748701809074,-2.77931977036978,1.28431100188151,-1.49018915770353,1.97841253276043,-3.24194329231789,1.27920569404737,4.70020988466536,2.94365996804332,5.79299903100775,0.172622159031509,-0.102654154060083,-2.56286819125771,-2.46021403719763
"HER24L","HER24L_3A","HER24L_3A_9",5.8,1324.25,6.76,1,30456,67186,1.39,-2.70367201563519,-0.0667815341050193,-2.1928463918692,-3.36696623304545,1.32761441061978,-0.963737614271719,1.89052913898233,-2.17482788636652,0.841232086693143,4.6193186681013,2.79013737089655,6.22943668993021,0.160528158447534,-0.523248143764548,-2.66549058668341,-2.14224244291887
"HER24L","HER24L_3A","HER24L_3A_10",5.9,1343.93,6.77,1,30003,66261,1.41,-1.95192061034527,-0.0564686825600879,-2.62308888418644,-2.64506779090522,0.965850121739007,-1.24224412783412,1.62323007844032,-1.61544837372406,0.653235167594305,4.35047449011758,2.54144861166398,6.10513234745868,0.16379661292949,0.68197387996182,-1.90495438421849,-2.58692826418031
"HER24L","HER24L_3A","HER24L_3A_11",6,1363.6,6.78,1,29760,67240,1.51,-2.74207867298999,-0.357576457528058,-2.22154423509704,-2.54362773426615,1.00943199670525,-1.18779258063097,1.66672050371225,-1.27950100712047,0.771285278798991,4.34653367631494,2.53814923210125,6.10121708892201,0.163901724102836,-0.53062825106217,-2.40694510831829,-1.87631685725612
