"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Mg","Al","Si","P","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","As","Se","Br","Rb","Sr","Y","Zr","Sn","I","Cs","Ba","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","qc","label"
"HER24L","HER24L_3A_2",5.1,1186.5,6.67,1,30814,68160,1.33,0,33,16,32,35,52,32,521,88,0,0,32,1955,11,208,102,118,0,43,3355,15,1100,0,1064,0,0,0,0,0,0,0,0,0,130,0,50795,8228,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_3",5.2,1206.17,6.69,1,30582,67603,1.3,0,0,0,0,32,9,18,494,84,0,26,32,1836,77,167,93,112,0,45,3407,102,1098,0,1299,0,0,0,0,0,0,0,0,0,189,20,50065,8118,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_4",5.3,1225.85,6.69,1,30510,66920,1.28,7,30,8,10,49,40,46,470,87,0,12,16,2132,36,142,83,92,0,11,3143,0,1082,0,1139,6,19,0,0,0,0,0,0,4,0,0,49756,8234,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_5",5.4,1245.53,6.7,1,30451,67795,1.24,13,44,15,12,48,45,23,503,67,0,0,37,1944,39,191,58,83,0,107,3228,131,1108,0,1149,0,9,0,0,0,0,0,0,247,95,0,50080,8229,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_6",5.5,1265.21,6.72,1,30244,67047,1.48,0,0,0,31,40,51,35,562,124,8,5,44,2470,38,158,92,59,0,51,3153,52,1081,0,1172,9,23,0,0,0,0,0,0,52,10,0,49445,8097,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_7",5.6,1284.89,6.73,1,29280,65103,1.28,0,35,13,0,20,33,29,456,147,11,0,47,2224,40,179,70,58,0,189,3175,92,1233,0,1010,7,12,0,0,0,0,0,0,14,139,0,47715,7933,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_8",5.7,1304.57,6.75,1,29174,64913,1.17,0,0,15,4,31,18,37,480,41,0,7,26,1570,37,97,115,0,0,61,3144,16,1562,0,1122,0,0,0,0,0,0,0,0,178,75,0,47827,8256,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_9",5.8,1324.25,6.76,1,30456,67186,1.39,17,18,10,7,25,41,32,460,54,0,14,16,1858,19,187,59,172,9,0,3263,55,1142,0,1301,0,0,0,0,0,0,0,0,0,106,109,49985,8024,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_10",5.9,1343.93,6.77,1,30003,66261,1.41,0,17,5,0,42,33,89,598,45,0,4,44,1664,5,182,18,113,0,67,3212,125,1217,0,1178,0,0,0,8,0,0,0,0,135,48,0,49128,8047,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_11",6,1363.6,6.78,1,29760,67240,1.51,0,17,0,12,42,42,40,444,68,0,25,49,1745,17,193,91,155,0,85,3368,176,1375,0,1172,10,0,0,0,0,0,0,0,418,288,0,49127,8052,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_12",6.1,1383.28,6.79,1,30466,67642,1.57,0,0,13,12,28,43,36,556,84,0,17,52,2066,0,192,75,31,0,82,3819,0,1106,0,965,0,0,0,0,0,0,0,0,122,218,0,50033,7896,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_13",6.2,1402.96,6.79,1,30487,67095,1.26,27,30,15,25,50,26,26,478,124,0,0,17,1523,8,192,185,78,0,28,3777,53,1245,0,1329,0,9,0,0,0,0,0,0,47,0,45,49588,8001,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_14",6.3,1422.64,6.8,1,30896,68150,1.51,0,5,8,28,59,37,40,461,46,0,0,35,1389,42,186,57,83,0,155,3806,43,1187,0,973,14,0,0,15,0,0,0,0,0,91,0,50891,8277,TRUE,"HER24L_3A"
"HER24L","HER24L_3A_15",6.4,1442.32,6.81,1,31111,68879,1.2,0,7,7,0,52,0,24,487,30,0,14,20,1524,80,230,119,108,0,124,3688,0,1155,0,1141,0,0,0,15,0,0,0,0,0,0,0,51487,8424,TRUE,"HER24L_3A"
