"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER24L","HER24L_3B_465",77.4,9233.95,7.23,1,36077,75549,1.48,117,30,497,10,14,254,211,4249,0,494,1311,58900,8870
"HER24L","HER24L_3B_466",77.5,9235.87,7.23,1,35963,76572,1.27,82,23,521,0,0,341,183,4241,17,537,1343,59724,8971
"HER24L","HER24L_3B_467",77.6,9237.79,7.23,1,36079,76824,1.49,77,42,475,22,7,438,279,4326,0,598,1189,59614,8845
"HER24L","HER24L_3B_468",77.7,9239.7,7.23,1,36119,76987,1.27,94,15,562,28,0,251,213,4384,0,770,1260,59611,9152
"HER24L","HER24L_3B_469",77.8,9241.62,7.23,1,36282,77170,1.4,113,29,675,15,26,204,214,4340,0,645,1283,59907,9087
"HER24L","HER24L_3B_470",77.9,9243.54,7.25,1,36156,77548,1.25,100,36,518,33,0,608,197,4184,176,757,1534,59666,8970
"HER24L","HER24L_3B_471",78,9245.45,7.24,1,36073,76911,1.21,85,12,570,0,0,276,214,4072,0,838,1498,59280,9074
"HER24L","HER24L_3B_472",78.1,9247.37,7.24,1,35956,76411,1.42,83,30,637,37,0,180,203,4244,0,641,1353,59611,8779
"HER24L","HER24L_3B_473",78.2,9249.28,7.25,1,35823,76782,1.47,126,20,601,16,10,523,225,4315,62,733,1218,58940,9004
"HER24L","HER24L_3B_474",78.3,9251.2,7.24,1,35752,75470,1.27,93,14,634,30,22,335,240,4036,0,608,1275,59026,8507
"HER24L","HER24L_3B_475",78.4,9253.12,7.23,1,35377,75424,1.28,72,36,491,27,0,186,244,4104,0,672,1320,58573,8782
"HER24L","HER24L_3B_476",78.5,9255.03,7.23,1,35272,74900,1.37,76,54,557,38,7,337,230,4032,0,634,1281,58043,8770
