"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER24L","HER24L_3A","HER24L_3A_2",5.1,1186.5,6.67,1,30814,68160,1.33,-1.52713032456275,-0.455777186567654,-0.526583913186061,-0.432503135260373,-0.557579681218659,-0.373854146732919,0.52205593710735,0.0538070813836661,-1.11716510352924,-0.160401487057601,-0.0713928595562031,-0.532478138951522,59023,6.17343218279047,0.161984447288119,-1.01160091167848,-2.79001413895364,-1.77841322727516
"HER24L","HER24L_3A","HER24L_3A_3",5.2,1206.17,6.69,1,30582,67603,1.3,-1.63400451419717,-0.561732047324441,-0.576235628223481,-0.447133946456182,-0.557579681218659,-0.40281457350917,-0.378479467920379,0.103714768896296,-0.37402945833469,-0.162993045586623,-0.137147837962815,-0.732388654287825,58183,6.16715939886672,0.162149206032158,-1.54044504094715,-3.31216375929176,-1.77171871834461
"HER24L","HER24L_3A","HER24L_3A_4",5.3,1225.85,6.69,1,30510,66920,1.28,-1.02838410626877,-0.349822325810867,-0.620370486034521,-0.436160838059325,-0.687039584219562,-0.330778553964881,-0.927586422205579,-0.149662721552439,NA,-0.183725513818806,-0.164981109644518,-0.521573929024088,57990,6.0427495749332,0.165487579387411,-0.637266722165489,-2.32409129821501,-1.68682457604952
"HER24L","HER24L_3A","HER24L_3A_5",5.4,1245.53,6.7,1,30451,67795,1.24,-1.06400883614691,-0.523891025625589,-0.559685056544341,-0.509314894038368,-0.517123461530877,-0.376531160972741,0.148663208193414,-0.0680828477337176,-0.126317576603171,-0.150035252941509,-0.135796708269529,-0.530660770630283,58309,6.08579414266618,0.164317092651757,-1.06919840346182,-3.08509595417059,-2.01589755070877
"HER24L","HER24L_3A","HER24L_3A_6",5.5,1265.21,6.72,1,30244,67047,1.48,-1.34900667517204,-0.433072573548343,-0.451186864425534,-0.300825834498096,-0.460484753967982,-0.248521207323092,-0.576157971463051,-0.140065089338472,-0.801118909595928,-0.185021293083317,-0.192994531951993,-0.770553389033846,57542,6.10658268494504,0.163757710587521,-1.26493350411562,-2.77615378840428,-1.51122028428865
"HER24L","HER24L_3A","HER24L_3A_7",5.6,1284.89,6.73,1,29280,65103,1.28,-2.06150127273487,-0.478481799586966,-0.646115819757628,-0.216698670122196,-0.436211022155313,-0.308388980322737,-0.114908129863482,-0.118950298467744,-0.459447348586937,0.0119371551224146,-0.348824823244376,-1.06860179371706,55648,6.01474851884533,0.166257990149848,-1.62313675679226,-2.75519697952791,-1.13206022273565
"HER24L","HER24L_3A","HER24L_3A_8",5.7,1304.57,6.75,1,29174,64913,1.17,-1.66962924407532,-0.417936164868802,-0.601980961946588,-0.604415166811124,-0.606127144843998,-0.467549645126674,-1.91597893991894,-0.148702958331042,-1.10862331450402,0.438248533146663,-0.338736388201169,-0.481591825956827,56083,5.79299903100775,0.172622159031509,-0.102654154060083,-2.56286819125771,-2.46021403719763
"HER24L","HER24L_3A","HER24L_3A_9",5.8,1324.25,6.76,1,30456,67186,1.39,-1.88337762334417,-0.455777186567654,-0.638760010122454,-0.556865030424746,-0.687039584219562,-0.397460545029527,0.0608060955077817,-0.0344911349848324,-0.775493542520254,-0.105978757948122,-0.144353862993677,-0.903221276484301,58009,6.22943668993021,0.160528158447534,-0.523248143764548,-2.66549058668341,-2.14224244291887
"HER24L","HER24L_3A","HER24L_3A_10",5.9,1343.93,6.77,1,30003,66261,1.41,-1.27775721541576,-0.0243895392007364,-0.384984577708974,-0.589784355615316,-0.460484753967982,-0.444673341622744,-0.0490152953492584,-0.0834390592760652,-0.17756831075452,-0.00879531310976767,-0.221548406136782,-0.861421805095802,57175,6.10513234745868,0.16379661292949,0.68197387996182,-1.90495438421849,-2.58692826418031
"HER24L","HER24L_3A","HER24L_3A_11",6,1363.6,6.78,1,29760,67240,1.51,-1.27775721541576,-0.39523155184949,-0.668183248663148,-0.505657191239416,-0.4200285342802,-0.424960782220422,0.19259176453623,0.0662840032618234,0.258062929531943,0.195937810683032,-0.221638481449668,-0.852334963489606,57179,6.10121708892201,0.163901724102836,-0.53062825106217,-2.40694510831829,-1.87631685725612
"HER24L","HER24L_3A","HER24L_3A_12",6.1,1383.28,6.79,1,30466,67642,1.57,-1.77650343370974,-0.425504369208572,-0.462220578878294,-0.447133946456182,-0.395754802467531,-0.346840639403811,0.170627486364822,0.499137216111745,NA,-0.152626811470532,-0.14003024797516,-1.13584442160291,57929,6.33649949341439,0.157815841544581,-0.847297860387204,-2.73724935579447,-1.88995149540727
"HER24L","HER24L_3A","HER24L_3A_13",6.2,1402.96,6.79,1,30487,67095,1.26,-0.992759376390628,-0.501186412606277,-0.605658866764174,-0.300825834498096,-0.678948340282005,-0.478987796878639,0.170627486364822,0.458827160813083,-0.792577120570703,0.0274865062965513,-0.180113762209328,-0.945020747872801,57589,6.19772528433946,0.161349520045172,-1.56218502758355,-2.91151419446997,-1.34932916688642
"HER24L","HER24L_3A","HER24L_3A_14",6.3,1422.64,6.8,1,30896,68150,1.51,-0.672136807487355,-0.39523155184949,-0.636921057713661,-0.586126652816363,-0.53330594940599,-0.511598697618283,0.0388418173363736,0.486660294233588,-0.877995010822951,-0.0476686910451095,-0.0627456295191691,-0.443427091210806,59168,6.14848375015102,0.162641724469946,-0.139761942375159,-2.44451858888271,-2.30475664650755
"HER24L","HER24L_3A","HER24L_3A_15",6.4,1442.32,6.81,1,31111,68879,1.2,-0.921509916634345,-0.516322821285818,-0.589108295085034,-0.644649897599598,-0.654674608469336,-0.478744431947746,1.00527005687833,0.373408234108774,NA,-0.089133627509474,-0.00906074303925,-0.176273947988656,59911,6.1119420702754,0.163614116184668,-0.22314355131421,-3.01021029273464,-2.78706674142043
"HER24L","HER24L_3A","HER24L_3A_16",6.5,1462,6.82,1,30886,68315,1.2,-1.13525829590319,-0.508754616946048,-0.572557723405894,-0.505657191239416,-0.64658336453178,-0.430558175630958,-0.861693587691355,0.442511186049338,NA,0.0935712487866324,-0.0688707507954015,-0.854152331810845,58874,6.3126319711837,0.158412529760148,-1.00063188030791,-2.98770010185673,-1.98706822154882
"HER24L","HER24L_3A","HER24L_3A_17",6.6,1481.68,6.83,1,30448,67262,1.29,-1.34900667517204,-0.296844895432474,-0.631404200487281,-0.366664484879234,-0.549488437281103,-0.441509597521137,-0.378479467920379,0.382046103101345,-1.07445615840312,-0.0360066776645069,-0.143453109864819,-0.915942854732975,58012,6.236123238119,0.16035603560356,-0.693147180559945,-2.16959263867413,-1.47644545811419
"HER24L","HER24L_3A","HER24L_3A_18",6.7,1501.36,6.84,1,30498,67991,1.4,-2.02587654285673,-0.38766334750972,-0.519228103550888,-0.476395568847799,-0.703222072094675,-0.469253199642924,0.0608060955077817,0.715083940926007,NA,-0.339219025560173,-0.0990459806121345,-0.750562337500216,58596,6.22693635915146,0.160592616067184,-0.617161273582023,-2.54982619588732,-1.93266492230529
"HER24L","HER24L_3A","HER24L_3A_19",6.8,1521.03,6.84,1,30265,68358,1.37,-1.56275505444089,-0.311981304112015,-0.642437914940041,-0.425187729662469,-0.64658336453178,-0.471200119090067,-0.0270510171778504,0.783227129645175,0.249521140506719,-0.239444022192796,-0.0941819137163029,-0.921394959696692,58556,6.30671325180933,0.158561196628547,-0.567984037605939,-2.19504355138986,-1.62705951378392
"HER24L","HER24L_3A","HER24L_3A_20",6.9,1540.71,6.85,1,30679,70192,1.37,-1.99025181297859,-0.402799756189261,-0.706801249247808,-0.125256100148392,-0.387663558529974,-0.417903199224528,-0.180800964377707,0.953105219832394,NA,-0.0671053800127803,-0.00671878490421997,-0.436157617925849,59794,6.22062552831784,0.160755537437152,-1.48393283068381,-2.38381053291663,-0.899877702232825
"HER24L","HER24L_3A","HER24L_3A_21",7,1560.39,6.86,1,30588,69344,1.38,-1.38463140505018,-0.372526938830179,-0.670022201071941,-0.447133946456182,-0.638492120594223,-0.405491587748992,0.170627486364822,0.731399915689752,0.343480819784191,-0.197979085728431,-0.0513961400955621,-0.583364451946217,59217,6.22158536585366,0.160730736813219,-0.669616683149751,-2.33236965435157,-1.66275297120182
"HER24L","HER24L_3A","HER24L_3A_22",7.1,1580.07,6.86,1,30472,69583,1.4,-1.06400883614691,-0.349822325810867,-0.629565248078488,-0.501999488440464,-0.687039584219562,-0.491886138215961,1.00527005687833,0.841772686150375,-0.143401154653621,-0.239444022192796,-0.0352726590890092,-0.794179177209955,59280,6.33300346363187,0.157902961168841,-0.405465108108164,-2.31339600909826,-1.9079309009901
"HER24L","HER24L_3A","HER24L_3A_23",7.2,1599.75,6.86,1,30586,69116,1.29,-1.52713032456275,-0.38766334750972,-0.636921057713661,-0.549549624826842,-0.53330594940599,-0.527904147988105,0.0827703736791897,1.08939159727073,0.37764797588509,-0.264063828218512,-0.0639166085866841,-0.301672362154155,59233,6.08952722920407,0.164216360706003,-0.311779624030841,-2.41982597629234,-2.1080463522615
"HER24L","HER24L_3A","HER24L_3A_24",7.3,1619.43,6.86,1,30788,70081,1.31,-1.88337762334417,-0.508754616946048,-0.750936107058848,-0.64830760039855,-0.654674608469336,-0.485558650012746,-0.598122249634459,1.2141608160523,NA,-0.0321193398709727,0.0128275579919922,-0.417983934713458,60021,6.23929562175853,0.160274502223081,-0.148420005118273,-2.77008559202166,-2.62166558690339
"HER24L","HER24L_3A","HER24L_3A_25",7.4,1639.11,6.86,1,31218,70243,1.42,-1.81212816358788,-0.433072573548343,-0.721512868518155,-0.589784355615316,-0.662765852406892,-0.466332820472209,0.544020215278758,1.14793715377593,NA,-0.0748800555998487,0.0531812981648173,-0.710580234432955,60308,6.4179581795818,0.155812794664418,-0.251314428280906,-2.47293045874128,-2.22161603046038
"HER24L","HER24L_3A","HER24L_3A_26",7.5,1658.79,6.87,1,32124,71998,1.48,-0.850260456878062,-0.561732047324441,-0.609336771581761,-0.509314894038368,-0.598035900906441,-0.496023342041139,0.785627275164246,1.30053950597801,-0.664450285192332,-0.0489644703096208,0.160100694560227,-0.296220257190438,61723,6.38490069394592,0.156619507167619,-1.3143208614948,-3.27504609633526,-1.96072523484045
"HER24L","HER24L_3A","HER24L_3A_27",7.6,1678.47,6.87,1,31262,69993,1.38,-1.3133819452939,-0.478481799586966,-0.528422865594854,-0.630019086403789,-0.776043267532682,-0.522306754577569,0.324377433564678,1.34564837738365,0.420356921011214,-0.230373567341216,0.0351662355876632,-0.519756560702848,60213,6.31183970856102,0.158432413713494,-0.159064694629687,-2.886532981589,-2.72746828695931
"HER24L","HER24L_3A","HER24L_3A_28",7.7,1698.14,6.87,1,31971,71622,1.55,-0.779010997121779,-0.5465956386449,-0.618531533625728,-0.611730572409029,NA,-0.549076896975785,-0.993479256719803,1.97237376095571,-0.587574183965309,-0.501191433624097,0.150913012645878,-0.421618671355936,61552,6.42574496320425,0.155623979122468,-0.667829372575656,-3.15912582046243,-2.49129644788677
"HER24L","HER24L_3A","HER24L_3A_29",7.8,1717.82,6.85,1,32660,72892,1.32,-0.743386267243638,-0.266572078073392,-0.655310581801595,-0.538576516429985,NA,-0.598966707808823,-0.488300858777419,2.33228496897948,NA,-0.318486557327991,0.237295237703332,0.0599839337724287,62776,6.33878887070376,0.157758843273948,-0.0344861760711693,-2.06841607166813,-2.03392989559696
