"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER24L","HER24L_3A","HER24L_3A_2",5.1,1186.5,6.67,1,30814,68160,1.33,0.00068904419726351,0.000629983266069495,0.010256915050694,0.00173245398169111,0.000629983266069495,0.0384880401614332,0.00409489122945172,0.0660498080519736,0.000295304655970076,0.0216556747711389,1,0.161984447288119,59023,6.17343218279047,0.161984447288119,-1.01160091167848,-2.79001413895364,-1.77841322727516
"HER24L","HER24L_3A","HER24L_3A_3",5.2,1206.17,6.69,1,30582,67603,1.3,0.000639169080195746,0.000359532607610107,0.00986717267552182,0.00167781883551383,0.000639169080195746,0.0366723259762309,0.00333566363727155,0.0680515330070908,0.00203735144312394,0.0219314890642165,1,0.162149206032158,58183,6.16715939886672,0.162149206032158,-1.54044504094715,-3.31216375929176,-1.77171871834461
"HER24L","HER24L_3A","HER24L_3A_4",5.3,1225.85,6.69,1,30510,66920,1.28,0.000984805852560495,0.000924511616689444,0.00944609695313128,0.00174853284026047,0.000321569257978937,0.0428491036256934,0.00285392716456307,0.0631682611142375,NA,0.0217461210708256,1,0.165487579387411,57990,6.0427495749332,0.165487579387411,-0.637266722165489,-2.32409129821501,-1.68682457604952
"HER24L","HER24L_3A","HER24L_3A_5",5.4,1245.53,6.7,1,30451,67795,1.24,0.000958466453674121,0.00045926517571885,0.0100439297124601,0.00133785942492013,0.000738817891373802,0.0388178913738019,0.00381389776357827,0.0644568690095847,0.00261581469648562,0.0221246006389776,1,0.164317092651757,58309,6.08579414266618,0.164317092651757,-1.06919840346182,-3.08509595417059,-2.01589755070877
"HER24L","HER24L_3A","HER24L_3A_6",5.5,1265.21,6.72,1,30244,67047,1.48,0.000808979674385681,0.000707857215087471,0.0113661644251188,0.00250783699059561,0.000889877641824249,0.0499544948933158,0.00319546971382344,0.0637678228334513,0.00105167357670139,0.021862675700273,1,0.163757710587521,57542,6.10658268494504,0.163757710587521,-1.26493350411562,-2.77615378840428,-1.51122028428865
"HER24L","HER24L_3A","HER24L_3A_7",5.6,1284.89,6.73,1,29280,65103,1.28,0.000419155401865242,0.0006077753327046,0.00955674316252751,0.00308079220370953,0.000985015194383318,0.0466100806874149,0.00375144084669391,0.0665409200461071,0.00192811484858011,0.0258409305249921,1,0.166257990149848,55648,6.01474851884533,0.166257990149848,-1.62313675679226,-2.75519697952791,-1.13206022273565
"HER24L","HER24L_3A","HER24L_3A_8",5.7,1304.57,6.75,1,29174,64913,1.17,0.000648169444037887,0.000773621594496832,0.0100361720367157,0.000857256361469463,0.000543625985322098,0.0328266460367575,0.00202814309908629,0.0657369268404876,0.000334539067890522,0.0326593765028122,1,0.172622159031509,56083,5.79299903100775,0.172622159031509,-0.102654154060083,-2.56286819125771,-2.46021403719763
"HER24L","HER24L_3A","HER24L_3A_9",5.8,1324.25,6.76,1,30456,67186,1.39,0.000500150045013504,0.000640192057617285,0.00920276082824847,0.00108032409722917,0.000320096028808643,0.0371711513454036,0.00374112233670101,0.0652795838751626,0.00110033009902971,0.0228468540562169,1,0.160528158447534,58009,6.22943668993021,0.160528158447534,-0.523248143764548,-2.66549058668341,-2.14224244291887
"HER24L","HER24L_3A","HER24L_3A_10",5.9,1343.93,6.77,1,30003,66261,1.41,0.000854909623839765,0.00181159420289855,0.0121722846441948,0.000915974596971177,0.000895619605927373,0.0338707050968898,0.00370460836997232,0.0653802312326983,0.00254437388047549,0.0247720241003094,1,0.16379661292949,57175,6.10513234745868,0.16379661292949,0.68197387996182,-1.90495438421849,-2.58692826418031
"HER24L","HER24L_3A","HER24L_3A_11",6,1363.6,6.78,1,29760,67240,1.51,0.00085492702587172,0.000814216215115924,0.00903779998778676,0.00138416756569707,0.000997414863517007,0.0355201823844322,0.00392859323793433,0.0685570053127608,0.00358255134651007,0.0279886823946099,1,0.163901724102836,57179,6.10121708892201,0.163901724102836,-0.53062825106217,-2.40694510831829,-1.87631685725612
