"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER34L","HER34L_1A_3",11.2,311.29,6.44,1,31513.1582,69707,1.51,62,54,518,80,54,5466,51,130,52,0,2113,53,1308,1125,50057,7976
"HER34L","HER34L_1A_4",11.3,318.27,6.45,1,32379.19336,74221,1.52,45,117,615,133,90,6934,31,173,34,35,2164,327,1547,1160,51687,8678
"HER34L","HER34L_1A_5",11.4,325.24,6.46,1,33784.93359,74694,1.22,29,46,546,32,26,5535,50,175,150,0,2226,78,1005,1128,54399,8616
"HER34L","HER34L_1A_6",11.5,332.22,6.46,1,34402.92969,76312,1.32,32,41,522,50,46,5232,75,226,86,72,2511,50,979,1325,55965,8642
"HER34L","HER34L_1A_7",11.6,339.2,6.47,1,34864.18359,76763,1.27,36,43,559,87,61,5301,0,171,18,142,2746,0,763,1104,56814,8552
"HER34L","HER34L_1A_8",11.7,346.17,6.48,1,34586.17188,76003,1.64,50,51,566,89,42,4717,53,209,101,0,2546,160,763,1265,56382,8712
"HER34L","HER34L_1A_9",11.8,353.15,6.47,1,34635.38281,75858,1.51,69,20,476,65,91,4278,51,231,117,65,2359,0,805,975,57132,8560
"HER34L","HER34L_1A_10",11.9,360.13,6.47,1,34763.63281,76483,1.52,24,50,526,80,69,5720,25,149,24,0,2561,98,852,1020,55864,8671
"HER34L","HER34L_1A_11",12,367.1,6.47,1,34818.89453,76761,1.53,51,46,488,70,47,5161,94,180,97,154,2555,55,535,1269,56615,8849
"HER34L","HER34L_1A_12",12.1,374.08,6.48,1,35053.09766,77325,1.35,46,45,473,43,16,4557,42,232,108,62,2578,0,768,1126,57892,8828
"HER34L","HER34L_1A_13",12.2,381.06,6.48,1,35178.38281,78484,1.35,65,49,512,93,69,5356,27,227,190,154,2759,0,914,1434,57277,8652
"HER34L","HER34L_1A_14",12.3,388.03,6.49,1,34840.20703,76745,1.41,68,37,485,92,53,4875,73,183,129,56,2454,0,675,1279,56946,8808
