"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER34L","HER34L_1A","HER34L_1A_361",47,2804.16,7.4,1,33593.36328,79900,1.38,0.000809141323439443,0.00108543348266267,0.0128278502496497,0.00359179806990192,0.00203272088571372,0.204436462670956,0.00155907718418819,0.00219060211955556,0.00207219119417418,0.000809141323439443,0.117443902824101,0.00459829093564366,0.0213534368771092,1,0.165064829981646,59035,6.05822572931612,0.165064829981646,-1.19667350184432,-2.46963917765721,-1.27296567581289
"HER34L","HER34L_1A","HER34L_1A_362",47.1,2811.53,7.41,1,33209.69141,81475,1.31,0.00174839558992924,0.00139871647194339,0.0123004772091493,0.00446355109428995,0.00174839558992924,0.312386868520652,NA,0.00481323021227579,0.00205693598815205,0.00041138719763041,0.116031759091657,0.0041138719763041,0.0152418956722067,1,0.165357084087543,56655,6.04751834805324,0.165357084087543,-1.16038964836435,-2.17408304877453,-1.01369340041017
"HER34L","HER34L_1A","HER34L_1A_363",47.2,2818.9,7.4,1,34622.03906,97357,1.51,0.00178212487307541,0.00142984437490934,0.0118946474086661,0.00489048220983484,0.00215512775348654,0.649335847649046,0.00198934869552604,0.00308763495451437,0.00196862631328097,NA,0.117454462565016,0.00375075118635638,0.0197277078972999,1,0.163789709264977,56161,6.10538967611336,0.163789709264977,-1.22972530042835,-2.11852289172231,-0.888797591293956
"HER34L","HER34L_1A","HER34L_1A_364",47.3,2826.27,7.4,1,34135.88281,88028,1.46,0.00174615743842765,0.000548212219041238,0.0110251568496071,0.00306592759537877,0.00274106109520619,0.412072851312664,0.00201011146981787,0.00253801953259832,0.00249741122007675,0.000812166250431463,0.125499989847922,0.000324866500172585,0.0232076506060791,1,0.167692026557836,57510,5.96331274972757,0.167692026557836,-1.7214429708106,-3.00127245392961,-1.27982948311901
"HER34L","HER34L_1A","HER34L_1A_365",47.4,2833.64,7.41,1,33487.83594,82531,1.3,0.00199413967117044,0.00140403711541592,0.0105201041836236,0.00339817678658636,0.00185170112322969,0.315074068044929,0.000712192739703728,0.00329643496662868,0.00103776656356829,0.000691844375712193,0.118997232622497,0.00166856584730588,0.0196768679798144,1,0.165635682891096,57284,6.03734643734644,0.165635682891096,-0.883887307819496,-2.01393636991117,-1.13004906209167
"HER34L","HER34L_1A","HER34L_1A_366",47.5,2841.01,7.41,1,33228.12891,78011,1.32,0.00178263830469094,0.00128189720786764,0.0112166005688419,0.00330489123903377,0.00174257901694508,0.200817209470016,0.000200296438729319,0.00284420942995634,0.00324480230741497,0.000400592877458639,0.120338100388575,0.00172254937307215,0.0211312742859432,1,0.170251972919921,58426,5.87364705882353,0.170251972919921,-0.947062390540909,-2.16905370036952,-1.22199130982861
"HER34L","HER34L_1A","HER34L_1A_367",47.6,2848.38,7.42,1,33460.44141,81543,1.35,0.00169255276782159,0.00123456790123457,0.00937873357228196,0.00260852250099562,0.00123456790123457,0.260434090003982,0.000716845878136201,0.00324571883711669,NA,0.000577459179609717,0.120708880923935,NA,0.0217642373556352,1,0.160533651931501,58282,6.22922351773753,0.160533651931501,-0.74806293815606,-2.02772370897133,-1.27966077081527
"HER34L","HER34L_1A","HER34L_1A_368",47.7,2855.75,7.43,1,33738.41406,84415,1.35,0.00211544273194319,0.00102750075551526,0.0124307444343709,0.0043517679057117,0.00223632517376851,0.314032436788556,0.00201470736375541,0.00507706255666364,0.0014505893019039,0.00167220711191699,0.118102145663342,0.0026795607937947,0.0190389845874887,1,0.173708068902992,58257,5.75678496868476,0.173708068902992,-1.44345277495984,-2.49304339118106,-1.04959061622122
"HER34L","HER34L_1A","HER34L_1A_369",47.8,2863.12,7.43,1,34582.98828,89058,1.5,0.00124277513660663,0.00167676010494546,0.011816227092498,0.00309707454678161,0.0019923855364646,0.379796027064881,0.00213047166275423,0.00426094332550845,0.000670704041978182,0.00138086126289626,0.116347424693745,0.000216992484169412,0.0267492553212475,1,0.163967411674196,59005,6.09877285851781,0.163967411674196,-0.613594548857992,-1.95261034162513,-1.33901579276714
"HER34L","HER34L_1A","HER34L_1A_370",47.9,2870.49,7.44,1,34651.16016,86755,1.45,0.00203331508563385,0.00105575975600219,0.0111832329709862,0.00355830139985923,0.00256119496363494,0.335594744662548,0.00201376397904121,0.00402752795808243,0.00201376397904121,0.00144678188785485,0.11820599045906,0.00226792836474544,0.0244388832407914,1,0.159302416516775,59296,6.27736867943054,0.159302416516775,-1.21502264051252,-2.36015494481552,-1.145132304303
"HER34L","HER34L_1A","HER34L_1A_371",48,2877.86,7.44,1,34807.89063,91909,1.45,0.00186570906975345,0.00096294661664694,0.0100708166990992,0.00371135675166008,0.0019660160089875,0.467209661564387,0.00327000621903023,0.00331012899472385,0.00150460408851084,0.0012438060465023,0.120869861777038,0.00331012899472385,0.0205027383794411,1,0.171023331394066,58372,5.84715542521994,0.171023331394066,-1.34915481417043,-2.34739910878384,-0.998244294613404
"HER34L","HER34L_1A","HER34L_1A_372",48.1,2885.23,7.43,1,34770.47656,90227,1.43,0.00295605594683067,0.00124987600436465,0.0139073504612638,0.0044440035710743,0.00267830572363853,0.407122309294713,0.00136891181430414,0.0028171808352346,0.00220216248388057,0.00136891181430414,0.118896934827894,0.000436464636444797,0.0249975200872929,1,0.170856065866481,59017,5.85287970274036,0.170856065866481,-1.26851132546351,-2.40937316064306,-1.14086183517955
"HER34L","HER34L_1A","HER34L_1A_373",48.2,2892.6,7.43,1,34725.15625,91027,1.49,0.00237557671542162,0.00272896829292235,0.0142730931579464,0.00567389810542849,0.00323942279375675,0.405968391086679,NA,0.00325905565917346,0.000667517424168057,NA,0.120388730735251,0.00168842642583685,0.0220084421321292,1,0.167409443408265,59462,5.97337867948868,0.167409443408265,-0.73195275498174,-1.65445254440283,-0.922499789421087
"HER34L","HER34L_1A","HER34L_1A_374",48.3,2899.97,7.43,1,34282.59375,84654,1.3,0.00214,0.00232,0.01466,0.00516,0.00288,0.30732,NA,0.00392,0.00066,0.00284,0.12322,0.00382,0.02038,1,0.16772,58386,5.96231814929645,0.16772,-0.799369393815253,-1.84355551078029,-1.04418611696503
