"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca","cps_sum_all","cps_sum_filtered"
"HER34L","HER34L_1A","HER34L_1A_3",11.2,311.29,6.44,1,31513.1582,69707,1.51,0.0889437215774599,0.0774671123416587,0.743110448018133,0.114766092358013,0.0774671123416587,7.84139326036123,0.0731633838782332,0.186494900081771,0.0745979600327083,0,3.03125941440601,0.0760325361871835,1.87642561005351,71.8105785645631,11.4421794080939,6.27595285857573,0.159338354276125,-0.393042588109607,-2.26099119569521,-1.8679486075856,100,97.5138795242946
"HER34L","HER34L_1A","HER34L_1A_4",11.3,318.27,6.45,1,32379.19336,74221,1.52,0.0606297409089072,0.157637326363159,0.828606459088398,0.179194567575215,0.121259481817814,9.34236941027472,0.0417671548483583,0.233087670605354,0.0458091375756188,0.0471564651513722,2.91561687393056,0.440576117271392,2.08431575969065,69.6393204079708,11.6921087023888,5.95609587462549,0.167895215431346,-0.128175193423998,-1.65944833300876,-1.53127313958476,100,97.8294552754611
"HER34L","HER34L_1A","HER34L_1A_5",11.4,325.24,6.46,1,33784.93359,74694,1.22,0.0388250729643613,0.0615845984951937,0.73098240822556,0.0428414598227435,0.0348086861059791,7.41023375371516,0.0669397809730367,0.234289233405628,0.20081934291911,0,2.98015904891959,0.104426058317937,1.34548959755804,72.8291429030444,11.5350630572737,6.31371866295265,0.158385264435008,0.362905493689368,-2.47397757925581,-2.83688307294518,100,97.6156050017404
"HER34L","HER34L_1A","HER34L_1A_6",11.5,332.22,6.46,1,34402.92969,76312,1.32,0.0419331166788972,0.053726805744837,0.68403396582451,0.0655204948107768,0.0602788552259147,6.85606457699969,0.0982807422161652,0.296152636544711,0.112695251074536,0.0943495125275186,3.29043924939721,0.0655204948107768,1.28289128839501,73.3370898417025,11.3245623230947,6.47593149733858,0.154417939783793,-0.198450938723838,-2.54409552117833,-2.34564458245449,100,97.6635391550477
"HER34L","HER34L_1A","HER34L_1A_7",11.6,339.2,6.47,1,34864.18359,76763,1.27,0.0468975938928911,0.0560165704831755,0.728215416281281,0.11333585190782,0.079465367429621,6.90567070072822,0,0.222763570991233,0.0234487969464456,0.184984953688626,3.57724424527442,0,0.993968448340998,74.012219428631,11.1407839714446,6.6433582787652,0.150526278734115,-0.704708002961021,-2.56494935746154,-1.86024135450052,100,98.0850149160403
"HER34L","HER34L_1A","HER34L_1A_8",11.7,346.17,6.48,1,34586.17188,76003,1.64,0.0657868768338092,0.0671026143704854,0.74470744575872,0.11710064076418,0.0552609765403997,6.20633396050156,0.0697340894438377,0.274989145165322,0.132889491204295,0,3.34986776837756,0.210518005868189,1.00390774048393,74.1839137928766,11.4627054195229,6.47176308539945,0.154517399169948,-0.556810737007814,-2.40676844547886,-1.84995770847104,100,97.9448179677118
"HER34L","HER34L_1A","HER34L_1A_9",11.8,353.15,6.47,1,34635.38281,75858,1.51,0.0909594241872973,0.0263650504890717,0.627488201639906,0.085686414089483,0.119960979725276,5.63948429961243,0.0672308787471328,0.304516333148778,0.154235545361069,0.085686414089483,3.10975770518601,0,1.06119328218514,75.3144032270822,11.2842416093227,6.67429906542056,0.149828467408808,-1.17865499634165,-3.16968558067743,-1.99103058433578,100,97.9712093648659
"HER34L","HER34L_1A","HER34L_1A_10",11.9,360.13,6.47,1,34763.63281,76483,1.52,0.0313795222467738,0.0653740046807787,0.687734529241792,0.104598407489246,0.0902161264594747,7.47878613548109,0.0326870023403894,0.194814533948721,0.0313795222467738,0,3.34845651974949,0.128133049174326,1.11397303976047,73.0410679497405,11.3371598917406,6.44262484142544,0.155216239438637,-0.470003629245736,-2.35327820730956,-1.88327457806383,100,97.6857602343004
"HER34L","HER34L_1A","HER34L_1A_11",12,367.1,6.47,1,34818.89453,76761,1.53,0.066439989056943,0.0599262646395956,0.635739503133101,0.0911921418428629,0.0612290095230651,6.72346634358594,0.12245801904613,0.234494079024505,0.126366253696539,0.200622712054298,3.3285131772645,0.0716509685908209,0.696968512656167,73.7549015776241,11.5279894738213,6.39789806757826,0.156301333568842,-0.419853845560264,-2.36167400936405,-1.94182016380379,100,97.7019580255599
"HER34L","HER34L_1A","HER34L_1A_12",12.1,374.08,6.48,1,35053.09766,77325,1.35,0.0594891690914969,0.05819592628516,0.611703847397349,0.0556094406724863,0.0206918849013902,5.89330746847721,0.0543161978661494,0.300032331070158,0.139670223084384,0.0801810539928872,3.3339799547365,0,0.993210475266731,74.8684125444552,11.4167474943421,6.55777072949705,0.152490845021765,0.0454623740767574,-2.35243289872161,-2.39789527279837,100,97.8855480116392
