"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER34L","HER34L_1A","HER34L_1A_3",11.2,311.29,6.44,1,31513.1582,69707,1.51,62,54,518,80,54,5466,51,130,52,NA,2113,53,1308,50057,7976,58033,6.27595285857573,0.159338354276125,-0.393042588109607,-2.26099119569521,-1.8679486075856
"HER34L","HER34L_1A","HER34L_1A_4",11.3,318.27,6.45,1,32379.19336,74221,1.52,45,117,615,133,90,6934,31,173,34,35,2164,327,1547,51687,8678,60365,5.95609587462549,0.167895215431346,-0.128175193423998,-1.65944833300876,-1.53127313958476
"HER34L","HER34L_1A","HER34L_1A_5",11.4,325.24,6.46,1,33784.93359,74694,1.22,29,46,546,32,26,5535,50,175,150,NA,2226,78,1005,54399,8616,63015,6.31371866295265,0.158385264435008,0.362905493689368,-2.47397757925581,-2.83688307294518
"HER34L","HER34L_1A","HER34L_1A_6",11.5,332.22,6.46,1,34402.92969,76312,1.32,32,41,522,50,46,5232,75,226,86,72,2511,50,979,55965,8642,64607,6.47593149733858,0.154417939783793,-0.198450938723838,-2.54409552117833,-2.34564458245449
"HER34L","HER34L_1A","HER34L_1A_7",11.6,339.2,6.47,1,34864.18359,76763,1.27,36,43,559,87,61,5301,NA,171,18,142,2746,NA,763,56814,8552,65366,6.6433582787652,0.150526278734115,-0.704708002961021,-2.56494935746154,-1.86024135450052
"HER34L","HER34L_1A","HER34L_1A_8",11.7,346.17,6.48,1,34586.17188,76003,1.64,50,51,566,89,42,4717,53,209,101,NA,2546,160,763,56382,8712,65094,6.47176308539945,0.154517399169948,-0.556810737007814,-2.40676844547886,-1.84995770847104
"HER34L","HER34L_1A","HER34L_1A_9",11.8,353.15,6.47,1,34635.38281,75858,1.51,69,20,476,65,91,4278,51,231,117,65,2359,NA,805,57132,8560,65692,6.67429906542056,0.149828467408808,-1.17865499634165,-3.16968558067743,-1.99103058433578
"HER34L","HER34L_1A","HER34L_1A_10",11.9,360.13,6.47,1,34763.63281,76483,1.52,24,50,526,80,69,5720,25,149,24,NA,2561,98,852,55864,8671,64535,6.44262484142544,0.155216239438637,-0.470003629245736,-2.35327820730956,-1.88327457806383
"HER34L","HER34L_1A","HER34L_1A_11",12,367.1,6.47,1,34818.89453,76761,1.53,51,46,488,70,47,5161,94,180,97,154,2555,55,535,56615,8849,65464,6.39789806757826,0.156301333568842,-0.419853845560264,-2.36167400936405,-1.94182016380379
"HER34L","HER34L_1A","HER34L_1A_12",12.1,374.08,6.48,1,35053.09766,77325,1.35,46,45,473,43,16,4557,42,232,108,62,2578,NA,768,57892,8828,66720,6.55777072949705,0.152490845021765,0.0454623740767574,-2.35243289872161,-2.39789527279837
"HER34L","HER34L_1A","HER34L_1A_13",12.2,381.06,6.48,1,35178.38281,78484,1.35,65,49,512,93,69,5356,27,227,190,154,2759,NA,914,57277,8652,65929,6.62008784096163,0.151055397454476,-0.640779195042629,-2.34650432692888,-1.70572513188625
"HER34L","HER34L_1A","HER34L_1A_14",12.3,388.03,6.49,1,34840.20703,76745,1.41,68,37,485,92,53,4875,73,183,129,56,2454,NA,675,56946,8808,65754,6.46525885558583,0.154672847961226,-0.910870664404816,-2.57323097829326,-1.66236031388844
"HER34L","HER34L_1A","HER34L_1A_15",12.4,395.01,6.5,1,34982.08984,80352,1.42,53,75,770,166,175,9438,52,201,68,143,2301,NA,798,55635,8586,64221,6.47973445143256,0.15432731194392,-0.794499674820233,-2.32890240131142,-1.53440272649119
"HER34L","HER34L_1A","HER34L_1A_16",12.5,401.99,6.49,1,34657.51563,75353,1.39,55,60,527,62,17,4289,62,172,33,4,2419,77,897,56275,8790,65065,6.40216154721274,0.156197245668592,-0.0327898228229908,-2.17285598631926,-2.14006616349627
"HER34L","HER34L_1A","HER34L_1A_17",12.6,408.96,6.49,1,34306.19531,76598,1.6,34,7,522,61,40,5024,43,142,44,68,2455,205,879,56760,8852,65612,6.41211025756891,0.155954897815363,-2.164963715118,-4.31175743882733,-2.14679372370933
"HER34L","HER34L_1A","HER34L_1A_18",12.7,415.94,6.48,1,35192.12891,78452,1.35,36,61,661,74,46,6507,12,225,82,120,2483,39,689,56886,8856,65742,6.42344173441734,0.155679780613859,-0.193191229030858,-2.38287997567837,-2.18968874664752
"HER34L","HER34L_1A","HER34L_1A_19",12.8,422.92,6.46,1,35833.94141,77461,1.54,62,30,603,108,57,4031,14,168,131,92,2662,27,729,58048,8689,66737,6.68063068247209,0.149686466372657,-1.28093384546206,-3.00071981506503,-1.71978596960297
"HER34L","HER34L_1A","HER34L_1A_20",12.9,429.89,6.47,1,35426.53516,76716,1.71,60,39,586,101,32,3756,29,180,55,5,2660,38,715,58110,8628,66738,6.73504867872045,0.148477026329375,-0.951558870711613,-2.70975814344737,-1.75819927273575
"HER34L","HER34L_1A","HER34L_1A_21",13,436.87,6.49,1,35428.93359,76865,1.4,38,31,524,70,25,4202,40,162,65,53,2831,91,636,57456,8765,66221,6.55516257843697,0.152551517683097,-0.814508037564213,-2.8275044798359,-2.01299644227168
"HER34L","HER34L_1A","HER34L_1A_22",13.1,443.85,6.49,1,35109.97266,75307,1.51,49,31,402,83,NA,3166,NA,188,42,56,2645,41,570,57777,8724,66501,6.62276478679505,0.150994340308427,-0.984853403311452,-2.56246488413387,-1.57761148082242
"HER34L","HER34L_1A","HER34L_1A_23",13.2,450.82,6.49,1,35046.6875,76316,1.49,8,26,384,49,56,3176,31,177,115,52,2727,NA,525,58408,8628,67036,6.76958738989337,0.147719490480756,-0.633723760089145,-2.69254601456624,-2.0588222544771
"HER34L","HER34L_1A","HER34L_1A_24",13.3,457.8,6.49,1,35190.49609,75824,1.21,53,29,372,50,18,3101,NA,179,70,73,2613,175,461,58363,8419,66782,6.93229599714931,0.144252351661155,-0.544727175441672,-2.55159802428667,-2.006870848845
"HER34L","HER34L_1A","HER34L_1A_25",13.4,464.78,6.5,1,35579.06641,76162,1.4,39,53,492,60,33,3346,29,244,69,135,2616,NA,528,57925,8757,66682,6.61470823341327,0.151178247734139,-0.124052648669979,-2.22818680294019,-2.10413415427021
"HER34L","HER34L_1A","HER34L_1A_26",13.5,471.75,6.5,1,35760.71875,77020,1.56,83,55,505,50,53,3436,NA,208,NA,NA,2907,NA,588,58267,8883,67150,6.55938309129798,0.152453361250794,0.0953101798043249,-2.21722524404289,-2.31253542384721
"HER34L","HER34L_1A","HER34L_1A_27",13.6,478.73,6.51,1,35628.19922,76905,1.41,40,55,558,49,15,3123,NA,184,39,95,2859,NA,731,58726,8798,67524,6.67492611957263,0.149814392262371,0.115512887121844,-2.31702577714884,-2.43253866427068
