"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Mg","Al","Si","P","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","As","Se","Br","Rb","Sr","Y","Zr","Sn","I","Cs","Ba","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","qc","label"
"HER34L","HER34L_1A_3",11.2,311.29,6.44,1,31513.1582,69707,1.51,0,13,30,31,62,46,54,518,80,21,0,54,5466,51,130,52,0,0,124,2113,53,1308,0,1125,10,0,0,0,0,0,0,0,134,43,0,50057,7976,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_4",11.3,318.27,6.45,1,32379.19336,74221,1.52,4,0,5,0,45,22,117,615,133,0,23,90,6934,31,173,34,35,0,14,2164,327,1547,0,1160,0,10,0,0,0,0,58,0,142,14,0,51687,8678,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_5",11.4,325.24,6.46,1,33784.93359,74694,1.22,0,24,10,0,29,57,46,546,32,0,9,26,5535,50,175,150,0,0,168,2226,78,1005,0,1128,7,0,0,0,0,0,0,0,84,110,22,54399,8616,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_6",11.5,332.22,6.46,1,34402.92969,76312,1.32,6,0,21,19,32,48,41,522,50,0,0,46,5232,75,226,86,72,0,79,2511,50,979,0,1325,0,0,0,0,0,0,0,0,110,0,0,55965,8642,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_7",11.6,339.2,6.47,1,34864.18359,76763,1.27,41,31,28,23,36,45,43,559,87,0,0,61,5301,0,171,18,142,0,20,2746,0,763,0,1104,0,0,0,0,0,0,0,0,27,0,0,56814,8552,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_8",11.7,346.17,6.48,1,34586.17188,76003,1.64,0,12,0,37,50,58,51,566,89,0,0,42,4717,53,209,101,0,0,0,2546,160,763,0,1265,16,4,0,0,0,0,0,0,0,0,11,56382,8712,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_9",11.8,353.15,6.47,1,34635.38281,75858,1.51,0,15,17,46,69,36,20,476,65,8,0,91,4278,51,231,117,65,0,87,2359,0,805,0,975,6,14,0,0,0,41,0,0,0,79,0,57132,8560,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_10",11.9,360.13,6.47,1,34763.63281,76483,1.52,0,0,0,18,24,55,50,526,80,0,14,69,5720,25,149,24,0,0,111,2561,98,852,0,1020,6,20,0,0,0,0,0,0,78,126,92,55864,8671,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_11",12,367.1,6.47,1,34818.89453,76761,1.53,0,0,0,20,51,60,46,488,70,7,0,47,5161,94,180,97,154,0,24,2555,55,535,0,1269,0,0,0,0,0,0,0,0,92,88,0,56615,8849,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_12",12.1,374.08,6.48,1,35053.09766,77325,1.35,8,24,25,12,46,65,45,473,43,17,0,16,4557,42,232,108,62,0,53,2578,0,768,0,1126,0,0,0,0,0,0,0,0,149,0,0,57892,8828,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_13",12.2,381.06,6.48,1,35178.38281,78484,1.35,0,29,0,14,65,40,49,512,93,0,16,69,5356,27,227,190,154,0,134,2759,0,914,0,1434,11,0,0,0,0,0,16,0,255,0,13,57277,8652,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_14",12.3,388.03,6.49,1,34840.20703,76745,1.41,0,0,0,0,68,36,37,485,92,0,5,53,4875,73,183,129,56,0,11,2454,0,675,0,1279,0,13,0,0,0,0,0,0,175,131,0,56946,8808,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_15",12.4,395.01,6.5,1,34982.08984,80352,1.42,0,11,0,13,53,61,75,770,166,13,0,175,9438,52,201,68,143,0,19,2301,0,798,0,1347,5,12,0,0,0,0,0,0,157,0,0,55635,8586,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_16",12.5,401.99,6.49,1,34657.51563,75353,1.39,0,6,0,22,55,68,60,527,62,7,8,17,4289,62,172,33,4,0,145,2419,77,897,0,992,9,13,0,0,0,0,0,0,0,120,30,56275,8790,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_17",12.6,408.96,6.49,1,34306.19531,76598,1.6,0,0,0,0,34,31,7,522,61,0,0,40,5024,43,142,44,68,0,36,2455,205,879,0,1152,12,0,0,0,0,0,0,0,0,70,0,56760,8852,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_18",12.7,415.94,6.48,1,35192.12891,78452,1.35,0,0,0,0,36,52,61,661,74,0,0,46,6507,12,225,82,120,0,142,2483,39,689,0,1089,0,6,0,0,0,0,0,0,138,63,0,56886,8856,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_19",12.8,422.92,6.46,1,35833.94141,77461,1.54,0,6,28,13,62,47,30,603,108,0,5,57,4031,14,168,131,92,0,151,2662,27,729,0,1271,6,0,0,0,6,0,0,0,86,171,0,58048,8689,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_20",12.9,429.89,6.47,1,35426.53516,76716,1.71,14,0,29,25,60,73,39,586,101,0,16,32,3756,29,180,55,5,25,126,2660,38,715,0,1176,12,10,0,0,0,0,0,0,0,66,0,58110,8628,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_21",13,436.87,6.49,1,35428.93359,76865,1.4,0,11,11,11,38,56,31,524,70,0,0,25,4202,40,162,65,53,0,188,2831,91,636,0,1301,6,17,0,0,0,0,0,0,83,5,0,57456,8765,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_22",13.1,443.85,6.49,1,35109.97266,75307,1.51,0,0,0,26,49,54,31,402,83,0,7,0,3166,0,188,42,56,0,58,2645,41,570,0,1032,17,13,0,0,0,0,55,0,31,0,0,57777,8724,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_23",13.2,450.82,6.49,1,35046.6875,76316,1.49,0,20,0,37,8,80,26,384,49,15,26,56,3176,31,177,115,52,0,59,2727,0,525,0,1369,11,0,0,0,0,0,0,0,88,57,0,58408,8628,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_24",13.3,457.8,6.49,1,35190.49609,75824,1.21,0,25,20,21,53,39,29,372,50,10,0,18,3101,0,179,70,73,0,97,2613,175,461,0,1399,0,7,0,0,0,0,7,0,41,5,0,58363,8419,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_25",13.4,464.78,6.5,1,35579.06641,76162,1.4,0,35,0,19,39,47,53,492,60,0,0,33,3346,29,244,69,135,0,99,2616,0,528,0,1235,0,16,0,0,0,0,0,0,158,72,0,57925,8757,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_26",13.5,471.75,6.5,1,35760.71875,77020,1.56,0,17,7,26,83,62,55,505,50,0,0,53,3436,0,208,0,0,0,170,2907,0,588,0,1317,13,0,0,9,0,0,0,0,195,35,5,58267,8883,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_27",13.6,478.73,6.51,1,35628.19922,76905,1.41,0,17,0,12,40,54,55,558,49,0,11,15,3123,0,184,39,95,0,14,2859,0,731,0,1112,0,12,0,0,0,0,0,0,94,0,87,58726,8798,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_28",13.7,485.71,6.51,1,35530.15625,75775,1.27,0,0,0,16,52,53,37,477,49,0,0,37,2939,75,228,61,90,0,101,2876,26,659,0,1106,11,0,0,0,0,0,0,0,42,211,0,57760,8663,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_29",13.8,492.68,6.52,1,35146.19141,76931,1.42,0,22,0,9,46,34,25,538,53,0,25,16,3654,41,215,95,67,0,138,2922,186,838,0,1248,7,7,0,0,5,12,0,0,200,0,65,57567,8672,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_30",13.9,499.66,6.52,1,34862.10938,74452,1.32,6,54,9,8,31,29,14,542,54,0,0,0,3582,27,117,38,107,0,0,2680,0,605,0,1295,0,0,0,0,0,0,0,0,137,58,71,56478,8299,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_31",14,506.64,6.5,1,34153.01563,74364,1.29,0,0,0,0,52,46,49,536,72,0,6,35,2979,101,222,244,50,0,69,2592,35,855,0,1266,4,0,0,0,0,0,0,0,213,229,0,56111,8428,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_32",14.1,513.61,6.48,1,34841.37891,75805,1.29,0,15,5,26,46,23,24,448,104,0,0,34,3149,106,273,52,126,0,132,2763,106,531,0,1486,5,0,0,0,0,0,0,0,0,0,0,57296,8851,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_33",14.2,520.59,6.48,1,34732.92188,75019,1.34,0,0,8,14,54,20,43,488,76,8,0,23,3667,50,257,50,89,0,10,2804,0,546,0,1123,5,0,0,0,0,0,0,0,201,150,0,56469,8675,TRUE,"HER34L_1A"
