"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER34L","HER34L_1A","HER34L_1A_3",11.2,311.29,6.44,1,31513.1582,69707,1.51,-0.25489224962879,-0.393042588109607,1.8679486075856,0,-0.393042588109607,4.22427573181413,-0.450201001949556,0.485507815781701,-0.430782916092454,NA,3.27383738294218,-0.41173472112176,2.79422789734326,6.43889100042983,4.60216567696779,58033,6.27595285857573,0.159338354276125,-0.393042588109607,-2.26099119569521,-1.8679486075856
"HER34L","HER34L_1A","HER34L_1A_4",11.3,318.27,6.45,1,32379.19336,74221,1.52,-1.08368663845143,-0.128175193423998,1.53127313958476,0,-0.390539457891489,3.95384299802322,-1.45636192373661,0.262942466276025,-1.36398860360559,-1.33500106673234,2.78936451174462,0.8996110426755,2.45372372235131,5.96261244997876,4.17819723813654,60365,5.95609587462549,0.167895215431346,-0.128175193423998,-1.65944833300876,-1.53127313958476
"HER34L","HER34L_1A","HER34L_1A_5",11.4,325.24,6.46,1,33784.93359,74694,1.22,-0.0984400728132525,0.362905493689368,2.83688307294518,0,-0.207639364778244,5.15311094234301,0.44628710262842,1.69905007112379,1.54489939129653,NA,4.24222562903576,0.890972923889865,3.44700691769345,7.43836514752241,5.5956403160365,63015,6.31371866295265,0.158385264435008,0.362905493689368,-2.47397757925581,-2.83688307294518
"HER34L","HER34L_1A","HER34L_1A_6",11.5,332.22,6.46,1,34402.92969,76312,1.32,-0.446287102628419,-0.198450938723838,2.34564458245449,0,-0.083381608939051,4.65052588770889,0.405465108108164,1.50851199384414,0.542324290825362,0.364643113587909,3.91641335372944,0,2.97450863710236,7.02045876889522,5.15236631106373,64607,6.47593149733858,0.154417939783793,-0.198450938723838,-2.54409552117833,-2.34564458245449
"HER34L","HER34L_1A","HER34L_1A_7",11.6,339.2,6.47,1,34864.18359,76763,1.27,-0.882389180198474,-0.704708002961021,1.86024135450052,0,-0.355034254481272,4.10974264233322,NA,0.675755437848076,-1.57553636075842,0.489918938946677,3.45199246767333,NA,2.17134991262987,6.48162993455697,4.5880123340503,65366,6.6433582787652,0.150526278734115,-0.704708002961021,-2.56494935746154,-1.86024135450052
"HER34L","HER34L_1A","HER34L_1A_8",11.7,346.17,6.48,1,34586.17188,76003,1.64,-0.576613364303994,-0.556810737007814,1.84995770847104,0,-0.750966751448772,3.97029191355212,-0.518344456180018,0.853697882232671,0.12648414710912,NA,3.35364240938521,0.586537445501687,2.14862166155232,6.45126886787898,4.58382029488066,65094,6.47176308539945,0.154517399169948,-0.556810737007814,-2.40676844547886,-1.84995770847104
"HER34L","HER34L_1A","HER34L_1A_9",11.8,353.15,6.47,1,34635.38281,75858,1.51,0.0597192347016223,-1.17865499634165,1.99103058433578,0,0.336472236621213,4.18685361974671,-0.242561637171311,1.26803044062616,0.587786664902119,0,3.59160580951204,NA,2.51645500752293,6.77873238908688,4.88046819924015,65692,6.67429906542056,0.149828467408808,-1.17865499634165,-3.16968558067743,-1.99103058433578
"HER34L","HER34L_1A","HER34L_1A_10",11.9,360.13,6.47,1,34763.63281,76483,1.52,-1.20397280432594,-0.470003629245736,1.88327457806383,0,-0.147920130076622,4.26969744969996,-1.16315080980568,0.621919671271578,-1.20397280432594,NA,3.46612645152564,0.20294084399669,2.36555989215543,6.54864880985199,4.68571276870328,64535,6.44262484142544,0.155216239438637,-0.470003629245736,-2.35327820730956,-1.88327457806383
"HER34L","HER34L_1A","HER34L_1A_11",12,367.1,6.47,1,34818.89453,76761,1.53,-0.316669609325033,-0.419853845560264,1.94182016380379,0,-0.3983476403393,4.30039039609937,0.294799540220645,0.944461608840852,0.326215736454024,0.78845736036427,3.59731226058845,-0.241162056816888,2.03377150484665,6.69553400469878,4.83956449521799,65464,6.39789806757826,0.156301333568842,-0.419853845560264,-2.36167400936405,-1.94182016380379
"HER34L","HER34L_1A","HER34L_1A_12",12.1,374.08,6.48,1,35053.09766,77325,1.35,0.0674412807955325,0.0454623740767574,2.39789527279837,0,-0.988611393453781,4.66321967557032,-0.0235304974101942,1.68553725597275,0.920931111430657,0.365934269351529,4.09356906780557,NA,2.88258961745411,7.20513436906393,5.32448365168306,66720,6.55777072949705,0.152490845021765,0.0454623740767574,-2.35243289872161,-2.39789527279837
"HER34L","HER34L_1A","HER34L_1A_13",12.2,381.06,6.48,1,35178.38281,78484,1.35,-0.358212223257619,-0.640779195042629,1.70572513188625,0,-0.298492988555997,4.05337321365781,-1.23676262714893,0.892350524328147,0.71442457900723,0.504353109260373,3.39002408106403,NA,2.28523107830089,6.42305493280801,4.53294629391969,65929,6.62008784096163,0.151055397454476,-0.640779195042629,-2.34650432692888,-1.70572513188625
"HER34L","HER34L_1A","HER34L_1A_14",12.3,388.03,6.49,1,34840.20703,76745,1.41,-0.302280871872934,-0.910870664404816,1.66236031388844,0,-0.551496663496919,3.97008680638291,-0.231329135900649,0.687697575792381,0.338023827312632,-0.496436886313891,3.28368604822182,NA,1.99292411382349,6.42807015230951,4.56162710135348,65754,6.46525885558583,0.154672847961226,-0.910870664404816,-2.57323097829326,-1.66236031388844
