"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","As","Se","Br","Rb","Sr","Y","Zr","Sn","I","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","qc"
"HER34L","HER34L_1A","HER34L_1A_3",11.2,311.29,6.44,1,31513.1582,69707,1.51,0,0.0186494900081771,0.0430372846342548,0.04447186078873,0.0889437215774599,0.0659905031058574,0.223793880098125,0.0774671123416587,0.743110448018133,0.114766092358013,0.0301260992439784,0,0.0774671123416587,7.84139326036123,0.0731633838782332,0.186494900081771,0.0745979600327083,0,0,0.17788744315492,3.03125941440601,0.0760325361871835,1.87642561005351,0,1.61389817378456,0.0143457615447516,0,0,0,0,0,0,0,0,0,0.192233204699671,0.0616867746424319,0,71.8105785645631,11.4421794080939,TRUE
"HER34L","HER34L_1A","HER34L_1A_4",11.3,318.27,6.45,1,32379.19336,74221,1.52,0.00538931030301397,0,0.00673663787876747,0,0.0606297409089072,0.0296412066665768,0.214225084544805,0.157637326363159,0.828606459088398,0.179194567575215,0,0.0309885342423303,0.121259481817814,9.34236941027472,0.0417671548483583,0.233087670605354,0.0458091375756188,0.0471564651513722,0,0.0188625860605489,2.91561687393056,0.440576117271392,2.08431575969065,0,1.56289998787405,0,0.0134732757575349,0,0,0,0,0,0,0.0781449993937026,0,0.191320515756996,0.0188625860605489,0,69.6393204079708,11.6921087023888,TRUE
"HER34L","HER34L_1A","HER34L_1A_5",11.4,325.24,6.46,1,33784.93359,74694,1.22,0,0.0321310948670576,0.0133879561946073,0,0.0388250729643613,0.0763113503092618,0.176721021768817,0.0615845984951937,0.73098240822556,0.0428414598227435,0,0.0120491605751466,0.0348086861059791,7.41023375371516,0.0669397809730367,0.234289233405628,0.20081934291911,0,0,0.224917664069403,2.98015904891959,0.104426058317937,1.34548959755804,0,1.51016145875171,0.00937156933622513,0,0,0,0,0.040163868583822,0,0,0,0,0.112458832034702,0.147267518140681,0.0294535036281361,72.8291429030444,11.5350630572737,TRUE
"HER34L","HER34L_1A","HER34L_1A_6",11.5,332.22,6.46,1,34402.92969,76312,1.32,0.00786245937729322,0,0.0275186078205263,0.0248977880280952,0.0419331166788972,0.0628996750183457,0.153317957857218,0.053726805744837,0.68403396582451,0.0655204948107768,0,0,0.0602788552259147,6.85606457699969,0.0982807422161652,0.296152636544711,0.112695251074536,0.0943495125275186,0,0.103522381801027,3.29043924939721,0.0655204948107768,1.28289128839501,0,1.73629311248559,0,0,0,0,0.0760037739805011,0,0,0,0,0,0.144145088583709,0,0,73.3370898417025,11.3245623230947,TRUE
"HER34L","HER34L_1A","HER34L_1A_7",11.6,339.2,6.47,1,34864.18359,76763,1.27,0.0534111486002371,0.0403840391855451,0.0364759063611375,0.0299623516537915,0.0468975938928911,0.0586219923661139,0.148509047327489,0.0560165704831755,0.728215416281281,0.11333585190782,0,0,0.079465367429621,6.90567070072822,0,0.222763570991233,0.0234487969464456,0.184984953688626,0,0.026054218829384,3.57724424527442,0,0.993968448340998,0,1.43819287938199,0,0,0,0,0.0482003048343603,0,0,0,0,0,0.0351731954196683,0,0,74.012219428631,11.1407839714446,TRUE
"HER34L","HER34L_1A","HER34L_1A_8",11.7,346.17,6.48,1,34586.17188,76003,1.64,0,0.0157888504401142,0,0.0486822888570188,0.0657868768338092,0.0763127771272187,0.164467192084523,0.0671026143704854,0.74470744575872,0.11710064076418,0,0,0.0552609765403997,6.20633396050156,0.0697340894438377,0.274989145165322,0.132889491204295,0,0,0,3.34986776837756,0.210518005868189,1.00390774048393,0,1.66440798389537,0.0210518005868189,0.00526295014670473,0,0,0.0276304882701999,0.0171045879767904,0,0,0,0,0,0,0.014473112903438,74.1839137928766,11.4627054195229,TRUE
"HER34L","HER34L_1A","HER34L_1A_9",11.8,353.15,6.47,1,34635.38281,75858,1.51,0,0.0197737878668038,0.0224102929157109,0.0606396161248649,0.0909594241872973,0.047457090880329,0.185873605947955,0.0263650504890717,0.627488201639906,0.085686414089483,0.0105460201956287,0,0.119960979725276,5.63948429961243,0.0672308787471328,0.304516333148778,0.154235545361069,0.085686414089483,0,0.114687969627462,3.10975770518601,0,1.06119328218514,0,1.28529621134224,0.00790951514672151,0.0184555353423502,0,0,0,0.0975506868095652,0,0.054048353502597,0,0,0,0.104141949431833,0,75.3144032270822,11.2842416093227,TRUE
"HER34L","HER34L_1A","HER34L_1A_10",11.9,360.13,6.47,1,34763.63281,76483,1.52,0,0,0,0.0235346416850803,0.0313795222467738,0.0719114051488566,0.133362969548789,0.0653740046807787,0.687734529241792,0.104598407489246,0,0.018304721310618,0.0902161264594747,7.47878613548109,0.0326870023403894,0.194814533948721,0.0313795222467738,0,0,0.145130290391329,3.34845651974949,0.128133049174326,1.11397303976047,0,1.33362969548789,0.00784488056169345,0.0261496018723115,0,0,0.112443288050939,0.0549141639318541,0,0,0,0,0.101983447302015,0.164742491795562,0.120288168612633,73.0410679497405,11.3371598917406,TRUE
"HER34L","HER34L_1A","HER34L_1A_11",12,367.1,6.47,1,34818.89453,76761,1.53,0,0,0,0.0260548976693894,0.066439989056943,0.0781646930081682,0.168054089967562,0.0599262646395956,0.635739503133101,0.0911921418428629,0.00911921418428629,0,0.0612290095230651,6.72346634358594,0.12245801904613,0.234494079024505,0.126366253696539,0.200622712054298,0,0.0312658772032673,3.3285131772645,0.0716509685908209,0.696968512656167,0,1.65318325712276,0,0,0,0,0.0586235197561262,0.0390823465040841,0,0,0,0,0.119852529279191,0.114641549745313,0,73.7549015776241,11.5279894738213,TRUE
"HER34L","HER34L_1A","HER34L_1A_12",12.1,374.08,6.48,1,35053.09766,77325,1.35,0.0103459424506951,0.0310378273520854,0.0323310701584222,0.0155189136760427,0.0594891690914969,0.0840607824118978,0.173294536049143,0.05819592628516,0.611703847397349,0.0556094406724863,0.0219851277077271,0,0.0206918849013902,5.89330746847721,0.0543161978661494,0.300032331070158,0.139670223084384,0.0801810539928872,0,0.0685418687358552,3.3339799547365,0,0.993210475266731,0,1.45619139993534,0,0,0,0,0.0284513417394116,0,0,0,0,0,0.192693178144197,0,0,74.8684125444552,11.4167474943421,TRUE
