depth	min	max	median	mean
0.5	-63.83	-48.26	-58.52	-57.83
1.8	-61.83	-10.7	-47.42	-44.35
3.1	-60.61	27.18	-36.11	-30.87
4.5	-59.17	68.04	-23.82	-16.36
5.9	-57.9	108.58	-11.67	-1.85
7.3	-56.75	149.23	0.47	12.67
8.7	-55.37	189.89	12.66	27.18
10.1	-52.66	227.91	25.24	41.72
11.5	-40.48	235.74	41.39	56.59
12.9	-33.54	247.23	59.11	71.45
14.2	-27.21	257.8	75.53	85.25
15.5	-21.27	270.25	91.38	99.06
16.9	-16.14	288.37	107.13	113.92
18.4	-12.11	309.83	123.56	129.85
19.7	-8.13	333.08	137.07	143.65
21.1	6.99	345.27	151.87	157.93
22.4	19.38	351.13	165.94	171.04
23.9	33.38	361.39	181.52	186.17
25.3	43.01	370.12	196.87	200.29
26.7	50.46	384.3	212.64	214.41
28.1	58.54	399.22	227.74	228.53
29.5	65.62	416.83	242.62	242.66
30.8	81.04	424.95	255.79	255.96
32.2	104.35	430.14	270.5	270.43
33.6	122.72	436.95	286.16	284.89
34.9	134.91	443.44	300.88	298.32
36.3	145.36	452.34	317.45	312.79
37.7	155.05	464.98	333.91	327.25
39	164.56	477.14	347.68	340.68
40.4	178.23	490.47	362.47	354.9
41.7	204.19	493.46	375.71	367.52
43.1	232.41	497.31	390.75	381.12
44.4	253.7	501.69	405.48	393.74
45	262.51	503.08	412.19	399.57
46.3	282.1	508.57	427.22	412.19
47.6	298.26	514.46	441.53	424.82
49	315.39	523.57	457.16	438.41
50.4	329.76	537.03	472.04	452.18
51.8	341.26	556.18	485.91	466.38
53.2	347.21	582.02	497.4	480.58
54.5	352.25	614.42	506.66	493.77
55.9	357.87	648.49	517.14	507.97
57.2	361.65	679.99	525.76	521.15
58.6	367.39	716.15	535.03	535.35
59.9	371.93	753.94	544.8	548.54
61.2	384.4	764.98	557.48	561.5
62.5	395.47	775.49	570.48	574.44
63.9	406.14	790.23	584.48	588.38
65.2	414.65	808.43	597.09	601.32
66.5	422.55	823.61	609.66	614.26
67.8	427.41	844.75	622.09	627.2
69.1	432.23	867.71	634.56	640.14
70.4	439.95	890.69	646.88	653.06
71.7	455.88	903.08	659.27	665.91
73	467.71	916.78	672.28	678.76
74.3	479.27	929.99	685.78	691.61
75.5	488.92	943.14	697.3	703.47
76.8	499.11	961.1	710.94	716.32
78.1	505.11	978.27	722.99	729.17
79.4	510.58	1002.74	734.84	742.02
80.7	524.29	1019.48	747.05	755.03
82	538.01	1029.31	760.67	768.18
83.3	551.99	1040.14	775.66	781.32
84.5	563.12	1048.47	788.32	793.45
85.8	573.65	1059.32	801.93	806.6
87.2	584.34	1074.42	817.72	820.75
88.6	591.83	1092.63	832.58	834.91
90	600.46	1113.88	846.54	849.06
91.4	620.5	1123.73	860.49	863.38
92.7	632.93	1132.69	873.55	876.67
94.1	646.73	1146.45	889.64	890.98
95.4	659.96	1159.22	903.34	904.27
96.8	668.77	1172.98	919.09	918.59
98.1	677.23	1189.14	933.9	931.88
99.4	685.6	1205.87	947.06	945.17
