"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Mg",1,1564,0.00620671382169535,0.0139798404479208,0,0.00249711625604054,0,0,0.116527481064284,0.116527481064284,2.84885969004249,9.39979649914718,0.000353495460011762,0,0
"Al",2,1564,0.0257346280440494,0.0228032434117554,0.022946637410422,0.0232665700796391,0.0259631532833624,0,0.121913659463067,0.121913659463067,0.767917934657789,0.160168741119675,0.000576604793854963,0.00518322710067516,0.0401250834589277
"Si",3,1564,0.00952658119740359,0.0132996910053537,0,0.00700395232367178,0,0,0.0695633561643836,0.0695633561643836,1.4546018673372,1.70944089786582,0.000336297142121606,0,0.0168805402265307
"P",4,1564,0.0217418634815619,0.0157508939573512,0.0209894767091058,0.0207775543394559,0.0163143732326954,0,0.0792402837792663,0.0792402837792663,0.401709163917144,-0.380228406659015,0.000398278472904778,0.0100897359336635,0.0320745866194007
"S",5,1564,0.075694789727788,0.0242985676742813,0.0744168020344909,0.0746751385474008,0.0227844607670654,0.00913325417846379,0.169866680393267,0.160733426214803,0.46388111655262,0.627104248522675,0.000614415693057819,0.0595452824814069,0.0904243594837614
"Cl",6,1564,0.0481398384960307,0.0154246123350778,0.0483967121279025,0.0480873066637513,0.0151080400399135,0,0.101182966284836,0.101182966284836,-0.00109025476767285,0.026482209072225,0.000390028087459494,0.0376278723139143,0.0577980742134829
"K",7,1564,0.0303689652427453,0.0172071075300214,0.0291077299309348,0.0295384418528387,0.0154427330973166,0,0.143528980638857,0.143528980638857,0.886844537954753,2.6994737873297,0.000435100415806349,0.0194049190671585,0.0402630568366322
"Ca",8,1564,0.465839093544322,0.125338958262759,0.44960928694154,0.453246788265178,0.0935581746339123,0.208563888652422,1.74005681818182,1.5314929295294,2.98225163331514,17.78969687125,0.00316933178697891,0.390023747751926,0.516941735760359
"Ti",9,1564,0.0641439477172878,0.044231596141749,0.0557201851214701,0.0602728756104245,0.0371527089477686,0,0.623894922960344,0.623894922960344,2.56143920867533,20.8386933444803,0.00111844398249248,0.0351852877999747,0.0881939971387298
"V",10,1564,0.00512220354523534,0.0092498449496459,0,0.00296209884713711,0,0,0.0619137949204342,0.0619137949204342,2.00285965386123,3.95310779143108,0.000233892382941957,0,0.0079569932044315
