"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Ca","Fe","Cu","Br","Sr","Zr","Mo_inc","Mo_coh"
"HER14L","HER14L_2A_2",1.6,168.88,6.64,1,25557,65410,1.37,36,671,6232,90,1991,2041,674,44676,8052
"HER14L","HER14L_2A_3",1.7,176.08,6.65,1,25943,68375,1.35,48,820,9567,89,1752,1983,870,44092,7895
"HER14L","HER14L_2A_4",1.8,183.27,6.66,1,25354,65492,1.27,29,562,9209,69,1586,1675,725,42703,7693
"HER14L","HER14L_2A_5",1.9,190.47,6.69,1,25677,65686,1.42,11,872,8330,0,1981,1697,993,42771,7729
"HER14L","HER14L_2A_6",2,197.67,6.72,1,25548,67553,1.25,48,832,11142,105,1836,1989,927,41715,7734
"HER14L","HER14L_2A_7",2.1,204.86,6.74,1,25227,65931,1.51,41,596,10820,82,1652,1787,752,40711,7979
"HER14L","HER14L_2A_8",2.2,212.06,6.75,1,25500,65637,1.31,39,442,9376,9,1834,1595,912,42104,8031
"HER14L","HER14L_2A_9",2.3,219.26,6.76,1,25948,65568,1.44,34,413,8142,0,1918,1481,1196,43091,8342
"HER14L","HER14L_2A_10",2.4,226.45,6.77,1,27986,68909,1.26,44,505,6601,106,2145,1579,1138,46997,8424
"HER14L","HER14L_2A_11",2.5,233.65,6.79,1,28354,70501,1.42,38,479,7337,152,2222,1128,949,48380,8271
"HER14L","HER14L_2A_12",2.6,240.85,6.79,1,27550,69187,1.64,38,606,6197,38,2091,1190,947,49026,8199
"HER14L","HER14L_2A_13",2.7,248.04,6.79,1,27949,70246,1.26,53,591,6388,157,1966,1225,1113,49200,8258
"HER14L","HER14L_2A_14",2.8,255.24,6.79,1,28404,72499,1.47,53,729,7441,184,2268,1216,1105,49796,8314
"HER14L","HER14L_2A_15",2.9,262.44,6.79,1,28269,71965,1.46,58,662,6529,43,2339,1194,1094,50134,8187
"HER14L","HER14L_2A_16",3,269.63,6.79,1,28496,73171,1.59,43,608,6777,118,2345,965,1127,51110,8573
"HER14L","HER14L_2A_17",3.1,276.83,6.79,1,29090,72953,1.39,27,435,6626,146,2254,842,1044,52255,8510
"HER14L","HER14L_2A_18",3.2,284.03,6.8,1,29874,74705,1.49,56,378,6784,31,2252,670,852,53961,8537
"HER14L","HER14L_2A_19",3.3,291.22,6.81,1,30212,75779,1.23,24,302,6315,88,2343,711,1172,55093,8812
"HER14L","HER14L_2A_20",3.4,298.42,6.82,1,30283,75638,1.42,33,285,5343,157,2390,570,1163,55695,8741
"HER14L","HER14L_2A_21",3.5,305.62,6.83,1,30431,76193,1.31,11,243,4969,93,2598,756,1369,56574,8695
"HER14L","HER14L_2A_22",3.6,312.82,6.83,1,30788,77657,1.53,48,321,5741,95,2662,488,1104,57311,8701
"HER14L","HER14L_2A_23",3.7,320.01,6.83,1,30759,76643,1.23,7,273,5056,161,2482,364,1308,56933,9072
"HER14L","HER14L_2A_24",3.8,327.21,6.85,1,30776,75777,1.32,21,240,4738,84,2405,503,1097,57153,8764
"HER14L","HER14L_2A_25",3.9,334.41,6.86,1,30763,76038,1.47,43,244,4717,43,2707,371,1163,56914,8737
"HER14L","HER14L_2A_26",4,341.6,6.87,1,31132,76709,1.22,59,266,4819,135,2457,475,1318,57654,8544
"HER14L","HER14L_2A_27",4.1,348.8,6.88,1,30880,76054,1.28,22,312,4434,74,2456,531,1114,57444,8567
"HER14L","HER14L_2A_28",4.2,356,6.88,1,30329,74595,1.38,34,329,4129,25,2206,623,1096,56525,8642
"HER14L","HER14L_2A_29",4.3,363.19,6.89,1,30377,76442,1.33,40,284,3690,63,2558,714,1368,57619,8843
"HER14L","HER14L_2A_30",4.4,370.39,6.89,1,31057,77947,1.38,30,357,5038,147,2476,481,1218,57899,8935
"HER14L","HER14L_2A_31",4.5,377.59,6.9,1,30926,76220,1.41,30,259,4240,123,2459,491,1295,57882,8747
"HER14L","HER14L_2A_32",4.6,384.78,6.9,1,31046,76956,1.34,25,297,4297,19,2588,551,1444,57957,8906
"HER14L","HER14L_2A_33",4.7,391.98,6.91,1,30728,76166,1.43,36,305,4276,63,2403,638,1320,56927,9062
"HER14L","HER14L_2A_34",4.8,399.18,6.9,1,30715,76955,1.64,45,286,4712,37,2559,553,1296,57572,8806
"HER14L","HER14L_2A_35",4.9,406.37,6.91,1,30887,77949,1.64,53,344,5082,21,2605,483,1304,57843,8952
"HER14L","HER14L_2A_36",5,413.57,6.91,1,31266,79304,1.41,62,341,5303,134,2607,463,1201,58872,8984
"HER14L","HER14L_2A_37",5.1,420.77,6.91,1,31490,80898,1.34,36,394,5741,129,2719,677,1453,59571,8871
"HER14L","HER14L_2A_38",5.2,427.96,6.92,1,30994,79097,1.39,35,359,5721,32,2568,672,1357,57824,9195
"HER14L","HER14L_2A_39",5.3,435.16,6.91,1,30916,79129,1.33,53,387,5702,84,2678,661,1436,58010,9112
"HER14L","HER14L_2A_40",5.4,442.36,6.91,1,31181,77897,1.54,43,361,5061,115,2695,580,1386,58079,8735
"HER14L","HER14L_2A_41",5.5,449.55,6.9,1,31270,78539,1.37,53,402,4822,50,2714,359,1502,58461,8961
"HER14L","HER14L_2A_42",5.6,456.75,6.91,1,31060,77557,1.55,56,303,4294,140,2598,343,1318,58494,8935
"HER14L","HER14L_2A_43",5.7,463.95,6.91,1,31215,77964,1.26,33,308,3727,211,2672,464,1407,59485,8625
"HER14L","HER14L_2A_44",5.8,471.15,6.91,1,31509,78205,1.32,40,341,3985,154,2790,713,1389,58906,9000
"HER14L","HER14L_2A_45",5.9,478.34,6.92,1,31439,76924,1.5,26,287,3936,84,2721,466,1205,58357,8785
"HER14L","HER14L_2A_46",6,485.54,6.91,1,31313,77197,1.48,46,279,3339,59,2504,398,1436,59060,9126
"HER14L","HER14L_2A_47",6.1,492.74,6.91,1,31298,77244,1.45,32,290,3333,146,2685,488,1182,58995,8979
"HER14L","HER14L_2A_48",6.2,499.93,6.91,1,31053,76407,1.47,51,313,2993,59,2639,457,1275,58514,8989
"HER14L","HER14L_2A_49",6.3,507.13,6.91,1,31103,77292,1.49,32,274,2781,174,2658,420,1059,59674,8956
"HER14L","HER14L_2A_50",6.4,514.33,6.93,1,31433,77743,1.43,27,382,3646,104,2724,285,1121,59244,9173
"HER14L","HER14L_2A_51",6.5,521.52,6.94,1,31641,76991,1.27,48,298,3205,126,2622,400,1219,59123,8765
"HER14L","HER14L_2A_52",6.6,528.72,6.94,1,31057,75821,1.67,41,366,2818,126,2467,189,1238,58582,8910
"HER14L","HER14L_2A_53",6.7,535.92,6.95,1,31055,75300,1.39,30,328,2641,113,2538,292,1147,58586,8814
"HER14L","HER14L_2A_54",6.8,543.11,6.94,1,31052,75922,1.46,30,292,2601,45,2718,368,1362,58910,8599
"HER14L","HER14L_2A_55",6.9,550.31,6.95,1,30826,76035,1.3,25,304,2676,159,2659,285,1251,58926,8750
"HER14L","HER14L_2A_56",7,557.51,6.96,1,30781,75970,1.47,28,284,2412,96,2759,591,1359,58689,8618
"HER14L","HER14L_2A_57",7.1,564.7,6.95,1,30801,75881,1.26,46,273,2248,104,2504,374,1324,58970,8761
"HER14L","HER14L_2A_58",7.2,571.9,6.96,1,30897,76095,1.54,35,251,2422,92,2654,286,1557,58839,8963
"HER14L","HER14L_2A_59",7.3,579.1,6.95,1,30855,76646,1.73,38,249,2793,196,2780,407,1482,58578,8724
"HER14L","HER14L_2A_60",7.4,586.29,6.96,1,30769,76079,1.28,33,274,2970,40,2590,324,1379,58581,9131
"HER14L","HER14L_2A_61",7.5,593.49,6.96,1,30772,75817,1.56,45,304,2633,125,2467,621,1126,58762,8839
"HER14L","HER14L_2A_62",7.6,600.69,6.97,1,31095,77749,1.43,34,304,2679,203,2719,606,1557,59665,9098
"HER14L","HER14L_2A_63",7.7,607.89,6.99,1,31291,78698,1.56,50,330,2446,108,2921,580,1635,59567,9700
"HER14L","HER14L_2A_64",7.8,615.08,7,1,31328,77584,1.4,38,330,2440,67,2732,460,1269,59886,8977
"HER14L","HER14L_2A_65",7.9,622.28,7,1,31142,77827,1.71,52,359,2791,109,2981,527,1252,59676,9138
