"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","As","Se","Br","Rb","Sr","Y","Zr","Sn","I","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","Fe a*2"
"HER14L","HER14L_2A","HER14L_2A_1",1.5,161.68,6.62,1,25331,65564,1.36,0,14,9,19,46,32,111,66,513,100,23,22,160,7321,53,227,45,15,0,104,1944,6,1397,0,965,0,19,0,0,12,0,0,0,0,0,168,0,0,44375,7798,94
"HER14L","HER14L_2A","HER14L_2A_2",1.6,168.88,6.64,1,25557,65410,1.37,0,0,0,0,36,27,115,46,671,103,0,0,69,6232,0,180,90,84,0,102,1991,76,2041,0,674,0,0,5,0,23,6,0,0,0,0,0,39,72,44676,8052,30
"HER14L","HER14L_2A","HER14L_2A_3",1.7,176.08,6.65,1,25943,68375,1.35,0,9,0,0,48,30,104,55,820,161,11,4,173,9567,102,220,89,84,0,6,1752,112,1983,0,870,5,0,0,0,81,58,0,0,0,0,6,9,29,44092,7895,96
"HER14L","HER14L_2A","HER14L_2A_4",1.8,183.27,6.66,1,25354,65492,1.27,0,20,10,22,29,25,111,94,562,200,10,15,113,9209,58,132,69,46,0,48,1586,0,1675,0,725,0,0,0,0,63,150,0,0,0,0,19,54,51,42703,7693,70
"HER14L","HER14L_2A","HER14L_2A_5",1.9,190.47,6.69,1,25677,65686,1.42,0,4,20,0,11,29,140,54,872,98,10,0,124,8330,57,151,0,68,0,100,1981,90,1697,0,993,0,7,0,0,75,71,0,0,0,0,89,115,0,42771,7729,0
"HER14L","HER14L_2A","HER14L_2A_6",2,197.67,6.72,1,25548,67553,1.25,33,29,44,46,48,36,124,64,832,107,6,36,147,11142,12,168,105,71,0,27,1836,0,1989,0,927,0,0,0,8,0,33,0,0,14,0,201,19,0,41715,7734,144
"HER14L","HER14L_2A","HER14L_2A_7",2.1,204.86,6.74,1,25227,65931,1.51,0,16,18,12,41,23,127,34,596,176,20,4,149,10820,174,111,82,93,0,68,1652,79,1787,0,752,0,0,0,0,62,0,0,0,141,0,89,115,0,40711,7979,77
"HER14L","HER14L_2A","HER14L_2A_8",2.2,212.06,6.75,1,25500,65637,1.31,29,24,31,0,39,43,120,40,442,157,12,0,90,9376,52,194,9,59,0,0,1834,25,1595,0,912,0,0,0,4,13,96,0,0,0,0,131,146,29,42104,8031,60
"HER14L","HER14L_2A","HER14L_2A_9",2.3,219.26,6.76,1,25948,65568,1.44,0,29,19,4,34,34,143,36,413,175,17,0,85,8142,82,136,0,70,0,0,1918,0,1481,0,1196,0,0,0,0,45,0,0,0,0,0,76,0,0,43091,8342,5
"HER14L","HER14L_2A","HER14L_2A_10",2.4,226.45,6.77,1,27986,68909,1.26,17,7,9,18,44,32,128,49,505,84,0,0,74,6601,132,152,106,41,0,84,2145,35,1579,0,1138,0,0,0,0,45,67,0,0,0,0,222,174,0,46997,8424,0
"HER14L","HER14L_2A","HER14L_2A_11",2.5,233.65,6.79,1,28354,70501,1.42,0,13,0,0,38,34,153,26,479,127,0,7,53,7337,101,160,152,12,0,209,2222,121,1128,0,949,0,0,0,0,0,9,0,64,0,0,239,217,0,48380,8271,28
"HER14L","HER14L_2A","HER14L_2A_12",2.6,240.85,6.79,1,27550,69187,1.64,0,25,7,31,38,46,182,31,606,66,0,18,41,6197,0,109,38,0,0,72,2091,123,1190,0,947,0,13,0,0,59,0,0,0,0,0,9,23,0,49026,8199,38
"HER14L","HER14L_2A","HER14L_2A_13",2.7,248.04,6.79,1,27949,70246,1.26,9,11,34,10,53,42,169,38,591,81,0,15,29,6388,0,153,157,152,0,0,1966,108,1225,0,1113,0,0,0,0,19,153,4,0,0,0,174,94,0,49200,8258,123
"HER14L","HER14L_2A","HER14L_2A_14",2.8,255.24,6.79,1,28404,72499,1.47,0,28,28,16,53,21,144,43,729,120,13,33,63,7441,100,140,184,38,0,141,2268,0,1216,0,1105,0,0,0,0,0,40,0,0,0,0,230,173,22,49796,8314,0
"HER14L","HER14L_2A","HER14L_2A_15",2.9,262.44,6.79,1,28269,71965,1.46,23,25,43,37,58,23,153,67,662,76,0,19,84,6529,120,186,43,82,0,88,2339,173,1194,0,1094,6,8,0,0,69,34,0,0,0,0,280,129,0,50134,8187,100
"HER14L","HER14L_2A","HER14L_2A_16",3,269.63,6.79,1,28496,73171,1.59,29,24,0,16,43,34,141,51,608,112,0,0,72,6777,122,144,118,105,0,113,2345,61,965,0,1127,0,18,0,0,17,31,0,0,0,0,176,190,49,51110,8573,69
"HER14L","HER14L_2A","HER14L_2A_17",3.1,276.83,6.79,1,29090,72953,1.39,0,26,0,7,27,38,126,43,435,148,0,0,36,6626,85,209,146,17,0,0,2254,0,842,0,1044,0,0,0,0,0,6,0,38,0,0,35,0,0,52255,8510,139
"HER14L","HER14L_2A","HER14L_2A_18",3.2,284.03,6.8,1,29874,74705,1.49,0,7,0,23,56,54,140,36,378,57,0,15,21,6784,150,157,31,24,0,148,2252,0,670,0,852,0,0,11,0,123,63,5,0,0,0,5,145,0,53961,8537,32
"HER14L","HER14L_2A","HER14L_2A_19",3.3,291.22,6.81,1,30212,75779,1.23,0,0,10,29,24,38,122,20,302,94,0,14,56,6315,95,192,88,79,0,28,2343,0,711,0,1172,7,8,0,0,0,13,0,0,0,0,114,0,0,55093,8812,0
"HER14L","HER14L_2A","HER14L_2A_20",3.4,298.42,6.82,1,30283,75638,1.42,0,0,0,0,33,18,129,4,285,106,0,5,25,5343,189,238,157,90,0,167,2390,109,570,0,1163,0,0,0,0,0,48,23,0,0,0,26,84,0,55695,8741,78
"HER14L","HER14L_2A","HER14L_2A_21",3.5,305.62,6.83,1,30431,76193,1.31,0,21,4,7,11,20,107,31,243,78,0,0,18,4969,18,138,93,76,0,175,2598,0,756,0,1369,0,0,0,0,7,53,0,0,0,0,9,31,92,56574,8695,107
"HER14L","HER14L_2A","HER14L_2A_22",3.6,312.82,6.83,1,30788,77657,1.53,0,21,0,22,48,32,147,30,321,69,0,8,13,5741,0,159,95,6,0,159,2662,0,488,0,1104,0,0,0,0,30,59,0,0,0,0,261,170,0,57311,8701,0
"HER14L","HER14L_2A","HER14L_2A_23",3.7,320.01,6.83,1,30759,76643,1.23,0,17,0,15,7,34,128,9,273,65,0,0,55,5056,44,188,161,117,0,99,2482,27,364,0,1308,0,0,0,0,21,36,0,0,0,0,74,38,20,56933,9072,0
"HER14L","HER14L_2A","HER14L_2A_24",3.8,327.21,6.85,1,30776,75777,1.32,0,5,0,5,21,11,116,24,240,82,0,11,15,4738,0,220,84,30,0,18,2405,0,503,0,1097,18,6,0,0,26,73,0,0,0,0,55,0,57,57153,8764,220
"HER14L","HER14L_2A","HER14L_2A_25",3.9,334.41,6.86,1,30763,76038,1.47,0,54,20,0,43,32,141,19,244,69,17,15,34,4717,0,165,43,142,0,155,2707,55,371,0,1163,7,0,0,0,41,0,0,0,0,0,133,0,0,56914,8737,0
"HER14L","HER14L_2A","HER14L_2A_26",4,341.6,6.87,1,31132,76709,1.22,12,32,0,23,59,27,133,34,266,41,0,0,45,4819,23,200,135,56,0,33,2457,14,475,0,1318,0,10,0,0,20,20,0,0,17,0,83,95,64,57654,8544,0
"HER14L","HER14L_2A","HER14L_2A_27",4.1,348.8,6.88,1,30880,76054,1.28,0,49,15,21,22,22,106,25,312,90,9,0,25,4434,118,184,74,96,0,160,2456,53,531,0,1114,0,10,0,0,16,32,0,0,0,0,69,0,0,57444,8567,9
"HER14L","HER14L_2A","HER14L_2A_28",4.2,356,6.88,1,30329,74595,1.38,0,0,0,11,34,39,142,26,329,60,0,0,32,4129,63,174,25,50,0,32,2206,0,623,0,1096,7,0,0,16,116,0,0,0,0,0,47,171,0,56525,8642,17
"HER14L","HER14L_2A","HER14L_2A_29",4.3,363.19,6.89,1,30377,76442,1.33,0,47,8,22,40,34,101,17,284,74,0,6,14,3690,45,215,63,112,0,173,2558,26,714,0,1368,0,12,0,0,72,0,0,0,0,0,88,166,31,57619,8843,0
"HER14L","HER14L_2A","HER14L_2A_30",4.4,370.39,6.89,1,31057,77947,1.38,0,0,0,0,30,36,141,22,357,73,0,0,49,5038,20,233,147,66,0,184,2476,39,481,0,1218,0,0,0,0,0,17,0,0,0,106,103,69,208,57899,8935,59
"HER14L","HER14L_2A","HER14L_2A_31",4.5,377.59,6.9,1,30926,76220,1.41,5,34,0,0,30,22,115,6,259,68,0,8,28,4240,0,215,123,45,0,60,2459,0,491,0,1295,0,0,0,0,61,27,0,0,0,0,0,0,0,57882,8747,0
"HER14L","HER14L_2A","HER14L_2A_32",4.6,384.78,6.9,1,31046,76956,1.34,0,24,0,24,25,32,119,16,297,31,0,18,14,4297,119,169,19,31,0,120,2588,0,551,0,1444,0,0,0,14,45,36,0,0,0,0,0,60,0,57957,8906,27
"HER14L","HER14L_2A","HER14L_2A_33",4.7,391.98,6.91,1,30728,76166,1.43,0,30,21,0,36,30,123,11,305,82,0,0,14,4276,30,152,63,74,0,197,2403,57,638,0,1320,5,0,11,0,6,60,0,0,0,34,177,22,0,56927,9062,0
"HER14L","HER14L_2A","HER14L_2A_34",4.8,399.18,6.9,1,30715,76955,1.64,0,28,0,13,45,46,146,39,286,35,0,43,47,4712,81,212,37,4,0,61,2559,0,553,0,1296,11,19,0,28,55,19,0,0,0,0,0,119,83,57572,8806,120
"HER14L","HER14L_2A","HER14L_2A_35",4.9,406.37,6.91,1,30887,77949,1.64,6,35,23,0,53,54,145,38,344,82,0,7,46,5082,71,222,21,53,0,90,2605,0,483,0,1304,15,17,0,0,66,49,0,0,0,0,167,76,0,57843,8952,0
"HER14L","HER14L_2A","HER14L_2A_36",5,413.57,6.91,1,31266,79304,1.41,5,37,0,33,62,43,115,32,341,74,0,11,33,5303,22,271,134,95,0,278,2607,114,463,0,1201,0,0,0,0,0,67,0,0,0,0,47,60,0,58872,8984,41
"HER14L","HER14L_2A","HER14L_2A_37",5.1,420.77,6.91,1,31490,80898,1.34,0,15,18,19,36,42,127,21,394,73,17,13,47,5741,5,245,129,46,0,178,2719,96,677,0,1453,0,0,0,0,37,31,0,0,0,0,185,0,92,59571,8871,112
"HER14L","HER14L_2A","HER14L_2A_38",5.2,427.96,6.92,1,30994,79097,1.39,0,5,9,0,35,28,117,53,359,54,0,0,23,5721,19,167,32,49,0,102,2568,238,672,0,1357,0,8,0,0,50,57,0,0,0,0,129,226,0,57824,9195,0
"HER14L","HER14L_2A","HER14L_2A_39",5.3,435.16,6.91,1,30916,79129,1.33,0,34,0,6,53,32,125,24,387,76,0,5,26,5702,88,138,84,91,0,142,2678,22,661,0,1436,0,0,0,0,101,61,0,0,0,0,0,35,0,58010,9112,6
"HER14L","HER14L_2A","HER14L_2A_40",5.4,442.36,6.91,1,31181,77897,1.54,0,5,0,0,43,47,109,40,361,85,27,0,30,5061,174,141,115,15,0,45,2695,0,580,0,1386,0,10,0,0,0,57,0,0,28,0,29,0,0,58079,8735,48
"HER14L","HER14L_2A","HER14L_2A_41",5.5,449.55,6.9,1,31270,78539,1.37,0,6,7,14,53,30,141,17,402,63,0,0,19,4822,0,223,50,24,0,133,2714,33,359,0,1502,5,19,0,0,97,90,0,0,0,0,211,83,0,58461,8961,0
"HER14L","HER14L_2A","HER14L_2A_42",5.6,456.75,6.91,1,31060,77557,1.55,0,12,5,18,56,48,144,18,303,55,6,25,36,4294,78,217,140,87,0,0,2598,44,343,0,1318,15,12,0,0,30,24,0,0,0,0,86,116,0,58494,8935,168
"HER14L","HER14L_2A","HER14L_2A_43",5.7,463.95,6.91,1,31215,77964,1.26,6,57,0,7,33,38,123,20,308,45,0,0,15,3727,89,295,211,186,0,0,2672,0,464,0,1407,0,9,0,0,39,92,11,0,0,0,0,0,0,59485,8625,83
"HER14L","HER14L_2A","HER14L_2A_44",5.8,471.15,6.91,1,31509,78205,1.32,0,41,0,6,40,38,132,14,341,78,0,0,7,3985,0,185,154,79,0,86,2790,0,713,0,1389,11,0,0,0,39,57,0,0,14,0,0,100,0,58906,9000,123
"HER14L","HER14L_2A","HER14L_2A_45",5.9,478.34,6.92,1,31439,76924,1.5,0,0,0,42,26,39,142,24,287,96,17,0,17,3936,90,178,84,88,0,0,2721,0,466,0,1205,0,0,0,0,9,93,0,29,0,0,71,122,0,58357,8785,100
"HER14L","HER14L_2A","HER14L_2A_46",6,485.54,6.91,1,31313,77197,1.48,0,0,0,8,46,38,129,34,279,52,17,0,16,3339,121,190,59,0,0,169,2504,0,398,0,1436,11,12,0,0,50,0,0,0,0,0,0,65,38,59060,9126,155
"HER14L","HER14L_2A","HER14L_2A_47",6.1,492.74,6.91,1,31298,77244,1.45,0,0,0,5,32,37,138,15,290,66,0,17,8,3333,30,187,146,7,0,225,2685,8,488,0,1182,35,8,0,0,54,90,0,0,0,0,98,64,22,58995,8979,33
"HER14L","HER14L_2A","HER14L_2A_48",6.2,499.93,6.91,1,31053,76407,1.47,0,12,24,17,51,35,135,46,313,78,0,15,15,2993,99,230,59,161,0,42,2639,0,457,0,1275,7,13,0,0,45,0,0,0,38,0,105,0,0,58514,8989,298
"HER14L","HER14L_2A","HER14L_2A_49",6.3,507.13,6.91,1,31103,77292,1.49,0,40,0,19,32,32,146,30,274,37,22,0,44,2781,8,165,174,38,0,193,2658,0,420,0,1059,19,16,0,0,0,5,0,0,0,0,306,144,0,59674,8956,0
"HER14L","HER14L_2A","HER14L_2A_50",6.4,514.33,6.93,1,31433,77743,1.43,0,0,0,17,27,47,150,21,382,76,8,0,33,3646,95,154,104,68,0,36,2724,0,285,0,1121,9,0,0,0,0,0,0,0,0,0,67,181,75,59244,9173,29
"HER14L","HER14L_2A","HER14L_2A_51",6.5,521.52,6.94,1,31641,76991,1.27,0,0,6,5,48,33,128,40,298,77,13,0,0,3205,0,172,126,0,0,271,2622,94,400,0,1219,0,0,0,0,27,89,0,0,0,12,52,166,0,59123,8765,107
"HER14L","HER14L_2A","HER14L_2A_52",6.6,528.72,6.94,1,31057,75821,1.67,0,6,0,24,41,52,165,24,366,85,0,0,16,2818,0,216,126,0,0,0,2467,265,189,0,1238,5,0,0,0,17,77,0,10,0,0,79,43,0,58582,8910,32
"HER14L","HER14L_2A","HER14L_2A_53",6.7,535.92,6.95,1,31055,75300,1.39,0,0,22,0,30,22,118,29,328,61,14,0,18,2641,19,176,113,40,0,87,2538,0,292,0,1147,0,6,0,0,0,0,8,0,37,0,134,20,0,58586,8814,0
"HER14L","HER14L_2A","HER14L_2A_54",6.8,543.11,6.94,1,31052,75922,1.46,0,39,13,8,30,42,148,23,292,105,0,14,16,2601,25,225,45,57,5,179,2718,0,368,0,1362,13,0,0,0,62,23,0,0,0,0,0,0,0,58910,8599,101
"HER14L","HER14L_2A","HER14L_2A_55",6.9,550.31,6.95,1,30826,76035,1.3,0,12,0,12,25,35,152,18,304,60,0,12,6,2676,0,173,159,70,0,69,2659,0,285,0,1251,7,0,0,10,0,0,0,0,0,0,128,236,0,58926,8750,0
"HER14L","HER14L_2A","HER14L_2A_56",7,557.51,6.96,1,30781,75970,1.47,0,16,0,19,28,30,143,30,284,67,0,36,14,2412,54,197,96,142,0,143,2759,0,591,0,1359,4,0,0,0,0,25,0,0,69,0,87,58,0,58689,8618,0
"HER14L","HER14L_2A","HER14L_2A_57",7.1,564.7,6.95,1,30801,75881,1.26,41,73,23,19,46,20,126,8,273,68,0,0,8,2248,70,197,104,102,0,0,2504,46,374,0,1324,0,0,0,0,25,37,0,0,0,0,227,187,0,58970,8761,0
"HER14L","HER14L_2A","HER14L_2A_58",7.2,571.9,6.96,1,30897,76095,1.54,0,10,0,13,35,34,140,31,251,77,0,0,5,2422,0,186,92,113,0,100,2654,0,286,0,1557,24,24,0,0,18,0,0,0,0,0,37,184,0,58839,8963,25
"HER14L","HER14L_2A","HER14L_2A_59",7.3,579.1,6.95,1,30855,76646,1.73,0,26,33,31,38,66,164,32,249,46,18,5,41,2793,111,203,196,110,0,158,2780,141,407,0,1482,8,9,0,0,0,17,0,0,0,0,35,145,0,58578,8724,13
"HER14L","HER14L_2A","HER14L_2A_60",7.4,586.29,6.96,1,30769,76079,1.28,0,47,0,0,33,32,94,20,274,77,0,0,21,2970,17,213,40,42,0,8,2590,0,324,0,1379,0,0,0,0,52,30,0,0,0,0,48,56,0,58581,9131,146
"HER14L","HER14L_2A","HER14L_2A_61",7.5,593.49,6.96,1,30772,75817,1.56,39,41,16,21,45,39,146,26,304,80,0,9,0,2633,0,175,125,59,34,0,2467,0,621,0,1126,9,0,0,0,77,0,0,0,0,0,0,5,119,58762,8839,204
