"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"kcps",1,1564,32089.5479539642,1338.88402441748,32358,32257.5583067093,1199.4234,23139,33825,10686,-2.17708665182511,8.0506302131056,33.8551377518938,31298.75,33100.25
"cps",2,1564,77739.8695652174,3336.95156198854,77408,77592.5231629393,2295.0648,61952,94856,32904,0.384357471482727,4.72868633597962,84.3784470814578,76034.75,79280.25
"S",3,1564,58.9859335038363,19.7123214702392,58,57.9321086261981,17.7912,7,148,141,0.635992322228352,1.08391498372605,0.498447473129662,46,70
"Ca",4,1564,360.170716112532,84.8143937901145,349,352.583067092652,74.13,196,1078,882,1.99880050289496,9.20664239145735,2.14462412930574,302,403
"Fe",5,1564,3373.41496163683,3812.95131590813,2148,2650.30830670927,2522.6439,110,29757,29647,2.3975908747464,8.07577870022601,96.4146182097424,727.25,4733.5
"Cu",6,1564,105.438618925831,52.2054673122009,104,104.162939297125,50.4084,0,359,359,0.353883269888081,0.461487653586687,1.32007198160836,70,138
"Br",7,1564,1848.15537084399,813.144520385642,1575,1821.06230031949,977.7747,443,3613,3170,0.270835005662221,-1.42910421823425,20.5612429813187,1133.75,2664.25
"Sr",8,1564,486.247442455243,250.745959691948,465,462.717252396166,170.499,0,2458,2458,2.74550382877507,13.8769380613617,6.34038411937519,348.75,575
"Mo_inc",9,1564,60131.1010230179,3161.53632851474,60639.5,60520.8202875399,2630.1324,38491,64566,26075,-2.59185269605651,10.9963784559885,79.9428822493059,58739,62314.25
"Mo_coh",10,1564,9030.40089514066,349.593819368228,9019.5,9034.05271565495,358.0479,7097,9992,2895,-0.291908391092519,0.797639312820972,8.83985968618264,8789.75,9279
