Site,label,ID,depth,SH20_age,surface,validity,kcps,cps,MSE,K,Ca,Ti,Fe,Br,Sr,Mo_inc,Mo_coh,inc_coh,coh_inc,LnK_Ti,LnK_Ca,LnTi_Ca
HER14L,HER14L_2A,HER14L_2A_24,3.8,327.21,6.85,1,30776,75777,1.32,-3.734426476,-1.468505368,-2.534461693,1.510279121,0.832418596,-0.730726033,4.000202357,2.125219496,6.521337289,0.153342782,-1.228665417,-2.302585093,-1.073919676
HER14L,HER14L_2A,HER14L_2A_25,3.9,334.41,6.86,1,30763,76038,1.47,-3.885797263,-1.380271326,-2.633034294,1.577610724,1.022436098,-0.962635682,4.06778467,2.193907073,6.514135287,0.153512317,-1.289667525,-2.552729246,-1.263061721
HER14L,HER14L_2A,HER14L_2A_26,4,341.6,6.87,1,31132,76709,1.22,-3.363233256,-1.331332659,-3.180911699,1.56194789,0.888521973,-0.753163463,4.043650935,2.134520278,6.747893258,0.148194401,-0.187211542,-2.057135784,-1.869924242
HER14L,HER14L_2A,HER14L_2A_27,4.1,348.8,6.88,1,30880,76054,1.28,-3.743172818,-1.255066166,-2.49040985,1.396013538,0.805427016,-0.724625867,3.957313891,2.054520256,6.705264387,0.14913655,-1.280933845,-2.524127363,-1.243193517
HER14L,HER14L_2A,HER14L_2A_28,4.2,356,6.88,1,30329,74595,1.38,-3.663455241,-1.160199453,-2.848418243,1.366740579,0.740097299,-0.523141739,3.983163881,2.105212917,6.540731312,0.152888103,-0.836248024,-2.537961213,-1.701713189
HER14L,HER14L_2A,HER14L_2A_29,4.3,363.19,6.89,1,30377,76442,1.33,-4.052475203,-1.29035778,-2.625358847,1.270805743,0.904524876,-0.370564418,4.018778048,2.144647581,6.515775189,0.153473681,-1.470851749,-2.815760894,-1.344909145
HER14L,HER14L_2A,HER14L_2A_30,4.4,370.39,6.89,1,31057,77947,1.38,-3.852270631,-1.10723186,-2.683699753,1.537198082,0.827038583,-0.809820732,3.978707817,2.110078494,6.480022384,0.154320455,-1.199416988,-2.786693328,-1.587276341
HER14L,HER14L_2A,HER14L_2A_31,4.5,377.59,6.9,1,30926,76220,1.41,-4.821890775,-1.207119293,-2.533694419,1.584753445,1.040115705,-0.569322208,4.198378087,2.308779458,6.617354522,0.151117791,-2.427748236,-3.765068592,-1.337320357
HER14L,HER14L_2A,HER14L_2A_32,4.6,384.78,6.9,1,31046,76956,1.34,-3.991360342,-1.1274802,-3.358837783,1.541331391,1.034453294,-0.51102564,4.142900203,2.270019077,6.507635302,0.153665649,-0.661398482,-2.921143417,-2.259744934
HER14L,HER14L_2A,HER14L_2A_33,4.7,391.98,6.91,1,30728,76166,1.43,-4.42692226,-1.188243808,-2.492988302,1.449178198,0.873060386,-0.451924455,4.037713681,2.20012656,6.28194659,0.159186326,-2.008823974,-3.322416504,-1.313592529
