"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Fe","Cu","Br","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca","cps_sum_all","cps_sum_filtered"
"HER14L","HER14L_2A","HER14L_2A_2",1.6,168.88,6.64,1,25557,65410,1.37,0.0550374560464761,0.0703256382816083,1.02583702797737,0.157468277021862,9.52759516893441,0.13759364011619,3.04387708301483,3.12031799419049,68.3014829536768,12.3100443357285,5.54843517138599,0.180230996508192,-0.806087591740541,-2.68012774048259,-1.87404014874205,100,97.7495795749885
"HER14L","HER14L_2A","HER14L_2A_3",1.7,176.08,6.65,1,25943,68375,1.35,0.0702010968921389,0.0804387568555759,1.19926873857404,0.235466179159049,13.9919561243144,0.130164533820841,2.56234003656307,2.90018281535649,64.4855575868373,11.5466179159049,5.58480050664978,0.179057425383289,-1.07407117975199,-2.70197115502583,-1.62789997527384,100,97.2021937842779
"HER14L","HER14L_2A","HER14L_2A_4",1.8,183.27,6.66,1,25354,65492,1.27,0.0442802174311366,0.143528980638857,0.858120075734441,0.305380809869908,14.0612593904599,0.105356379405118,2.42166982226837,2.55756428266048,65.2033836193734,11.746472851646,5.55089041986221,0.180151277427815,-0.755022584278033,-1.78820706762369,-1.03318448334565,100,97.4470164294876
"HER14L","HER14L_2A","HER14L_2A_5",1.9,190.47,6.69,1,25677,65686,1.42,0.0167463386414152,0.0822092987851293,1.32752793593764,0.14919465335079,12.6815455348172,0,3.01586334987669,2.58350333404378,65.1143318210882,11.7665864872271,5.53383361366283,0.18070655350588,-0.595983432106298,-2.78180537734471,-2.18582194523841,100,96.7375087537679
"HER14L","HER14L_2A","HER14L_2A_6",2,197.67,6.72,1,25548,67553,1.25,0.07105531952689,0.0947404260358533,1.23162553846609,0.158394149778692,16.4937160451793,0.155433511465072,2.71786597190354,2.9443548028955,61.7515136263378,11.4487883587702,5.39371605896043,0.185400934915498,-0.513945751102234,-2.56494935746154,-2.0510036063593,100,97.067487750359
"HER14L","HER14L_2A","HER14L_2A_7",2.1,204.86,6.74,1,25227,65931,1.51,0.0621862249927955,0.0515690646281719,0.903975368187954,0.266945746310537,16.4110964493182,0.124372449985591,2.50564984605117,2.71040936736892,61.747887943456,12.102046078476,5.10226845469357,0.195991255434649,-1.64412347042199,-2.86388014244919,-1.2197566720272,100,96.8861385387754
"HER14L","HER14L_2A","HER14L_2A_8",2.2,212.06,6.75,1,25500,65637,1.31,0.05941770647653,0.0609412374118257,0.673400673400673,0.239194356841416,14.2846260493319,0.0137117784176608,2.79415573533221,2.43003184179655,64.1467464996877,12.2354769413593,5.2426845971859,0.190741972259168,-1.36736635123437,-2.40243042796376,-1.03506407672939,100,96.9377028200558
"HER14L","HER14L_2A","HER14L_2A_9",2.3,219.26,6.76,1,25948,65568,1.44,0.0518545632015617,0.054904831625183,0.629880429477794,0.266898487066862,12.4176427525622,0,2.92520741825281,2.25872376769156,65.7195583211323,12.7226695949244,5.16554783025653,0.193590308881205,-1.5812670354674,-2.43992865450492,-0.858661619037519,100,97.0473401659346
"HER14L","HER14L_2A","HER14L_2A_10",2.4,226.45,6.77,1,27986,68909,1.26,0.0638523269819617,0.0711082732299119,0.73285057104297,0.121899896965563,9.57930023654385,0.153826060456544,3.11280094037063,2.29142782510267,68.2015411629831,12.2248182385465,5.57894112060779,0.179245483754282,-0.538996500732687,-2.33273813116473,-1.79374163043205,100,96.5534255322237
"HER14L","HER14L_2A","HER14L_2A_11",2.5,233.65,6.79,1,28354,70501,1.42,0.0538999446816357,0.0368789095190139,0.679422986907987,0.180139288804414,10.4069445823464,0.215599778726543,3.1517283442788,1.59997730528645,68.6231400973036,11.7317484858371,5.84935316164914,0.17095907399752,-1.58609054843711,-2.91360405938943,-1.32751351095232,100,96.6794797236919
