"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42L","HER42L_1A","HER42L_1A_10",1.4,308.11,7.12,1,18840,62810,1.55,0.00165575664227955,0.00704659222179438,0.0230265691182133,0.0763188294185599,0.0078167115902965,0.0192529842125529,0.80739314593762,NA,0.00535232961108972,0.00766268771659607,0.0339622641509434,0.0091644204851752,0.105121293800539,1,0.266153253754332,32882,3.7572337962963,0.266153253754332,1.08038477490884,-1.1982709609393,-2.27865573584815
"HER42L","HER42L_1A","HER42L_1A_12",1.6,345.68,7.16,1,21081,63932,1.4,0.00132425274309497,0.00539160045402951,0.0100580148820784,0.0685773741959894,0.00781939714970362,0.00785092697692017,0.468217934165721,0.00558077941732879,0.00466641442804893,0.00268003531340648,0.0322234834153109,0.00971118678269643,0.0952831378484046,1,0.243820153865557,39449,4.10138368033105,0.243820153865557,0.251762356619862,-1.91959284073794,-2.1713551973578
"HER42L","HER42L_1A","HER42L_1A_13",1.7,364.47,7.18,1,22462,69250,1.41,0.00105149312023073,0.00618878807907228,0.0189569188247311,0.0589737427146548,0.0100342486330589,0.00904284083398426,0.555969476656853,0.00078110917502854,0.00504716697710749,0.00276392477317791,0.0342486330589437,0.0112659977167578,0.0821065913597308,1,0.238358469026017,41220,4.19536173430804,0.238358469026017,0.636164869564513,-1.13492333173525,-1.77108820129976
"HER42L","HER42L_1A","HER42L_1A_14",1.8,383.26,7.18,1,21919,69905,1.63,0.0018772696497815,0.00575490859851049,0.01538745614575,0.0664122607250569,0.00732442912537699,0.00880162491536899,0.576752631255001,0.000184649473749,0.0020003692989475,0.00633963193204899,0.0406536591370715,0.017480150181572,0.0950329291561519,1,0.247861143595741,40548,4.03451701018128,0.247861143595741,0.742337424750717,-1.46232904739589,-2.20466647214661
"HER42L","HER42L_1A","HER42L_1A_15",1.9,402.05,7.19,1,22837,77281,1.53,0.000873471425006239,0.0060519091589718,0.0235525330671325,0.0748689792862491,0.0115111055652608,0.0157848764661842,0.8490454205141,0.00533441477414525,0.00368105814824058,0.00686298976790616,0.0386511105565261,0.0107000249563264,0.0894996256551036,1,0.229067881207886,39399,4.36551818058014,0.229067881207886,0.715921105208498,-1.15650626708701,-1.87242737229551
"HER42L","HER42L_1A","HER42L_1A_16",2,420.84,7.19,1,21316,69758,1.46,0.00161956176563989,0.0040647824706256,0.0133375674817402,0.0690695458875834,0.0104477611940299,0.0110193712289616,0.681930771673547,NA,0.00336614798348682,0.00666878374087012,0.0400444585582725,0.00825658939345824,0.0851063829787234,1,0.227056208320102,38640,4.4041958041958,0.227056208320102,0.244196960512042,-1.64452923224537,-1.88872619275741
"HER42L","HER42L_1A","HER42L_1A_17",2.1,439.62,7.19,1,21775,73771,1.39,0.00117819386065469,0.00464908928798879,0.0130556616991466,0.0742580562985607,0.0121322124570118,0.0146478155648962,0.80785887148134,0.00299324926760922,0.00525410775697363,0.00378932620048401,0.0432428989937588,0.00764233855559801,0.0834925487199083,1,0.228123805884601,38568,4.38358458961474,0.228123805884601,0.0733577845716525,-1.73832438777203,-1.81168217234368
"HER42L","HER42L_1A","HER42L_1A_18",2.2,458.41,7.2,1,21647,72572,1.47,0.00162638649448655,0.00400091077643691,0.0142796734215919,0.0707478125101649,0.0203623589109716,0.0142471456917022,0.78837458933741,0.00341541163842175,0.00357805028787041,0.00644049051816674,0.0413427446898481,0.00949809712780145,0.0909475327716879,1,0.240412451615002,38134,4.15951833310783,0.240412451615002,-0.354850958024927,-1.60028453044761,-1.24543357242269
"HER42L","HER42L_1A","HER42L_1A_19",2.3,477.2,7.21,1,21457,71370,1.37,0.00123029106096416,0.004467899116133,0.0134684495095024,0.0701265904749571,0.0145368601677081,0.0139540907177777,0.735649302295464,0.00301097549130702,0.0036261210217891,0.00398225790785767,0.0490821381163596,0.00608670314371742,0.0951209246608606,1,0.243273869265387,38401,4.11059355869044,0.243273869265387,-0.076337627480991,-1.64995216729967,-1.57361453981868
"HER42L","HER42L_1A","HER42L_1A_20",2.4,495.99,7.22,1,22528,77090,1.37,0.00147571352318754,0.00555747433200414,0.0151653113127571,0.0729379258375459,0.0114289302646865,0.0154792929134353,0.858833872335081,0.00398756632861314,0.00254325096549342,0.00273163992590034,0.0484159628245785,0.0120882916261107,0.079908317372602,1,0.232471977142139,39253,4.30159373311723,0.232471977142139,0.282862786015832,-1.57059807911784,-1.85346086513367
"HER42L","HER42L_1A","HER42L_1A_21",2.5,514.78,7.23,1,21800,70712,1.41,0.000910375137341077,0.00323340134986658,0.0102338722335583,0.0592999529116308,0.0145032177052268,0.0127138596766599,0.709182231988699,0.0016323967979909,0.00213467273583425,0.00718882436038299,0.0481243132946162,0.0069062941453461,0.0726102652644797,1,0.231203892638518,39220,4.32518669382213,0.231203892638518,-0.348667509715031,-1.7569054861348,-1.40823797641977
"HER42L","HER42L_1A","HER42L_1A_22",2.6,533.57,7.23,1,21161,67561,1.4,0.00178000461482678,0.00504334640867587,0.010877805979497,0.0659260968454363,0.0141411477733461,0.0115700299963741,0.660052081616508,0.0056366812802848,0.0041863071496852,0.0052740877476349,0.0592345980156245,0.0103503972047335,0.0707387019151531,1,0.235982463658239,37496,4.23760301718117,0.235982463658239,-0.262364264467491,-1.80180980508156,-1.53944554061407
"HER42L","HER42L_1A","HER42L_1A_24",2.8,571.14,7.26,1,20935,65007,1.35,0.00196596840892143,0.00552504914921022,0.0138973628906515,0.0558945156260593,0.0119313944817301,0.0116263304182767,0.64310894176666,0.00315232865568436,0.00464375296590062,0.00650803335367094,0.0501321944274964,0.00667751338892278,0.0927055792827605,1,0.241102298149278,36615,4.14761703922396,0.241102298149278,0.152525984100256,-1.39176716286125,-1.5442931469615
"HER42L","HER42L_1A","HER42L_1A_25",2.9,589.93,7.29,1,20116,65320,1.4,0.00127046353769647,0.00682420414534103,0.0112526770481687,0.0596391883552942,0.00969182184471306,0.0126320374605249,0.768594141348143,NA,0.00522704998366547,0.00762278122617881,0.0440669352789575,0.0144832843297397,0.108533885077498,1,0.248938255472068,34407,4.01706036745407,0.248938255472068,0.149323639078942,-1.66770682055808,-1.81703045963702
"HER42L","HER42L_1A","HER42L_1A_26",3,608.72,7.32,1,19850,65730,1.54,0.00172065534525324,0.00516196603575971,0.0182539088800778,0.100134659983542,0.0135034039051395,0.0149622203935064,0.781963043315628,0.00291763297673375,0.00811700456347722,0.0056108326475649,0.0407720505723049,0.0118949652128376,0.11184259744146,1,0.265729034188674,33838,3.76323198198198,0.265729034188674,0.301437447520266,-1.70213663766721,-2.00357408518747
