"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42L","HER42L_1A","HER42L_1A_10",1.4,308.11,7.12,1,18840,62810,1.55,-1.8818343620275,-1.21628541971661,2.28365428067421,0.50170213546298,NA,2.18506724256546,0.822437522390097,NA,-1.4117952553996,0.149980152400338,-2.75891198871749,0.319177981579757,0.693940821906003,-1.9396141385772,-1.45726407011773,32882,3.7572337962963,0.266153253754332,1.08038477490884,-1.1982709609393,-2.27865573584815
"HER42L","HER42L_1A","HER42L_1A_12",1.6,345.68,7.16,1,21081,63932,1.4,-2.13868998384829,-1.54360702468661,0.823376188394837,0.338993551298962,NA,0.772515270840809,-0.112471211961864,-0.244673044827663,-1.56295623567934,-0.879069515970824,-2.81825028088995,0.374452015241026,0.531783606391601,-1.93999663922595,-1.56127760322478,39449,4.10138368033105,0.243820153865557,0.251762356619862,-1.91959284073794,-2.1713551973578
"HER42L","HER42L_1A","HER42L_1A_13",1.7,364.47,7.18,1,22462,69250,1.41,-2.68974063053835,-1.67976397534174,1.50080725456042,-0.267964038406418,NA,0.602427373680904,-0.245564024878603,-2.5914719376096,-1.75092343787532,-1.09310464818113,-3.0296386444371,0.27765058401152,-0.12310942654663,-2.21770355780917,-1.88289035498066,41220,4.19536173430804,0.238358469026017,0.636164869564513,-1.13492333173525,-1.77108820129976
"HER42L","HER42L_1A","HER42L_1A_14",1.8,383.26,7.18,1,21919,69905,1.63,-1.66302634975814,-1.38412197892813,1.68791473912484,0.389506162268501,NA,1.05537415732103,0.357146569255051,-3.78561355113638,-2.42238113648937,0.0280725246399802,-2.48420982915133,1.00118643049082,0.634997384687599,-1.86718139086285,-1.46454019391716,40548,4.03451701018128,0.247861143595741,0.742337424750717,-1.46232904739589,-2.20466647214661
"HER42L","HER42L_1A","HER42L_1A_15",1.9,402.05,7.19,1,22837,77281,1.53,-3.06029517875007,-1.87474828040942,1.64136136106658,-0.114295163440264,NA,1.26318351649168,0.245006587723465,-0.702065620621969,-2.24891511051962,-0.336959552111503,-3.0480121059869,0.0964453756632138,-0.207130488397834,-2.37059826812497,-2.09221269293758,39399,4.36551818058014,0.229067881207886,0.715921105208498,-1.15650626708701,-1.87242737229551
"HER42L","HER42L_1A","HER42L_1A_16",2,420.84,7.19,1,21316,69758,1.46,-2.24025178652919,-2.24242087902319,0.810043720008961,-0.0895799286594209,NA,0.850027899916258,0.0353630501163106,NA,-2.24067632949013,-0.270157578320275,-2.89956068815271,-0.0592931038379232,-0.130509483657567,-2.26267131657796,-1.98805864830973,38640,4.4041958041958,0.227056208320102,0.244196960512042,-1.64452923224537,-1.88872619275741
"HER42L","HER42L_1A","HER42L_1A_17",2.1,439.62,7.19,1,21775,73771,1.39,-2.77708580059858,-2.26093983167446,0.508974499067599,-0.20640807934899,NA,1.06278177998748,0.0696283499013632,-1.36971532898316,-1.9154897501513,-0.970038411752173,-2.98103735285862,-0.276895616488585,-0.40780754328562,-2.42911552336474,-2.15922039137259,38568,4.38358458961474,0.228123805884601,0.0733577845716525,-1.73832438777203,-1.81168217234368
"HER42L","HER42L_1A","HER42L_1A_18",2.2,458.41,7.2,1,21647,72572,1.47,-3.00144623216926,-3.07663042028323,-0.245656116680727,-1.06505715300945,NA,0.204024525549703,-0.860166375262436,-1.7784208166972,-2.90723581188596,-0.957707416818397,-3.61231237644731,-0.565167973638936,-1.11872449416601,-3.00572028158626,-2.70935297037426,38134,4.15951833310783,0.240412451615002,-0.354850958024927,-1.60028453044761,-1.24543357242269
"HER42L","HER42L_1A","HER42L_1A_19",2.3,477.2,7.21,1,21457,71370,1.37,-2.93499117613348,-2.53029512447762,0.245166851687519,-0.567409505515257,NA,0.701777408195917,-0.400993278054035,-1.55497828261935,-2.52203841560362,-1.0984768181649,-3.04179263971838,-0.668780366079105,-0.4907429018981,-2.63046510494636,-2.29697216817527,38401,4.11059355869044,0.243273869265387,-0.076337627480991,-1.64995216729967,-1.57361453981868
"HER42L","HER42L_1A","HER42L_1A_20",2.4,495.99,7.22,1,22528,77090,1.37,-2.45006578636437,-1.97007756926208,0.878184355184716,-0.143055629792608,NA,1.24368887808863,0.276947327146459,-1.00268435288235,-2.64757747813765,-1.23205086136629,-2.78729714182405,0.220371912624858,-0.38176061015947,-2.36262061485008,-2.06630451680966,39253,4.30159373311723,0.232471977142139,0.282862786015832,-1.57059807911784,-1.85346086513367
"HER42L","HER42L_1A","HER42L_1A_21",2.5,514.78,7.23,1,21800,70712,1.41,-3.27803316434015,-2.92236334112763,-0.234759049569837,-0.818183517119768,NA,0.558908409592201,-0.459849902453144,-2.2009435112454,-3.10204906161924,-0.517797673398519,-3.06130061473625,-0.545345179737051,-0.931019034503862,-2.62788512527239,-2.35439145522147,39220,4.32518669382213,0.231203892638518,-0.348667509715031,-1.7569054861348,-1.40823797641977
"HER42L","HER42L_1A","HER42L_1A_22",2.6,533.57,7.23,1,21161,67561,1.4,-2.47929995662641,-2.34864991626524,-0.0826671732869956,-0.619222754182083,NA,0.450307552415289,-0.539605802286806,-0.861635473861724,-2.33374835986405,-0.7963300756133,-2.79993331906432,-0.132876056890666,-0.932386878947717,-2.59973356467045,-2.30031969892033,37496,4.23760301718117,0.235982463658239,-0.262364264467491,-1.80180980508156,-1.53944554061407
"HER42L","HER42L_1A","HER42L_1A_24",2.8,571.14,7.26,1,20935,65007,1.35,-2.17017690947128,-2.02976315911576,0.648492311795306,-0.611871932122165,NA,0.725410875688735,-0.292836317810056,-1.29719314439616,-2.0329098910964,-0.424078422433164,-2.79648582888533,-0.390374334621959,-0.208226768888803,-2.41052986151371,-2.07407566822456,36615,4.14761703922396,0.241102298149278,0.152525984100256,-1.39176716286125,-1.5442931469615
