"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","As","Se","Br","Rb","Sr","Y","Zr","Sn","I","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","qc"
"HER42PB","HER42PB_1A","HER42PB_1A_2",1.1,-51.51,6.66,1,16596,44628,1.45,0.0851483373666756,0.105315048848257,0.0358519315228108,0.0156852200412297,0.0537778972842162,0.15012996325177,0.351797078067581,0.121000268889486,0.737205341937797,0.168055929013176,0.0089629828807027,0.0246482029219324,0.242000537778973,13.1106032087479,0.259926503540378,0.333871112306175,0.165815183293,0.114278031728959,0,0.143407726091243,7.26673837052971,0.244241283499149,1.00833557407905,0,1.27050282333961,0,0.0246482029219324,0,0.0268889486421081,0.360760060948284,0.436945415434256,0,0,0,0,0.190463386214932,0.0179259657614054,0.0560186430043919,61.9230079770548,10.9460428430582,TRUE
"HER42PB","HER42PB_1A","HER42PB_1A_3",1.2,-50.47,6.68,1,16084,44476,1.35,0.0359744581347243,0.0112420181671014,0.0224840363342027,0,0,0.173127079773361,0.24957280330965,0.188865905207303,0.921845489702311,0.24732439967623,0.0427196690349852,0.0202356327007824,0.236082381509128,16.4785502293372,0.107923374404173,0.276553646910693,0.0899361453368109,0,0,0.211349941541506,6.62379710405612,0.406961057649069,1.52891447072578,0,1.66606709236442,0,0,0,0,0.451929130317475,0.514884432053242,0,0,0,0,0,0.0134904218005216,0.101178163503912,58.9261624246785,10.4528284917708,TRUE
"HER42PB","HER42PB_1A","HER42PB_1A_4",1.3,-49.42,6.7,1,16223,44600,1.42,0.0582959641255605,0.0695067264573991,0.0582959641255605,0.0874439461883408,0.0493273542600897,0.233183856502242,0.2847533632287,0.12780269058296,0.827354260089686,0.273542600896861,0.062780269058296,0.0403587443946188,0.253363228699552,15.6905829596413,0.0919282511210762,0.401345291479821,0.260089686098655,0.0515695067264574,0,0.201793721973094,6.93497757847534,0.26457399103139,1.32735426008969,0,1.15695067264574,0,0.015695067264574,0,0,0.360986547085202,0.531390134529148,0,0,0,0,0.172645739910314,0.0605381165919283,0.0896860986547085,59.3520179372197,10.609865470852,TRUE
"HER42PB","HER42PB_1A","HER42PB_1A_5",1.4,-48.38,6.7,1,16870,48427,1.4,0,0.0474941664773783,0.0598839490366944,0,0,0.163132137030995,0.26431536126541,0.289094926384042,0.900324199310302,0.173456955830425,0.0268445288785182,0.0227146013587462,0.309744563982902,18.7147665558469,0.313874491502674,0.369628513019597,0.117702934313503,0.210626303508373,0,0.105313151754187,6.84122493650236,0.510046048691845,1.37939579160386,0,1.4909038346377,0,0,0,0.0185846738389741,0.318004419022446,0.237470832386892,0,0.0123897825593161,0.163132137030995,0,0,0,0.0825985503954406,56.8505172734219,10.0068143804076,TRUE
"HER42PB","HER42PB_1A","HER42PB_1A_6",1.5,-47.34,6.71,1,16085,44532,1.13,0.0134734572891404,0.033683643222851,0.0224557621485673,0.0381747956525645,0.0561394053714183,0.247013383634241,0.251504536063954,0.217820892841103,0.785951675199856,0.229048773915387,0.0134734572891404,0,0.215575316626246,14.2549178119105,0.211084164196533,0.307643941435372,0.058384981586275,0,0,0.145962453965688,7.14317793945926,0.341327584658223,1.91996766370251,0,1.54046528339172,0,0,0,0,0.354801041947364,0.392975837599928,0,0.067367286445702,0,0,0,0.0651217102308452,0.0179646097188539,60.3498607742747,10.704661816222,TRUE
"HER42PB","HER42PB_1A","HER42PB_1A_7",1.6,-46.29,6.73,1,16366,44776,1.31,0.0424334464891906,0.0647668393782384,0.0469001250670002,0,0.0469001250670002,0.263534036090763,0.335000893335716,0.14516705377881,0.819635519028051,0.223333928890477,0,0,0.207700553868144,12.7657673753797,0.127300339467572,0.328300875469001,0.138467035912096,0.0513668036448097,0,0,7.32981954618546,0,2.13060568161515,0,1.34223691263177,0,0,0,0,0.395301054136144,0.652135072360193,0,0.167500446667858,0,0,0.250134000357334,0.321600857602287,0.39306771484724,60.8986957298553,10.5123280328748,TRUE
"HER42PB","HER42PB_1A","HER42PB_1A_8",1.7,-45.25,6.76,1,16696,47047,1.33,0.0425106808085532,0.0552638850511191,0.0127532042425659,0.0318830106064149,0.0573894190915467,0.191298063638489,0.280570493336451,0.133908644546942,0.701426233341127,0.204051267881055,0.0382596127276978,0,0.314579037983293,13.8436032053053,0.180670393436351,0.40810253576211,0.210427870002338,0,0,0,7.73481837311625,0.316704572023721,1.75781665143367,0,1.27957149233745,0,0,0,0,0.255064084851319,0.378345059196123,0,0.221055540204476,0,0,0.240185346568325,0.197674665759772,0.0191298063638489,59.7657661487449,11.1271707016388,TRUE
"HER42PB","HER42PB_1A","HER42PB_1A_9",1.8,-44.2,6.78,1,16936,47641,1.27,0,0,0.0125941940765307,0.0209903234608845,0.0293864528452383,0.212002266954934,0.268676140299322,0.180516781763607,0.877395520664973,0.28546839906803,0.0251883881530614,0,0.29806259314456,15.3838080644823,0.316953884259356,0.340043240066329,0.140635167187926,0,0,0.0566738733443882,7.44106966688357,0.398816145756806,1.88912911147961,0,1.52389748326022,0,0,0,0,0.444994857370752,0.405113242795071,0,0,0.046178711613946,0,0.350538401796772,0.046178711613946,0,58.6973405260175,10.3083478516404,TRUE
"HER42PB","HER42PB_1A","HER42PB_1A_10",1.9,-43.16,6.81,1,16562,46327,1.18,0.0906598743713169,0.0928184428087293,0.0453299371856585,0.02806138968636,0.0366956634360092,0.267662486239126,0.328102402486671,0.110086990308028,1.10302847151769,0.164051201243335,0.0237442528115354,0.0151099790618862,0.306516718112548,14.5271655837848,0.118721264057677,0.347529518423382,0.0928184428087293,0.0863427374964923,0,0.0906598743713169,7.37582835063786,0.282772465301012,1.69879336024349,0,0.995100049647074,0,0.0107928421870615,0,0,0.379908044984566,0.453299371856585,0,0.148941222181449,0.0906598743713169,0,0.459775077168822,0.127355537807326,0,59.7556500528849,10.3460185205172,TRUE
"HER42PB","HER42PB_1A","HER42PB_1A_11",2,-42.11,6.84,1,15674,42856,1.25,0,0.0443345155870823,0.0630016800448012,0,0.0443345155870823,0.15867089789061,0.315008400224006,0.100336008960239,0.611349635990293,0.695351876050028,0,0.0186671644577189,0.359342915811088,10.9739593055815,0.133003546761247,0.443345155870823,0.324341982452865,0.0980026134030241,0,0,7.26619376516707,0.424677991413104,1.07336195631884,0,1.24136643643831,0,0,0,0.0373343289154377,0.305674817995147,0.394343849169311,0,0.0373343289154377,0.016333768900504,0,0.0560014933731566,0,0,63.8743699831995,10.8899570655217,TRUE
"HER42PB","HER42PB_1A","HER42PB_1A_12",2.1,-41.07,6.84,1,16295,44760,1.36,0,0,0,0.0491510277033065,0.0446827524575514,0.17426273458445,0.326184092940125,0.187667560321716,0.65236818588025,0.196604110813226,0.0245755138516533,0,0.770777479892761,12.9267202859696,0.142984807864164,0.274798927613941,0.134048257372654,0.015638963360143,0,0,6.96157283288651,0.475871313672922,1.33154602323503,0,1.26228775692583,0.031277926720286,0.0290437890974084,0,0.0290437890974084,0.364164432529044,0.446827524575514,0,0.0290437890974084,0.0134048257372654,0,0.426720285969616,0.0960679177837355,0,62.4352100089366,10.1474530831099,TRUE
