"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42L","HER42L_1A","HER42L_1A_10",1.4,308.11,7.12,1,18840,62810,1.55,0.300622358230402,5.94579540813392,9.57421478350855,6.47962952131709,1.66866230994536,7.40854487081823,4.56058805297749,NA,2.68115859850894,6.09932715843101,-3.35210790481163,3.35332743235694,7.35581085730838,NA,7.3820676573268,32882,3.7572337962963,0.266153253754332,1.08038477490884,-1.1982709609393,-2.27865573584815
"HER42L","HER42L_1A","HER42L_1A_12",1.6,345.68,7.16,1,21081,63932,1.4,-0.5597232596894,3.25350094636178,3.80844625129293,5.71444149469893,1.66945576922103,2.64410800579037,2.27555882728954,3.24633730989242,1.71136019412941,1.17246835993286,-3.51196566658792,3.61527893578818,6.56055913490131,NA,5.82330853568658,39449,4.10138368033105,0.243820153865557,0.251762356619862,-1.91959284073794,-2.1713551973578
"HER42L","HER42L_1A","HER42L_1A_13",1.7,364.47,7.18,1,22462,69250,1.41,-1.26761100053929,4.55034354685069,7.76486416723853,4.76519053214792,2.32384250482816,3.14215833154972,2.86674247583483,-0.743720039698537,2.24969674603873,1.2554184615116,-3.32578009260557,4.36017682648689,5.49545391178058,NA,5.44210524973182,41220,4.19536173430804,0.238358469026017,0.636164869564513,-1.13492333173525,-1.77108820129976
"HER42L","HER42L_1A","HER42L_1A_14",1.8,383.26,7.18,1,21919,69905,1.63,0.875510755577483,3.8445205057061,6.17789500964018,5.50043536063294,1.52321548534505,3.04136441415992,3.00675894523029,-1.23956835732893,-2.0580946541279,4.79108638513788,-2.73692313555179,7.33732920052443,6.54033391236537,NA,6.10535310781266,40548,4.03451701018128,0.247861143595741,0.742337424750717,-1.46232904739589,-2.20466647214661
"HER42L","HER42L_1A","HER42L_1A_15",1.9,402.05,7.19,1,22837,77281,1.53,-1.72962724154816,4.32767273621725,9.80805629972847,6.33632210304249,2.76018579650487,5.95936951086214,4.84120014201082,3.04152968653729,0.318189476334307,5.30858388440258,-2.92103084239145,4.08902365525404,6.09305810567773,NA,4.79366018034897,39399,4.36551818058014,0.229067881207886,0.715921105208498,-1.15650626708701,-1.87242737229551
"HER42L","HER42L_1A","HER42L_1A_16",2,420.84,7.19,1,21316,69758,1.46,0.206686499301797,1.09507044653977,5.26652252059583,5.76308918103445,2.44601644603362,3.96806668160155,3.71534588324485,NA,-0.12705416727072,5.11655249316778,-2.79293102602581,2.91839257917562,5.7379373063794,NA,4.65325363225636,38640,4.4041958041958,0.227056208320102,0.244196960512042,-1.64452923224537,-1.88872619275741
"HER42L","HER42L_1A","HER42L_1A_17",2.1,439.62,7.19,1,21775,73771,1.39,-0.938787034730501,2.04560448483725,5.1411883113438,6.27593669204095,2.9436943136269,5.48423991241142,4.5637256539625,1.09527418055777,2.54228516378674,2.26933788340056,-2.49887696922972,2.62410975451937,5.60748557535924,NA,4.72776758017185,38568,4.38358458961474,0.228123805884601,0.0733577845716525,-1.73832438777203,-1.81168217234368
"HER42L","HER42L_1A","HER42L_1A_18",2.2,458.41,7.2,1,21647,72572,1.47,0.224398585256626,0.991165755363909,5.68537913969951,5.92897395181091,5.37532402426392,5.31681693995117,4.43245971059406,1.44622580542899,0.172549226496595,4.89081560006369,-2.67357088424037,3.51318933056115,6.21009737949604,NA,5.58546484209542,38134,4.15951833310783,0.240412451615002,-0.354850958024927,-1.60028453044761,-1.24543357242269
"HER42L","HER42L_1A","HER42L_1A_19",2.3,477.2,7.21,1,21457,71370,1.37,-0.803580184668138,1.75084936537602,5.32471215865131,5.86757055289613,3.65415710425331,5.19436167662534,4.07724854644608,1.11001032816278,0.240515240669122,2.46010922425803,-1.96203659741827,1.87881686287552,6.5474468893322,NA,5.78518010265366,38401,4.11059355869044,0.243273869265387,-0.076337627480991,-1.64995216729967,-1.57361453981868
"HER42L","HER42L_1A","HER42L_1A_20",2.4,495.99,7.22,1,22528,77090,1.37,-0.166640044801472,3.52333994600037,6.07913028503457,6.14545114464706,2.73590677504702,5.83167908500521,4.90714511000636,1.92186890411132,-1.29052777851344,1.22349512610778,-2.02328255495188,4.75413147730183,5.31775992287735,NA,5.03125216779728,39253,4.30159373311723,0.232471977142139,0.282862786015832,-1.57059807911784,-1.85346086513367
