"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Cl","Ca","Ti","Mn","Fe","Ni","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42L","HER42L_1A","HER42L_1A_10",1.4,308.11,7.12,1,18840,62810,1.55,-0.535981206788837,-1.7163070472953,0.66112332361551,-1.61312281106007,-0.714636703819421,3.01955763068246,-1.98960038229498,-1.63292543835625,-0.147917604300326,-1.45477925297278,0.981180316569419,3.2334930049796,1.90991617104098,3.7572337962963,0.266153253754332,1.08038477490884,-1.1982709609393,-2.27865573584815
"HER42L","HER42L_1A","HER42L_1A_12",1.6,345.68,7.16,1,21081,63932,1.4,-1.0547497413338,-1.67557626031412,0.862172870848261,-1.30561784066286,-1.30160981926533,2.78275174490337,-1.81912443118211,-2.36872344087406,0.107424028824054,-1.08972946022983,1.19093425765189,3.54153735659488,2.13031073503967,4.10138368033105,0.243820153865557,0.251762356619862,-1.91959284073794,-2.1713551973578
"HER42L","HER42L_1A","HER42L_1A_13",1.7,364.47,7.18,1,22462,69250,1.41,-0.52434430618645,-1.64051490706794,0.609504788581103,-1.15910316850824,-1.26280668295844,2.85267061754444,-1.84333498541023,-2.44063420718005,0.0664266495287678,-1.04364455694341,0.940287316950587,3.43968850902267,2.0058049326272,4.19536173430804,0.238358469026017,0.636164869564513,-1.13492333173525,-1.77108820129976
"HER42L","HER42L_1A","HER42L_1A_14",1.8,383.26,7.18,1,21919,69905,1.63,-0.750821900799165,-1.73098603905408,0.709972428630778,-1.49096444995252,-1.30794578612441,2.87109427179974,-2.7777732598576,-1.63470920861866,0.219473018527602,-0.623547567757699,1.06817469103455,3.42141350844442,2.02662029372705,4.03451701018128,0.247861143595741,0.742337424750717,-1.46232904739589,-2.20466647214661
"HER42L","HER42L_1A","HER42L_1A_15",1.9,402.05,7.19,1,22837,77281,1.53,-0.481043311297963,-1.83608512891375,0.674555908743757,-1.19558168183923,-0.880573683886313,3.10254911064277,-2.32996119436597,-1.71092198595974,0.0137819711215864,-1.2684430301041,0.852982621276171,3.26618615975995,1.79255424482283,4.36551818058014,0.229067881207886,0.715921105208498,-1.15650626708701,-1.87242737229551
"HER42L","HER42L_1A","HER42L_1A_16",2,420.84,7.19,1,21316,69758,1.46,-0.885805538583574,-2.06862596790428,0.756805235709878,-1.12934571780543,-1.07623589249148,3.0462063745865,-2.25560953780405,-1.57658023878989,0.212014670835203,-1.36391796494326,0.965506765970004,3.42901869743795,1.94656911378244,4.4041958041958,0.227056208320102,0.244196960512042,-1.64452923224537,-1.88872619275741
"HER42L","HER42L_1A","HER42L_1A_17",2.1,439.62,7.19,1,21775,73771,1.39,-0.95730350759207,-1.98546413530957,0.779013549933125,-1.03047611348173,-0.842498679091657,3.16546534636203,-1.86390893373176,-2.18840497930626,0.238607692062839,-1.49109978859765,0.896177257778569,3.37882567280018,1.90106661817397,4.38358458961474,0.228123805884601,0.0733577845716525,-1.73832438777203,-1.81168217234368
"HER42L","HER42L_1A","HER42L_1A_18",2.2,458.41,7.2,1,21647,72572,1.47,-0.930354703891679,-2.19684786519895,0.668114177171848,-0.576182890171065,-0.932630017728814,3.07854749772445,-2.30759922949165,-1.72382460607949,0.131216313096082,-1.33695682178692,0.919173262397974,3.31632070144069,1.89102418251753,4.15951833310783,0.240412451615002,-0.354850958024927,-1.60028453044761,-1.24543357242269
"HER42L","HER42L_1A","HER42L_1A_19",2.3,477.2,7.21,1,21457,71370,1.37,-0.906911902749024,-2.00552419141713,0.741100876988533,-0.83075054178346,-0.871572536303716,3.09113478182397,-2.21261030583549,-2.11971655894279,0.384491854800706,-1.69825110948818,1.04582654187109,3.39812491339625,1.98465817763925,4.11059355869044,0.243273869265387,-0.076337627480991,-1.64995216729967,-1.57361453981868
"HER42L","HER42L_1A","HER42L_1A_20",2.4,495.99,7.22,1,22528,77090,1.37,-0.797632319866633,-1.79793367629118,0.771327891388537,-1.07981987300077,-0.777181709395342,3.23690082285823,-2.57299797931901,-2.50238041210506,0.361766625779896,-1.02387985711843,0.862561552534087,3.38907543441704,1.93019350011863,4.30159373311723,0.232471977142139,0.282862786015832,-1.57059807911784,-1.85346086513367
"HER42L","HER42L_1A","HER42L_1A_21",2.5,514.78,7.23,1,21800,70712,1.41,-1.10038144911054,-2.24595072086642,0.653990488045898,-0.752614565921556,-0.883988460406057,3.13500952028518,-2.65623511541053,-1.45226231108459,0.445292361919412,-1.49217891849004,0.856391287745832,3.47863940629619,2.01428847699722,4.32518669382213,0.231203892638518,-0.348667509715031,-1.7569054861348,-1.40823797641977
"HER42L","HER42L_1A","HER42L_1A_22",2.6,533.57,7.23,1,21161,67561,1.4,-1.1456748815724,-1.91084065453584,0.653609077634268,-0.884008048261858,-1.08416208135137,2.95694351498709,-2.09576299302985,-1.866388891965,0.5466369580821,-1.19522061812383,0.724033540929315,3.37236307420215,1.92847200300523,4.23760301718117,0.235982463658239,-0.262364264467491,-1.80180980508156,-1.53944554061407
"HER42L","HER42L_1A","HER42L_1A_24",2.8,571.14,7.26,1,20935,65007,1.35,-0.899810828450903,-1.81853761512294,0.490126523947489,-1.05193598601384,-1.07776238557374,2.93242085700568,-1.99115035778993,-1.65571385404225,0.381393323811023,-1.6301370122526,0.995848235795303,3.37384318912545,1.95141590956126,4.14761703922396,0.241102298149278,0.152525984100256,-1.39176716286125,-1.5442931469615
"HER42L","HER42L_1A","HER42L_1A_25",2.9,589.93,7.29,1,20116,65320,1.4,-1.2045191274037,-1.70256502452329,0.460575536033191,-1.35332505907208,-1.08924011738051,3.01626447993732,-1.96757829716236,-1.59245390610687,0.158187316191715,-0.952847492474952,1.05905101904701,3.27944577499813,1.88900489791639,4.01706036745407,0.248938255472068,0.149323639078942,-1.66770682055808,-1.81703045963702
"HER42L","HER42L_1A","HER42L_1A_26",3,608.72,7.32,1,19850,65730,1.54,-0.813831433667249,-2.07171999001143,0.886631603108997,-1.11454971131635,-1.01223249583555,2.94159755495053,-1.62169886035303,-1.9889140863272,-0.0113439373090503,-1.24100282035728,0.997169135487827,3.18753492424071,1.86236011738908,3.76323198198198,0.265729034188674,0.301437447520266,-1.70213663766721,-2.00357408518747
"HER42L","HER42L_1A","HER42L_1A_29",3.3,665.08,7.31,1,19043,66100,1.64,-0.593371134860023,-1.9167922541614,1.11484996955182,-0.0683374412568038,-0.980698894991069,3.04984761262118,-3.65976155922003,-1.09756323513038,-0.544660206854018,-1.49890462605468,1.2233108895414,3.07006251126945,1.90201836954456,3.21600109784548,0.310945167484532,-0.525714236259741,-1.70958486103904,-1.1838706247793
"HER42L","HER42L_1A","HER42L_1A_30",3.4,683.87,7.31,1,19575,68478,1.48,-0.52535597709203,-2.21393121008485,1.16889109627231,-0.45202470400648,-0.54574884065517,3.13029100966243,-3.06122907047206,-2.14886761673779,-0.684956261686853,-0.859656660199735,1.20585974179061,3.09836364489821,1.88836484831142,3.35380767092829,0.298168558879589,-0.0734412313800502,-1.69551572781866,-1.62207449643861
