"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42L","HER42L_1A","HER42L_1A_10",1.4,308.11,7.12,1,18840,62810,1.55,-1.55200586334822,-0.103719826200366,1.08038477490884,2.27865573584815,0,0.901402119380404,4.63754676596145,NA,-0.378732045911095,-0.0199011543172949,1.468986076965,0.159064694629687,2.59885090913722,4.85149132561501,3.5278083314421,32882,3.7572337962963,0.266153253754332,1.08038477490884,-1.1982709609393,-2.27865573584815
"HER42L","HER42L_1A","HER42L_1A_12",1.6,345.68,7.16,1,21081,63932,1.4,-1.77575912788161,-0.371765189662322,0.251762356619862,2.1713551973578,0,0.00402415029972555,4.09232639806586,-0.337279013591153,-0.516216472400867,-1.07077748967467,1.41608802459867,0.216671036808592,2.5002453966677,4.85114781822731,3.43982341844405,39449,4.10138368033105,0.243820153865557,0.251762356619862,-1.91959284073794,-2.1713551973578
"HER42L","HER42L_1A","HER42L_1A_13",1.7,364.47,7.18,1,22462,69250,1.41,-2.25579293148729,-0.483264824187119,0.636164869564513,1.77108820129976,0,-0.104030728227825,4.01470928983228,-2.55304445495522,-0.687177013573442,-1.28935241592766,1.22764254841184,0.11578503299371,2.10201419295137,4.60175117416997,3.16777160809758,41220,4.19536173430804,0.238358469026017,0.636164869564513,-1.13492333173525,-1.77108820129976
"HER42L","HER42L_1A","HER42L_1A_14",1.8,383.26,7.18,1,21919,69905,1.63,-1.36139680949816,-0.241162056816888,0.742337424750717,2.20466647214661,0,0.183721137148378,4.3661982424902,-3.68051120444342,-1.29788340377584,-0.144394504881894,1.71387363085085,0.869850745049677,2.56300823747319,4.91654006221822,3.52165346773992,40548,4.03451701018128,0.247861143595741,0.742337424750717,-1.46232904739589,-2.20466647214661
"HER42L","HER42L_1A","HER42L_1A_15",1.9,402.05,7.19,1,22837,77281,1.53,-2.57859213386532,-0.642938484977199,0.715921105208498,1.87242737229551,0,0.315740025246938,4.3008004130124,-0.769133087537867,-1.14011201957486,-0.517169097688166,1.21126323758862,-0.0730661968745873,2.05092217194084,4.46444300827545,2.99070611341108,39399,4.36551818058014,0.229067881207886,0.715921105208498,-1.15650626708701,-1.87242737229551
"HER42L","HER42L_1A","HER42L_1A_16",2,420.84,7.19,1,21316,69758,1.46,-1.86423211804105,-0.944027486845755,0.244196960512042,1.88872619275741,0,0.0532670291814873,4.17854042922871,NA,-1.1326186566533,-0.448950220047903,1.34360258519955,-0.235376119749844,2.09751432273953,4.5613675633297,3.07880988492268,38640,4.4041958041958,0.227056208320102,0.244196960512042,-1.64452923224537,-1.88872619275741
"HER42L","HER42L_1A","HER42L_1A_17",2.1,439.62,7.19,1,21775,73771,1.39,-2.33188146248248,-0.959192753418365,0.0733577845716525,1.81168217234368,0,0.18842711435644,4.19852327746663,-1.3995045928567,-0.83685390122612,-1.16367588201517,1.27096893299194,-0.46216045178471,1.92889328919694,4.41189117719145,2.9340243880539,38568,4.38358458961474,0.228123805884601,0.0733577845716525,-1.73832438777203,-1.81168217234368
"HER42L","HER42L_1A","HER42L_1A_18",2.2,458.41,7.2,1,21647,72572,1.47,-2.52732736567195,-1.62716601572768,-0.354850958024927,1.24543357242269,0,-0.357131460723652,3.65628529904772,-1.78539002094258,-1.73887000530768,-1.15108334040556,0.708208900089356,-0.762596568831817,1.4965947322536,3.89406723394371,2.46866795168479,38134,4.15951833310783,0.240412451615002,-0.354850958024927,-1.60028453044761,-1.24543357242269
"HER42L","HER42L_1A","HER42L_1A_19",2.3,477.2,7.21,1,21457,71370,1.37,-2.46943672801587,-1.17976920258505,-0.076337627480991,1.57361453981868,0,-0.0409147976385065,3.9240660093876,-1.574423394589,-1.38852401644716,-1.29483853236984,1.21680767846006,-0.870580924912305,1.87846146899157,4.23106777464536,2.81750033839166,38401,4.11059355869044,0.243273869265387,-0.076337627480991,-1.64995216729967,-1.57361453981868
"HER42L","HER42L_1A","HER42L_1A_20",2.4,495.99,7.22,1,22528,77090,1.37,-2.04700626592668,-0.721004135062911,0.282862786015832,1.85346086513367,0,0.303355306405949,4.31942762341186,-1.05296678117815,-1.5027047129643,-1.43124574898216,1.44368168648653,0.0560894666510436,1.94473206134788,4.47160739569641,3.01262180605665,39253,4.30159373311723,0.232471977142139,0.282862786015832,-1.57059807911784,-1.85346086513367
