"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42PB","HER42PB_1A","HER42PB_1A_2",1.1,-51.51,6.66,1,16596,44628,1.45,-2.8522621539914,0.00506840777144786,-0.275597210232761,-0.443737055893441,0.466816291429931,0.0490270583462847,0.339319005214042,-1.03060051483429,1.46967239627213,0.287052121386471,-0.865201157133705,-1.27703068561074,-1.79126967687346,32520,5.65711361310133,0.176768590555455,-0.328504066972036,-1.8070737042011,-1.47856963722906
"HER42PB","HER42PB_1A","HER42PB_1A_3",1.2,-50.47,6.68,1,16084,44476,1.35,-2.42972433535868,0.822476721515695,0.319041457597124,-0.0603964802132791,0.412073882427895,0.390778595295729,-0.822531930576749,-1.72798576352613,0.903280875109719,1.24138831465335,0.00316368932825973,-1.57710680516256,-2.32464157217423,30857,5.63734136373414,0.177388583638584,-0.269663566949103,-1.58534036085504,-1.31567679390594
"HER42PB","HER42PB_1A","HER42PB_1A_4",1.3,-49.42,6.7,1,16223,44600,1.42,-1.28887222505034,0.0868092391458725,0.0180515146215031,0.0710345743056338,0.558053639766659,0.314242899267132,-0.942134232790507,-0.22592522788217,1.18361607245273,0.406344145544831,-0.329080251926753,-1.52180195621923,-2.13705738865743,31203,5.59404057480981,0.178761663707453,-0.760969776898706,-1.86774537620598,-1.10677559930727
"HER42PB","HER42PB_1A","HER42PB_1A_5",1.4,-48.38,6.7,1,16870,48427,1.4,-2.34521677163214,2.34830557383829,0.509913128752396,-0.345163765004257,1.23321001745844,0.791723903191762,0.954416559456226,-0.22592522788217,1.60316534738785,2.11619649181466,-0.0421423026610602,-1.29890028367198,-1.87941164262231,32377,5.6811803549319,0.176019759543787,0.510825623765991,-1.13599982073973,-1.64682544450572
"HER42PB","HER42PB_1A","HER42PB_1A_6",1.5,-47.34,6.71,1,16085,44532,1.13,-1.03534953387071,1.17668699080487,-0.121431629684273,-0.148017183225888,0.247846655421787,0.16394621522306,-0.0365739446006258,-1.35247062961514,1.35143578242678,0.857002903476413,0.663876072505842,-1.43684697913519,-2.05795562452384,31642,5.63771764212293,0.177376744186047,-0.0502618347808883,-1.28322217598008,-1.23296034119919
"HER42PB","HER42PB_1A","HER42PB_1A_7",1.6,-46.29,6.73,1,16366,44776,1.31,-0.697319278964534,0.304784789477672,0.00336907837878982,-0.16992235897904,0.19310424641975,0.0178115931986696,-0.668757542016204,-1.08424553396443,1.54404704046518,-1.15770683786478,1.03765050641773,-1.35420513261531,-2.19355864875286,31975,5.79307414489059,0.17261992078627,-0.430782916092454,-1.73097457815893,-1.30019166206648
"HER42PB","HER42PB_1A","HER42PB_1A_8",1.7,-45.25,6.76,1,16696,47047,1.33,-1.88042517113615,0.250290901894722,-0.268255992111405,-0.213732710485344,1.19671507812375,0.202098450403478,-0.190348333161172,0.122767396463748,2.22486109115535,0.817238895423626,0.558162091197429,-1.17546322538402,-1.00025203553755,33353,5.37115568290353,0.186179671384878,-0.421213465076304,-1.65595792806899,-1.23474446299269
"HER42PB","HER42PB_1A","HER42PB_1A_9",1.8,-44.2,6.78,1,16936,47641,1.27,-1.41563357064016,0.876970609098644,0.377771202567977,0.224370804577699,1.08723026011968,0.390778595295729,0.937330516282832,-0.681907890488372,2.04559912822852,1.36068033881171,0.833773542465791,-1.2078470532824,-1.73250836637422,32875,5.69415597637956,0.175618652553283,-0.458307589482544,-1.58113413627125,-1.1228265467887
"HER42PB","HER42PB_1A","HER42PB_1A_10",1.9,-43.16,6.81,1,16562,46327,1.18,-0.443796587784902,-0.0766724236029768,1.06050448785414,-0.432784468016865,1.08723026011968,0.252274420307423,-0.702929628362991,-0.708730400053442,1.80149773190264,0.578654847106906,0.407142117899696,-1.26693702496709,-1.99919431402461,32476,5.77571458376799,0.173138749412997,-0.398907707562005,-2.30454395747938,-1.90563624991737
"HER42PB","HER42PB_1A","HER42PB_1A_11",2,-42.11,6.84,1,15674,42856,1.25,-2.81000837212813,-0.294647973934776,-0.767458824363655,1.99869004058302,1.30619989612782,-0.216420008242323,-0.668757542016204,0.0691223773336067,1.22366395778745,1.25464298400428,-0.827446163809272,-1.33191496536059,-2.28396066490553,32041,5.86543818298693,0.17049024621904,-1.93589337081184,-1.80714438806753,0.128748982744308
"HER42PB","HER42PB_1A","HER42PB_1A_12",2.1,-41.07,6.84,1,16295,44760,1.36,-2.38747055349541,0.822476721515695,-0.547222280722956,-0.301353413497953,4.79146660259079,0.0339973899418774,-0.549155239802446,-1.72798576352613,1.22747804210504,1.66553773388307,-0.31397825459698,-1.21163217602377,-2.56646696538264,32488,6.15279612505504,0.162527732054677,-0.0465200156348928,-1.24593700342497,-1.19941698779008
"HER42PB","HER42PB_1A","HER42PB_1A_13",2.2,-40.03,6.79,1,16620,46542,1.29,-0.655065497101262,1.12219310322192,0.0107102965001464,-0.7832672800673,3.86084564955618,0.235394946560934,0.595609652814952,-2.39854850265289,1.8186611113318,0.817238895423626,-0.253570265277886,-1.12899032950389,-1.61498574537574,33302,5.71005440257909,0.175129679946364,0.76968725768228,-1.35420604656839,-2.12389330425067
"HER42PB","HER42PB_1A","HER42PB_1A_14",2.3,-38.98,6.75,1,17745,52423,1.2,-0.993095752007438,1.12219310322192,-0.0773843209561329,-0.443737055893441,2.30981072783182,1.08908011193127,-0.258692505854748,-1.45976066787542,2.34691178931829,1.22813364530242,0.0711226773122396,-0.865083160591814,-1.57882493891467,34573,5.94376380799357,0.168243562884368,0.23638877806423,-1.32105383925149,-1.55744261731572
