Site,Section,ID,filename,position_mm,Section_depth_cm,Field_depth_cm,Strat_depth_cm,surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo coh,inc+coh,inc_coh,coh_inc,cps_sum,Norm_Ratio_SUM,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo_coh,inc&coh,inc_coh,coh_inc,coh/inc_ratio_sum,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo coh,inc+coh,inc_coh,coh_inc,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo coh
HER14L,HER14L_2A,HER14L_2A_1,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000000.spe,316,1.5,1.5,1.5,6.6,1,0.018359,-0.018,0.007267,0.110437,25331,1.36,0,14,9,19,46,32,111,66,513,100,23,22,160,7321,53,227,45,15,0,104,1944,6,1397,0,965,0,19,0,0,12,0,0,0,0,0,168,0,0,94,45,9,0,44375,7798,52173,5.690561682,0.175729577,65564,1.256665325,0,0.000268338,0.000172503,0.000364173,0.000881682,0.000613344,0.002127537,0.001265022,0.009832672,0.0019167,0.000440841,0.000421674,0.00306672,0.140321622,0.001015851,0.004350909,0.000862515,0.000287505,0,0.001993368,0.037260652,0.000115002,0.026776302,0,0.018496157,0,0.000364173,0,0,0.000230004,0,0,0,0,0,0.003220056,0,0,0.001801698,0.000862515,0.000172503,0,0.850535718,0.149464282,1,0.000109071,3.37E-06,373095.9862,0,79.66786355,51.21505514,108.120672,261.7658374,182.0979738,631.6523468,375.577071,2919.258143,569.0561682,130.8829187,125.192357,910.4898692,41660.60208,301.5997692,1291.757502,256.0752757,85.35842524,0,591.818415,11062.45191,34.14337009,7949.71467,0,5491.392024,0,108.120672,0,0,68.28674019,0,0,0,0,0,956.0143627,0,0,534.9127982,256.0752757,51.21505514,0,252518.6747,44375,296893.6747,32.38249226,1,NA,0.14,0.09,0.19,0.46,0.32,1.11,0.66,5.13,1,0.23,0.22,1.6,73.21,0.53,2.27,0.45,0.15,0,1.04,19.44,0.06,13.97,0,9.65,0,0.19,0,0,0.12,0,0,0,0,0,1.68,0,0,0.94,0.45,0.09,0,443.75,77.98
HER14L,HER14L_2A,HER14L_2A_2,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000001.spe,317,1.6,1.6,1.6,6.62,1,0.018359,-0.018,0.007324,0.110437,25557,1.37,0,0,0,0,36,27,115,46,671,103,0,0,69,6232,0,180,90,84,0,102,1991,76,2041,0,674,0,0,5,0,23,6,0,0,0,0,0,39,72,30,104,20,0,44676,8052,52728,5.548435171,0.180230997,65410,1.240517372,0,0,0,0,0.000682749,0.000512062,0.002181004,0.000872402,0.012725687,0.001953421,0,0,0.001308603,0.118191473,0,0.003413746,0.001706873,0.001593081,0,0.001934456,0.037759824,0.001441359,0.038708087,0,0.012782582,0,0,9.48E-05,0,0.000436201,0.000113792,0,0,0,0,0,0.000739645,0.001365498,0.000568958,0.001972387,0.000379305,0,0.847291761,0.152708239,1,0.000105227,3.42E-06,362923.1446,0,0,0,0,199.7436662,149.8077496,638.0700447,255.2280179,3723,571.4888227,0,0,382.8420268,34577.84799,0,998.7183308,499.3591654,466.0685544,0,565.9403875,11046.93443,421.681073,11324.35618,0,3739.645306,0,0,27.74217586,0,127.6140089,33.29061103,0,0,0,0,0,216.3889717,399.4873323,166.4530551,577.0372578,110.9687034,0,247881.8897,44676,292557.8897,30.78513285,1,0,0,0,0,0.3495,0.2621,1.1165,0.4466,6.5146,1,0,0,0.6699,60.5049,0,1.7476,0.8738,0.8155,0,0.9903,19.3301,0.7379,19.8155,0,6.5437,0,0,0.0485,0,0.2233,0.0583,0,0,0,0,0,0.3786,0.699,0.2913,1.0097,0.1942,0,433.7476,78.1748
HER14L,HER14L_2A,HER14L_2A_3,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000002.spe,318,1.7,1.7,1.7,6.64,1,0.01836,-0.018,0.007262,0.110437,25943,1.35,0,9,0,0,48,30,104,55,820,161,11,4,173,9567,102,220,89,84,0,6,1752,112,1983,0,870,5,0,0,0,81,58,0,0,0,0,6,9,29,96,57,0,1.29E+15,44092,7895,51987,5.584800507,0.179057425,68375,1.315232654,0,0.00017312,0,0,0.000923308,0.000577067,0.0020005,0.001057957,0.015773174,0.003096928,0.000211591,7.69E-05,0.003327755,0.184026776,0.001962029,0.004231827,0.001711966,0.001615789,0,0.000115413,0.033700733,0.002154385,0.038144151,0,0.016734953,9.62E-05,0,0,0,0.001558082,0.001115664,0,0,0,0,0.000115413,0.00017312,0.000557832,0.001846616,0.001096428,0,24813895782,0.848135111,0.151864889,1,0.000107427,3.44E-06,381860.7346,0,50.26320456,0,0,268.0704243,167.5440152,580.8192527,307.1640279,4579.536415,899.1528816,61.43280557,22.33920203,966.1704877,53429.78645,569.6496517,1228.656111,497.0472451,469.1232426,0,33.50880304,9784.570488,625.4976567,11074.6594,0,4858.776441,27.92400253,0,0,0,452.368841,323.9184294,0,0,0,0,33.50880304,50.26320456,161.9592147,536.1408486,318.3336289,0,7.20E+15,246245.0239,44092,290337.0239,31.1899967,1,0,0.0559,0,0,0.2981,0.1863,0.646,0.3416,5.0932,1,0.0683,0.0248,1.0745,59.4224,0.6335,1.3665,0.5528,0.5217,0,0.0373,10.882,0.6957,12.3168,0,5.4037,0.0311,0,0,0,0.5031,0.3602,0,0,0,0,0.0373,0.0559,0.1801,0.5963,0.354,0,8.01E+12,273.8634,49.0373
HER14L,HER14L_2A,HER14L_2A_4,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000003.spe,319,1.8,1.8,1.8,6.65,1,0.018362,-0.018,0.007226,0.110437,25354,1.27,0,20,10,22,29,25,111,94,562,200,10,15,113,9209,58,132,69,46,0,48,1586,0,1675,0,725,0,0,0,0,63,150,0,0,0,0,19,54,51,70,101,18,1.26E+15,42703,7693,50396,5.55089042,0.180151277,65492,1.299547583,0,0.000396857,0.000198428,0.000436543,0.000575442,0.000496071,0.002202556,0.001865227,0.011151679,0.003968569,0.000198428,0.000297643,0.002242241,0.182732757,0.001150885,0.002619255,0.001369156,0.000912771,0,0.000952457,0.031470752,0,0.033236765,0,0.014386062,0,0,0,0,0.001250099,0.002976427,0,0,0,0,0.000377014,0.001071514,0.001011985,0.001388999,0.002004127,0.000357171,25001984284,0.847348996,0.152651004,1,0.000110145,3.57E-06,363538.9154,0,111.0178084,55.5089042,122.1195892,160.9758222,138.7722605,616.1488366,521.7836995,3119.600416,1110.178084,55.5089042,83.2633563,627.2506174,51118.14988,321.9516444,732.7175354,383.011439,255.3409593,0,266.4427402,8803.712206,0,9297.741453,0,4024.395554,0,0,0,0,349.7060965,832.633563,0,0,0,0,105.466918,299.7480827,283.0954114,388.5623294,560.6399324,99.91602756,6.99E+15,237039.6736,42703,279742.6736,30.81238445,1,0,0.1,0.05,0.11,0.145,0.125,0.555,0.47,2.81,1,0.05,0.075,0.565,46.045,0.29,0.66,0.345,0.23,0,0.24,7.93,0,8.375,0,3.625,0,0,0,0,0.315,0.75,0,0,0,0,0.095,0.27,0.255,0.35,0.505,0.09,6.30E+12,213.515,38.465
HER14L,HER14L_2A,HER14L_2A_5,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000004.spe,320,1.9,1.9,1.9,6.66,1,0.018364,-0.018,0.007212,0.110437,25677,1.42,0,4,20,0,11,29,140,54,872,98,10,0,124,8330,57,151,0,68,0,100,1981,90,1697,0,993,0,7,0,0,75,71,0,0,0,0,89,115,0,0,120,16,0,42771,7729,50500,5.533833614,0.180706554,65686,1.300712871,0,7.92E-05,0.00039604,0,0.000217822,0.000574257,0.002772277,0.001069307,0.017267327,0.001940594,0.00019802,0,0.002455446,0.164950495,0.001128713,0.002990099,0,0.001346535,0,0.001980198,0.039227723,0.001782178,0.03360396,0,0.019663366,0,0.000138614,0,0,0.001485149,0.001405941,0,0,0,0,0.001762376,0.002277228,0,0,0.002376238,0.000316832,0,0.846950495,0.153049505,1,0.000109581,3.58E-06,363495.3947,0,22.13533445,110.6766723,0,60.87216975,160.4811748,774.7367059,298.8270151,4825.502911,542.3156941,55.33833614,0,686.1953681,46096.834,315.428516,835.6088757,0,376.3006857,0,553.3833614,10962.52439,498.0450252,9390.915642,0,5495.096778,0,38.7368353,0,0,415.037521,392.9021866,0,0,0,0,492.5111916,636.3908656,0,0,664.0600336,88.54133782,0,236687.5975,42771,279458.5975,30.62331446,1,0,0.0408,0.2041,0,0.1122,0.2959,1.4286,0.551,8.898,1,0.102,0,1.2653,85,0.5816,1.5408,0,0.6939,0,1.0204,20.2143,0.9184,17.3163,0,10.1327,0,0.0714,0,0,0.7653,0.7245,0,0,0,0,0.9082,1.1735,0,0,1.2245,0.1633,0,436.4388,78.8673
HER14L,HER14L_2A,HER14L_2A_6,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000005.spe,321,2,2,2,6.69,1,0.018358,-0.018,0.007137,0.110437,25548,1.25,33,29,44,46,48,36,124,64,832,107,6,36,147,11142,12,168,105,71,0,27,1836,0,1989,0,927,0,0,0,8,0,33,0,0,14,0,201,19,0,144,87,18,0,41715,7734,49449,5.393716059,0.185400935,67553,1.365447228,0.000667354,0.000586463,0.000889806,0.000930251,0.000970697,0.000728023,0.002507634,0.001294263,0.016825416,0.002163846,0.000121337,0.000728023,0.00297276,0.22532306,0.000242674,0.00339744,0.0021234,0.001435823,0,0.000546017,0.037129163,0,0.04022326,0,0.018746587,0,0,0,0.000161783,0,0.000667354,0,0,0.00028312,0,0.004064794,0.000384234,0,0.002912091,0.001759388,0.000364011,0,0.843596433,0.156403567,1,0.000109076,3.75E-06,364183.7083,177.9926299,156.4177657,237.3235066,248.1109387,258.8983708,194.1737781,668.8207913,345.1978278,4487.571761,577.1276183,32.36229635,194.1737781,792.8762607,60096.78433,64.72459271,906.1442979,566.3401862,382.9538402,0,145.6303336,9902.862684,0,10728.10124,0,4999.974787,0,0,0,43.14972847,0,177.9926299,0,0,75.51202483,0,1084.136928,102.4806051,0,776.6951125,469.2532971,97.08688906,0,224998.8654,41715,266713.8654,29.09217292,1,0.3084,0.271,0.4112,0.4299,0.4486,0.3364,1.1589,0.5981,7.7757,1,0.0561,0.3364,1.3738,104.1308,0.1121,1.5701,0.9813,0.6636,0,0.2523,17.1589,0,18.5888,0,8.6636,0,0,0,0.0748,0,0.3084,0,0,0.1308,0,1.8785,0.1776,0,1.3458,0.8131,0.1682,0,389.8598,72.2804
HER14L,HER14L_2A,HER14L_2A_7,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000006.spe,322,2.1,2.1,2.1,6.72,1,0.01836,-0.018,0.007128,0.110437,25227,1.51,0,16,18,12,41,23,127,34,596,176,20,4,149,10820,174,111,82,93,0,68,1652,79,1787,0,752,0,0,0,0,62,0,0,0,141,0,89,115,0,77,55,13,1.40E+15,40711,7979,48690,5.102268455,0.195991255,65931,1.354097351,0,0.00032861,0.000369686,0.000246457,0.000842062,0.000472376,0.002608338,0.000698295,0.012240707,0.003614705,0.000410762,8.22E-05,0.003060177,0.222222222,0.003573629,0.002279729,0.001684124,0.001910043,0,0.001396591,0.033928938,0.00162251,0.036701581,0,0.01544465,0,0,0,0,0.001273362,0,0,0,0.002895872,0,0.001827891,0.002361881,0,0.001581434,0.001129595,0.000266995,28753337441,0.836126515,0.163873485,1,0.000104791,4.03E-06,336397.6615,0,81.63629528,91.84083218,61.22722146,209.1930066,117.3521745,647.9880937,173.4771275,3040.951999,897.999248,102.0453691,20.40907382,760.2379997,55206.54468,887.7947111,566.3517985,418.3860133,474.5109663,0,346.9542549,8428.947487,403.0792079,9117.753729,0,3836.905878,0,0,0,0,316.3406442,0,0,0,719.4198521,0,454.1018925,586.7608723,0,392.874671,280.624765,66.32948991,7.14E+15,207718.4511,40711,248429.4511,26.03314338,1,0,0.0909,0.1023,0.0682,0.233,0.1307,0.7216,0.1932,3.3864,1,0.1136,0.0227,0.8466,61.4773,0.9886,0.6307,0.4659,0.5284,0,0.3864,9.3864,0.4489,10.1534,0,4.2727,0,0,0,0,0.3523,0,0,0,0.8011,0,0.5057,0.6534,0,0.4375,0.3125,0.0739,7.95E+12,231.3125,45.3352
HER14L,HER14L_2A,HER14L_2A_8,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000007.spe,323,2.2,2.2,2.2,6.74,1,0.018355,-0.018,0.007068,0.110437,25500,1.31,29,24,31,0,39,43,120,40,442,157,12,0,90,9376,52,194,9,59,0,0,1834,25,1595,0,912,0,0,0,4,13,96,0,0,0,0,131,146,29,60,77,24,2.08E+15,42104,8031,50135,5.242684597,0.190741972,65637,1.308626708,0.000578438,0.000478707,0.000618331,0,0.0007779,0.000857684,0.002393537,0.000797846,0.008816196,0.003131545,0.000239354,0,0.001795153,0.187015059,0.0010372,0.003869552,0.000179515,0.001176823,0,0,0.036581231,0.000498654,0.031814102,0,0.018190885,0,0,0,7.98E-05,0.0002593,0.00191483,0,0,0,0,0.002612945,0.002912137,0.000578438,0.001196769,0.001535853,0.000478707,41487982447,0.839812506,0.160187494,1,0.000104571,3.80E-06,343962.0511,152.0378533,125.8244303,162.5232225,0,204.4646993,225.4354377,629.1221517,209.7073839,2317.266592,823.1014818,62.91221517,0,471.8416137,49155.41078,272.6195991,1017.080812,47.18416137,309.3183912,0,0,9615.083551,131.0671149,8362.081933,0,4781.328353,0,0,0,20.97073839,68.15489976,503.2977213,0,0,0,0,686.7916822,765.4319512,152.0378533,314.5610758,403.686714,125.8244303,1.09E+16,220737.9923,42104,262841.9923,27.48574179,1,0.1847,0.1529,0.1975,0,0.2484,0.2739,0.7643,0.2548,2.8153,1,0.0764,0,0.5732,59.7197,0.3312,1.2357,0.0573,0.3758,0,0,11.6815,0.1592,10.1592,0,5.8089,0,0,0,0.0255,0.0828,0.6115,0,0,0,0,0.8344,0.9299,0.1847,0.3822,0.4904,0.1529,1.32E+13,268.1783,51.1529
HER14L,HER14L_2A,HER14L_2A_9,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000008.spe,324,2.3,2.3,2.3,6.75,1,0.018357,-0.018,0.0071,0.110437,25948,1.44,0,29,19,4,34,34,143,36,413,175,17,0,85,8142,82,136,0,70,0,0,1918,0,1481,0,1196,0,0,0,0,45,0,0,0,0,0,76,0,0,5,31,0,3.19E+14,43091,8342,51433,5.16554783,0.193590309,65568,1.274823557,0,0.00056384,0.000369413,7.78E-05,0.000661054,0.000661054,0.002780316,0.00069994,0.008029864,0.003402485,0.000330527,0,0.001652635,0.158303035,0.001594307,0.002644217,0,0.001360994,0,0,0.037291233,0,0.028794743,0,0.023253553,0,0,0,0,0.000874925,0,0,0,0,0,0.001477651,0,0,9.72E-05,0.000602726,0,6202243696,0.837808411,0.162191589,1,0.000100433,3.76E-06,338694.6401,0,149.8008871,98.14540877,20.66219132,175.6286262,175.6286262,738.6733397,185.9597219,2133.371254,903.9708703,87.81431311,0,439.0715656,42057.89043,423.5749221,702.5145049,0,361.5883481,0,0,9907.520738,0,7650.176337,0,6177.995205,0,0,0,0,232.4496524,0,0,0,0,0,392.5816351,0,0,25.82773915,160.1319827,0,1.65E+15,222588.6216,43091,265679.6216,26.68288439,1,0,0.1657,0.1086,0.0229,0.1943,0.1943,0.8171,0.2057,2.36,1,0.0971,0,0.4857,46.5257,0.4686,0.7771,0,0.4,0,0,10.96,0,8.4629,0,6.8343,0,0,0,0,0.2571,0,0,0,0,0,0.4343,0,0,0.0286,0.1771,0,1.82E+12,246.2343,47.6686
HER14L,HER14L_2A,HER14L_2A_10,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000009.spe,325,2.4,2.4,2.4,6.76,1,0.01836,-0.018,0.007128,0.110437,27986,1.26,17,7,9,18,44,32,128,49,505,84,0,0,74,6601,132,152,106,41,0,84,2145,35,1579,0,1138,0,0,0,0,45,67,0,0,0,0,222,174,0,0,13,15,0,46997,8424,55421,5.578941121,0.179245484,68909,1.243066708,0.000306743,0.000126306,0.000162393,0.000324787,0.000793923,0.000577398,0.002309594,0.000884141,0.009112069,0.001515671,0,0,0.001335234,0.119106476,0.002381769,0.002742643,0.001912632,0.000739792,0,0.001515671,0.03870374,0.00063153,0.028491005,0,0.020533733,0,0,0,0,0.000811967,0.001208928,0,0,0,0,0.004005702,0.003139604,0,0,0.000234568,0.000270656,0,0.847999856,0.152000144,1,0.000100665,3.23E-06,384344.4117,94.84199905,39.05258784,50.21047009,100.4209402,245.4734093,178.5261159,714.1044634,273.3681149,2817.365266,468.6310541,0,0,412.8416429,36826.59034,736.4202279,847.9990503,591.3677588,228.7365859,0,468.6310541,11966.8287,195.2629392,8809.148029,0,6348.834995,0,0,0,0,251.0523504,373.7890551,0,0,0,0,1238.524929,970.735755,0,0,72.52623457,83.68411681,0,262193.4958,46997,309190.4958,31.12458403,1,0.2024,0.0833,0.1071,0.2143,0.5238,0.381,1.5238,0.5833,6.0119,1,0,0,0.881,78.5833,1.5714,1.8095,1.2619,0.4881,0,1,25.5357,0.4167,18.7976,0,13.5476,0,0,0,0,0.5357,0.7976,0,0,0,0,2.6429,2.0714,0,0,0.1548,0.1786,0,559.4881,100.2857
