"Site","label","depth","min_age","max_age","median_age","mean_age","Density","Dry_den"
"HER42PB_WD","HER42PB1A",0.5,-63.83,-48.26,-58.52,-57.83,1.190718461,0.279104086
"HER42PB_WD","HER42PB1A",1.8,-61.83,-10.7,-47.42,-44.35,1.162287003,0.25941637
"HER42PB_WD","HER42PB1A",3.1,-60.61,27.18,-36.11,-30.87,1.194806627,0.245198178
"HER42PB_WD","HER42PB1A",4.5,-59.17,68.04,-23.82,-16.36,1.101804388,0.250475301
"HER42PB_WD","HER42PB1A",5.9,-57.9,108.58,-11.67,-1.85,1.269504903,0.360788755
"HER42PB_WD","HER42PB1A",7.3,-56.75,149.23,0.47,12.67,1.257864718,0.381220758
"HER42PB_WD","HER42PB1A",8.7,-55.37,189.89,12.66,27.18,1.438096813,1.012276019
"HER42PB_WD","HER42PB1A",10.1,-52.66,227.91,25.24,41.72,1.16923563,0.36700443
"HER42PB_WD","HER42PB1A",11.5,-40.48,235.74,41.39,56.59,1.204586704,0.292144605
"HER42PB_WD","HER42PB1A",12.9,-33.54,247.23,59.11,71.45,1.307603629,0.361834086
"HER42PB_WD","HER42PB1A",14.2,-27.21,257.8,75.53,85.25,1.26877714,0.398689956
"HER42PB_WD","HER42PB1A",15.5,-21.27,270.25,91.38,99.06,1.3972751,0.402769584
"HER42PB_WD","HER42PB1A",16.9,-16.14,288.37,107.13,113.92,1.228706985,0.345137645
"HER42PB_WD","HER42PB1A",18.4,-12.11,309.83,123.56,129.85,1.288249476,0.326090811
"HER42PB_WD","HER42PB1A",19.7,-8.13,333.08,137.07,143.65,1.398899829,0.409214988
"HER42PB_WD","HER42PB1A",21.1,6.99,345.27,151.87,157.93,1.835017889,0.603070633
"HER42PB_WD","HER42PB1A",22.4,19.38,351.13,165.94,171.04,1.465303949,0.47758125
"HER42PB_WD","HER42PB1A",23.9,33.38,361.39,181.52,186.17,1.475123307,0.486637912
"HER42PB_WD","HER42PB1A",25.3,43.01,370.12,196.87,200.29,1.452957633,0.439175557
"HER42PB_WD","HER42PB1A",26.7,50.46,384.3,212.64,214.41,1.379875419,0.434378762
"HER42PB_WD","HER42PB1A",28.1,58.54,399.22,227.74,228.53,1.440218824,0.469334961
"HER42PB_WD","HER42PB1A",29.5,65.62,416.83,242.62,242.66,1.555060527,0.563871259
"HER42PB_WD","HER42PB1A",30.8,81.04,424.95,255.79,255.96,1.508671664,0.561976982
"HER42PB_WD","HER42PB1A",32.2,104.35,430.14,270.5,270.43,1.485564904,0.594096791
"HER42PB_WD","HER42PB1A",33.6,122.72,436.95,286.16,284.89,1.906409617,0.771593844
"HER42PB_WD","HER42PB1A",34.9,134.91,443.44,300.88,298.32,1.666331818,0.683742462
"HER42PB_WD","HER42PB1A",36.3,145.36,452.34,317.45,312.79,1.60872378,0.645155487
