"Site","label","depth","mean_age","Density"
"HER42PB_WD","HER42PB1A",0.5,-57.83,1.190718461
"HER42PB_WD","HER42PB1A",1.8,-44.35,1.162287003
"HER42PB_WD","HER42PB1A",3.1,-30.87,1.194806627
"HER42PB_WD","HER42PB1A",4.5,-16.36,1.101804388
"HER42PB_WD","HER42PB1A",5.9,-1.85,1.269504903
"HER42PB_WD","HER42PB1A",7.3,12.67,1.257864718
"HER42PB_WD","HER42PB1A",8.7,27.18,1.438096813
"HER42PB_WD","HER42PB1A",10.1,41.72,1.16923563
"HER42PB_WD","HER42PB1A",11.5,56.59,1.204586704
"HER42PB_WD","HER42PB1A",12.9,71.45,1.307603629
"HER42PB_WD","HER42PB1A",14.2,85.25,1.26877714
"HER42PB_WD","HER42PB1A",15.5,99.06,1.3972751
"HER42PB_WD","HER42PB1A",16.9,113.92,1.228706985
"HER42PB_WD","HER42PB1A",18.4,129.85,1.288249476
"HER42PB_WD","HER42PB1A",19.7,143.65,1.398899829
"HER42PB_WD","HER42PB1A",21.1,157.93,1.835017889
"HER42PB_WD","HER42PB1A",22.4,171.04,1.465303949
"HER42PB_WD","HER42PB1A",23.9,186.17,1.475123307
"HER42PB_WD","HER42PB1A",25.3,200.29,1.452957633
"HER42PB_WD","HER42PB1A",26.7,214.41,1.379875419
"HER42PB_WD","HER42PB1A",28.1,228.53,1.440218824
"HER42PB_WD","HER42PB1A",29.5,242.66,1.555060527
"HER42PB_WD","HER42PB1A",30.8,255.96,1.508671664
"HER42PB_WD","HER42PB1A",32.2,270.43,1.485564904
"HER42PB_WD","HER42PB1A",33.6,284.89,1.906409617
"HER42PB_WD","HER42PB1A",34.9,298.32,1.666331818
"HER42PB_WD","HER42PB1A",36.3,312.79,1.60872378
"HER42PB_WD","HER42PB1A",37.7,327.25,1.596457218
"HER42PB_WD","HER42PB1A",39,340.68,1.548451535
"HER42PB_WD","HER42PB1A",40.4,354.9,1.58526554
"HER42PB_WD","HER42PB1A",41.7,367.52,1.796507878
"HER42PB_WD","HER42PB1A",43.1,381.12,1.491320473
"HER42PB_WD","HER42PB1A",44.4,393.74,1.464205405
"HER42PB_WD","HER42PB1B",45,399.57,1.455354602
"HER42PB_WD","HER42PB1B",46.3,412.19,1.613461034
"HER42PB_WD","HER42PB1B",47.6,424.82,1.484862995
"HER42PB_WD","HER42PB1B",49,438.41,1.39757458
"HER42PB_WD","HER42PB1B",50.4,452.18,1.562984659
"HER42PB_WD","HER42PB1B",51.8,466.38,1.448336872
"HER42PB_WD","HER42PB1B",53.2,480.58,1.494360417
"HER42PB_WD","HER42PB1B",54.5,493.77,1.527198848
"HER42PB_WD","HER42PB1B",55.9,507.97,1.648351656
"HER42PB_WD","HER42PB1B",57.2,521.15,1.711066358
"HER42PB_WD","HER42PB1B",58.6,535.35,1.688936726
"HER42PB_WD","HER42PB1B",59.9,548.54,1.724199988
"HER42PB_WD","HER42PB1B",61.2,561.5,1.73742189
"HER42PB_WD","HER42PB1B",62.5,574.44,1.598850004
"HER42PB_WD","HER42PB1B",63.9,588.38,1.521407585
"HER42PB_WD","HER42PB1B",65.2,601.32,1.583749449
"HER42PB_WD","HER42PB1B",66.5,614.26,1.762282242
"HER42PB_WD","HER42PB1B",67.8,627.2,1.576567605
"HER42PB_WD","HER42PB1B",69.1,640.14,1.617786514
"HER42PB_WD","HER42PB1B",70.4,653.06,1.774950672
"HER42PB_WD","HER42PB1B",71.7,665.91,1.633499476
"HER42PB_WD","HER42PB1B",73,678.76,1.746952898
"HER42PB_WD","HER42PB1B",74.3,691.61,1.486545411
"HER42PB_WD","HER42PB1B",75.5,703.47,1.766302218
"HER42PB_WD","HER42PB1B",76.8,716.32,1.570750619
"HER42PB_WD","HER42PB1B",78.1,729.17,1.832862917
"HER42PB_WD","HER42PB1B",79.4,742.02,1.630536576
"HER42PB_WD","HER42PB1B",80.7,755.03,1.760752298
"HER42PB_WD","HER42PB1B",82,768.18,1.810695309
"HER42PB_WD","HER42PB1B",83.3,781.32,1.812922763
"HER42PB_WD","HER42PB1C",84.5,793.45,1.425824496
"HER42PB_WD","HER42PB1C",85.8,806.6,1.399997297
"HER42PB_WD","HER42PB1C",87.2,820.75,1.356188703
"HER42PB_WD","HER42PB1C",88.6,834.91,1.143187812
"HER42PB_WD","HER42PB1C",90,849.06,1.224048008
"HER42PB_WD","HER42PB1C",91.4,863.38,1.249217033
"HER42PB_WD","HER42PB1C",92.7,876.67,1.233513654
"HER42PB_WD","HER42PB1C",94.1,890.98,1.24854677
"HER42PB_WD","HER42PB1C",95.4,904.27,1.184052507
"HER42PB_WD","HER42PB1C",96.8,918.59,1.241811366
"HER42PB_WD","HER42PB1C",98.1,931.88,1.364866976
"HER42PB_WD","HER42PB1C",99.4,945.17,1.199790763
"HER42PB_WD","HER42PB1C",100.8,959.31,1.344199289
"HER42PB_WD","HER42PB1C",102.3,974.32,0.967411229
"HER42PB_WD","HER42PB1C",103.8,989.33,1.408879643
"HER42PB_WD","HER42PB1C",105.1,1002.34,1.325036204
"HER42PB_WD","HER42PB1C",106.4,1015.35,1.380827462
"HER42PB_WD","HER42PB1C",107.8,1029.36,1.274068482
"HER42PB_WD","HER42PB1C",109.1,1042.37,1.480333795
"HER42PB_WD","HER42PB1C",110.4,1055.47,1.657400535
"HER42PB_WD","HER42PB1C",111.7,1068.79,1.351347874
"HER42PB_WD","HER42PB1C",113.1,1083.13,1.300594246
"HER42PB_WD","HER42PB1C",114.4,1096.45,1.370435078
"HER42PB_WD","HER42PB1C",115.8,1110.79,1.397547382
"HER42PB_WD","HER42PB1C",117.1,1124.11,1.304563217
"HER42PB_WD","HER42PB1C",118.5,1138.45,1.305318726
"HER42PB_WD","HER42PB1C",119.8,1151.77,1.286680034
"HER42PB_WD","HER42PB1C",121.1,1165.13,1.468636202
"HER42PB_WD","HER42PB1C",122.4,1178.51,1.36484667
"HER42PB_WD","HER42PB1C",123.7,1191.89,1.599348045
"HER42PB_WD","HER42PB1C",124.9,1204.23,1.476201679
"HER42PB_WD","HER42PB1D",125.4,1209.38,1.403698729
"HER42PB_WD","HER42PB1D",126.6,1221.72,1.303074513
"HER42PB_WD","HER42PB1D",127.8,1234.07,1.677445849
"HER42PB_WD","HER42PB1D",129,1246.42,1.385201869
"HER42PB_WD","HER42PB1D",130.3,1259.75,1.466430569
"HER42PB_WD","HER42PB1D",131.6,1272.91,1.214761305
"HER42PB_WD","HER42PB1D",132.9,1286.08,1.516718498
"HER42PB_WD","HER42PB1D",134,1297.23,1.422594236
"HER42PB_WD","HER42PB1D",135.2,1309.38,1.08350784
"HER42PB_WD","HER42PB1D",136.4,1321.54,1.151482653
"HER42PB_WD","HER42PB1D",137.7,1334.71,1.166808063
"HER42PB_WD","HER42PB1D",138.9,1346.86,1.249450517
"HER42PB_WD","HER42PB1D",140.2,1360.03,1.472666558
"HER42PB_WD","HER42PB1D",141.4,1372.2,1.560541486
"HER42PB_WD","HER42PB1D",142.6,1384.37,1.482818938
"HER42PB_WD","HER42PB1D",143.8,1396.54,1.597827522
"HER42PB_WD","HER42PB1D",145.1,1409.72,1.459858489
"HER42PB_WD","HER42PB1D",146.3,1421.89,1.442261925
"HER42PB_WD","HER42PB1D",147.6,1435.07,1.333417535
"HER42PB_WD","HER42PB1D",148.8,1447.24,1.479377712
"HER42PB_WD","HER42PB1D",150,1459.41,1.360382658
"HER42PB_WD","HER42PB1D",151.3,1479,1.400686525
"HER42PB_WD","HER42PB1D",152.5,1497.08,1.53989481
"HER42PB_WD","HER42PB1D",153.7,1515.16,1.481486718
"HER42PB_WD","HER42PB1D",155,1534.75,1.471339685
"HER42PB_WD","HER42PB1D",156.2,1552.83,1.520184829
"HER42PB_WD","HER42PB1D",157.4,1570.92,1.471667458
"HER42PB_WD","HER42PB1D",158.6,1589,1.638567964
"HER42PB_WD","HER42PB1D",159.8,1607.08,1.666705619
"HER42PB_WD","HER42PB1D",161,1625.87,1.534016277
"HER42PB_WD","HER42PB1D",162.2,1644.81,1.523401507
"HER42PB_WD","HER42PB1D",163.5,1665.32,1.693191287
"HER42PB_WD","HER42PB1E",165.2,1692.14,1.349082358
"HER42PB_WD","HER42PB1E",166.8,1717.38,1.353577511
"HER42PB_WD","HER42PB1E",168.4,1742.63,1.493061423
