"Site","label","depth","mean_age","Wet_den"
"HER14L","HER14L_2A",1,119.65,0.8115
"HER14L","HER14L_2A",1.2,133.99,0.8294
"HER14L","HER14L_2A",1.4,148.33,0.8656
"HER14L","HER14L_2A",1.6,162.67,0.8248
"HER14L","HER14L_2A",1.8,177.01,0.8535
"HER14L","HER14L_2A",2,191.35,0.892
"HER14L","HER14L_2A",2.2,205.69,0.8376
"HER14L","HER14L_2A",2.4,220.02,0.8763
"HER14L","HER14L_2A",2.6,234.36,1.0283
"HER14L","HER14L_2A",2.8,248.7,1.0076
"HER14L","HER14L_2A",3,263.04,0.8811
"HER14L","HER14L_2A",3.2,277.38,0.9331
"HER14L","HER14L_2A",3.4,291.72,0.8188
"HER14L","HER14L_2A",3.6,306.06,0.8165
"HER14L","HER14L_2A",3.8,320.4,0.81
"HER14L","HER14L_2A",4,334.73,0.8099
"HER14L","HER14L_2A",4.2,349.07,0.8329
"HER14L","HER14L_2A",4.4,363.41,0.8164
"HER14L","HER14L_2A",4.6,377.75,0.8239
"HER14L","HER14L_2A",4.8,392.09,0.8146
"HER14L","HER14L_2A",5,406.43,0.8734
"HER14L","HER14L_2A",5.2,420.77,0.9757
"HER14L","HER14L_2A",5.4,435.1,0.9716
"HER14L","HER14L_2A",5.6,449.44,0.8923
"HER14L","HER14L_2A",5.8,463.78,0.79
"HER14L","HER14L_2A",6,478.12,0.848
"HER14L","HER14L_2A",6.2,492.46,0.8339
"HER14L","HER14L_2A",6.4,506.8,0.867
"HER14L","HER14L_2A",6.6,521.14,0.7735
"HER14L","HER14L_2A",6.8,535.48,0.8499
"HER14L","HER14L_2A",7,549.81,0.7251
"HER14L","HER14L_2A",7.2,564.15,0.816
"HER14L","HER14L_2A",7.4,578.49,0.8244
"HER14L","HER14L_2A",7.6,592.83,0.8413
"HER14L","HER14L_2A",7.8,607.17,0.8881
"HER14L","HER14L_2A",8,621.51,0.8943
"HER14L","HER14L_2A",8.2,635.85,0.8618
"HER14L","HER14L_2A",8.4,650.18,0.8277
"HER14L","HER14L_2A",8.6,664.52,0.8167
"HER14L","HER14L_2A",8.8,678.86,0.9542
"HER14L","HER14L_2A",9,693.2,0.8952
"HER14L","HER14L_2A",9.2,707.54,0.7394
"HER14L","HER14L_2A",9.4,721.88,0.6546
"HER14L","HER14L_2A",9.6,736.22,0.8306
"HER14L","HER14L_2A",9.8,750.56,0.8473
"HER14L","HER14L_2A",10,764.89,0.8082
"HER14L","HER14L_2A",10.2,771.23,0.8556
"HER14L","HER14L_2A",10.4,777.58,0.8167
"HER14L","HER14L_2A",10.6,783.92,0.8074
"HER14L","HER14L_2A",10.8,790.26,0.8014
"HER14L","HER14L_2A",11,796.6,0.8487
"HER14L","HER14L_2A",11.2,802.94,0.8611
"HER14L","HER14L_2A",11.4,809.28,1.0078
"HER14L","HER14L_2A",11.6,815.62,1.1056
"HER14L","HER14L_2A",11.8,821.96,1.1303
"HER14L","HER14L_2A",12,828.3,1.1903
"HER14L","HER14L_2A",12.2,834.64,1.2167
"HER14L","HER14L_2A",12.4,840.98,1.299
"HER14L","HER14L_2A",12.6,847.32,1.1998
"HER14L","HER14L_2A",12.8,853.66,1.091
"HER14L","HER14L_2A",13,860.01,1.0371
"HER14L","HER14L_2A",13.2,866.35,1.0421
"HER14L","HER14L_2A",13.4,872.69,0.9637
"HER14L","HER14L_2A",13.6,879.03,0.9045
"HER14L","HER14L_2A",13.8,885.37,0.8382
"HER14L","HER14L_2A",14,891.71,0.8637
"HER14L","HER14L_2A",14.2,898.05,0.8362
"HER14L","HER14L_2A",14.4,904.39,0.8537
"HER14L","HER14L_2A",14.6,910.73,0.8205
"HER14L","HER14L_2A",14.8,917.07,0.8184
"HER14L","HER14L_2A",15,923.41,0.852
"HER14L","HER14L_2A",15.2,929.75,0.8697
"HER14L","HER14L_2A",15.4,936.09,0.8832
"HER14L","HER14L_2A",15.6,942.44,0.8451
"HER14L","HER14L_2A",15.8,948.78,0.8977
"HER14L","HER14L_2A",16,955.12,0.8348
"HER14L","HER14L_2A",16.2,961.46,0.8833
"HER14L","HER14L_2A",16.4,967.8,0.8531
"HER14L","HER14L_2A",16.6,974.14,0.8291
"HER14L","HER14L_2A",16.8,980.48,0.8693
"HER14L","HER14L_2A",17,986.82,0.8513
"HER14L","HER14L_2A",17.2,993.16,0.8624
"HER14L","HER14L_2A",17.4,999.5,0.8632
"HER14L","HER14L_2A",17.6,1005.84,0.8794
"HER14L","HER14L_2A",17.8,1012.18,0.8887
"HER14L","HER14L_2A",18,1018.52,0.898
"HER14L","HER14L_2A",18.2,1024.86,0.8835
"HER14L","HER14L_2A",18.4,1031.21,0.8426
"HER14L","HER14L_2A",18.6,1037.55,0.8482
"HER14L","HER14L_2A",18.8,1043.89,0.8317
"HER14L","HER14L_2A",19,1050.23,0.859
"HER14L","HER14L_2A",19.2,1056.57,0.8873
"HER14L","HER14L_2A",19.4,1062.91,0.8919
"HER14L","HER14L_2A",19.6,1069.25,0.8831
"HER14L","HER14L_2A",19.8,1075.59,0.8905
"HER14L","HER14L_2A",20,1081.93,0.8547
"HER14L","HER14L_2A",20.2,1089.23,0.8456
"HER14L","HER14L_2A",20.4,1096.53,0.8503
"HER14L","HER14L_2A",20.6,1103.84,0.8954
"HER14L","HER14L_2A",20.8,1111.14,0.9692
"HER14L","HER14L_2A",21,1118.44,0.9756
"HER14L","HER14L_2A",21.2,1125.74,0.9346
"HER14L","HER14L_2A",21.4,1133.04,0.9455
"HER14L","HER14L_2A",21.6,1140.34,0.9517
"HER14L","HER14L_2A",21.8,1147.64,1.0907
"HER14L","HER14L_2A",22,1154.95,1.0925
"HER14L","HER14L_2A",22.2,1162.25,0.8916
"HER14L","HER14L_2A",22.4,1169.55,0.8671
"HER14L","HER14L_2A",22.6,1176.85,0.8674
"HER14L","HER14L_2A",22.8,1184.15,0.9138
"HER14L","HER14L_2A",23,1191.45,0.947
"HER14L","HER14L_2A",23.2,1198.75,0.9282
"HER14L","HER14L_2A",23.4,1206.06,0.9952
"HER14L","HER14L_2A",23.6,1213.36,0.9892
"HER14L","HER14L_2A",23.8,1220.66,1.0013
"HER14L","HER14L_2A",24,1227.96,1.0009
"HER14L","HER14L_2A",24.2,1235.26,0.9879
"HER14L","HER14L_2A",24.4,1242.56,0.9586
"HER14L","HER14L_2A",24.6,1249.86,1.2226
"HER14L","HER14L_2A",24.8,1257.16,1.0103
"HER14L","HER14L_2A",25,1264.47,0.9929
"HER14L","HER14L_2A",25.2,1271.77,0.9114
"HER14L","HER14L_2A",25.4,1279.07,0.8785
"HER14L","HER14L_2A",25.6,1286.37,0.8844
"HER14L","HER14L_2A",25.8,1293.67,0.9557
"HER14L","HER14L_2A",26,1300.97,1.0492
"HER14L","HER14L_2A",26.2,1308.27,0.91
"HER14L","HER14L_2A",26.4,1315.58,0.8637
"HER14L","HER14L_2A",26.6,1322.88,0.9304
"HER14L","HER14L_2A",26.8,1330.18,0.8948
"HER14L","HER14L_2A",27,1337.48,0.8931
"HER14L","HER14L_2A",27.2,1344.78,0.9146
"HER14L","HER14L_2A",27.4,1352.08,0.8891
"HER14L","HER14L_2A",27.6,1359.38,0.9097
"HER14L","HER14L_2A",27.8,1366.69,0.8913
"HER14L","HER14L_2A",28,1373.99,0.8821
"HER14L","HER14L_2A",28.2,1381.29,0.8701
"HER14L","HER14L_2A",28.4,1388.59,0.8731
"HER14L","HER14L_2A",28.6,1395.89,0.9235
"HER14L","HER14L_2A",28.8,1403.19,0.9568
"HER14L","HER14L_2A",29,1410.49,1.021
"HER14L","HER14L_2A",29.2,1417.8,0.9893
"HER14L","HER14L_2A",29.4,1425.1,1.0212
"HER14L","HER14L_2A",29.6,1432.4,0.9117
"HER14L","HER14L_2A",29.8,1439.7,0.8709
"HER14L","HER14L_2A",30,1447,0.9084
"HER14L","HER14L_2A",30.2,1449.72,0.8704
"HER14L","HER14L_2A",30.4,1452.44,0.874
"HER14L","HER14L_2A",30.6,1455.15,0.8742
"HER14L","HER14L_2A",30.8,1457.87,0.8856
"HER14L","HER14L_2A",31,1460.59,0.869
"HER14L","HER14L_2A",31.2,1463.31,0.9349
"HER14L","HER14L_2A",31.4,1466.03,0.9442
"HER14L","HER14L_2A",31.6,1468.74,0.9146
"HER14L","HER14L_2A",31.8,1471.46,0.9008
"HER14L","HER14L_2A",32,1474.18,0.8867
"HER14L","HER14L_2A",32.2,1476.9,0.9214
"HER14L","HER14L_2A",32.4,1479.61,0.9391
"HER14L","HER14L_2A",32.6,1482.33,0.9523
"HER14L","HER14L_2A",32.8,1485.05,0.9487
"HER14L","HER14L_2A",33,1487.77,0.9019
"HER14L","HER14L_2A",33.2,1490.49,0.927
"HER14L","HER14L_2A",33.4,1493.2,0.9223
"HER14L","HER14L_2A",33.6,1495.92,0.893
"HER14L","HER14L_2A",33.8,1498.64,0.9409
"HER14L","HER14L_2A",34,1501.36,0.9207
