"Site","label","param","depth","mean_age","value"
"HER14L_0ka","HER14L_2A","GRD",1,0.11965,0.8115
"HER14L_0ka","HER14L_2A","GRD",1.2,0.13399,0.8294
"HER14L_0ka","HER14L_2A","GRD",1.4,0.14833,0.8656
"HER14L_0ka","HER14L_2A","GRD",1.6,0.16267,0.8248
"HER14L_0ka","HER14L_2A","GRD",1.8,0.17701,0.8535
"HER14L_0ka","HER14L_2A","GRD",2,0.19135,0.892
"HER14L_0ka","HER14L_2A","GRD",2.2,0.20569,0.8376
"HER14L_0ka","HER14L_2A","GRD",2.4,0.22002,0.8763
"HER14L_0ka","HER14L_2A","GRD",2.6,0.23436,1.0283
"HER14L_0ka","HER14L_2A","GRD",2.8,0.2487,1.0076
"HER14L_0ka","HER14L_2A","GRD",3,0.26304,0.8811
"HER14L_0ka","HER14L_2A","GRD",3.2,0.27738,0.9331
"HER14L_0ka","HER14L_2A","GRD",3.4,0.29172,0.8188
"HER14L_0ka","HER14L_2A","GRD",3.6,0.30606,0.8165
"HER14L_0ka","HER14L_2A","GRD",3.8,0.3204,0.81
"HER14L_0ka","HER14L_2A","GRD",4,0.33473,0.8099
"HER14L_0ka","HER14L_2A","GRD",4.2,0.34907,0.8329
"HER14L_0ka","HER14L_2A","GRD",4.4,0.36341,0.8164
"HER14L_0ka","HER14L_2A","GRD",4.6,0.37775,0.8239
"HER14L_0ka","HER14L_2A","GRD",4.8,0.39209,0.8146
"HER14L_0ka","HER14L_2A","GRD",5,0.40643,0.8734
"HER14L_0ka","HER14L_2A","GRD",5.2,0.42077,0.9757
"HER14L_0ka","HER14L_2A","GRD",5.4,0.4351,0.9716
"HER14L_0ka","HER14L_2A","GRD",5.6,0.44944,0.8923
"HER14L_0ka","HER14L_2A","GRD",5.8,0.46378,0.79
"HER14L_0ka","HER14L_2A","GRD",6,0.47812,0.848
"HER14L_0ka","HER14L_2A","GRD",6.2,0.49246,0.8339
"HER14L_0ka","HER14L_2A","GRD",6.4,0.5068,0.867
"HER14L_0ka","HER14L_2A","GRD",6.6,0.52114,0.7735
"HER14L_0ka","HER14L_2A","GRD",6.8,0.53548,0.8499
"HER14L_0ka","HER14L_2A","GRD",7,0.54981,0.7251
