SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH,Field_depth,Strat_depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,Accum_rate,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT,WMAR_SAT,WMAR_UNSAT,WMAR_Mean
HER24L,HER24L_3A,HER24L_3A_31,2.9,97.6,3,8.1,3,3,115.76,1764,620.99,717.81,0.005202914,2.158,0,1409.536,0.5478,-0.8,-1.5,772.1333,1.2741,0.7661,0,1409.536,1.5513,-0.8,-0.5,2186.554,0.6659,0.7661,0,1409.5,1.0496,-0.8,-1,1479.3,0.97,0.8,0.002850156,0.00807128,0.005460718
HER24L,HER24L_3A,HER24L_3A_32,2.9,97.7,3,8.2,3.1,3.1,118.28,1814.63,635.64,737.03,0.005205622,2.143,0,1395.182,0.648,-1.1,-1.7,904.0137,1.2134,0.7504,0,1395.182,1.6094,-1.1,-0.7,2245.457,0.6306,0.7504,0,1395.2,1.1287,-1.1,-1.2,1574.7,0.922,0.8,0.003373243,0.008377928,0.005875586
HER24L,HER24L_3A,HER24L_3A_33,2.9,97.8,3,8.3,3.2,3.2,120.03,1871.14,650.48,756.24,0.005202914,2.146,0,1401.698,0.7224,-0.9,-1.2,1012.576,1.1682,0.7504,0,1401.698,1.6447,-0.9,-0.5,2305.316,0.6093,0.7504,0,1401.7,1.1836,-0.9,-0.9,1658.9,0.8888,0.8,0.003758585,0.008557232,0.006157908
HER24L,HER24L_3A,HER24L_3A_34,2.9,97.9,3,8.4,3.3,3.3,121.97,1927.26,665.66,775.46,0.005202914,2.146,0,1397.135,0.6498,-0.7,-1.1,907.8237,1.2123,0.7352,0,1397.135,1.6085,-0.7,-0.4,2247.342,0.6312,0.7352,0,1397.1,1.1292,-0.7,-0.8,1577.6,0.9218,0.7,0.003380853,0.008368887,0.00587487
HER24L,HER24L_3A,HER24L_3A_35,2.9,98,3,8.5,3.4,3.4,123.81,1982.68,680.55,794.68,0.005205622,2.154,0,1411.534,0.7872,-0.6,-0.8,1111.166,1.129,0.7207,0,1411.534,1.6725,-0.6,-0.4,2360.757,0.5924,0.7207,0,1411.5,1.2299,-0.6,-0.6,1736,0.8607,0.7,0.004097866,0.008706403,0.006402134
HER24L,HER24L_3A,HER24L_3A_36,2.9,98.1,3,8.6,3.5,3.5,124.59,2037.56,694.99,813.89,0.005202914,2.131,0,1382.868,0.8843,-0.6,-0.7,1222.874,1.0701,0.7067,0,1382.868,1.7356,-0.6,-0.3,2400.094,0.5542,0.7067,0,1382.9,1.31,-0.6,-0.5,1811.5,0.8122,0.7,0.004600937,0.009030177,0.006815557
HER24L,HER24L_3A,HER24L_3A_37,2.9,98.2,3,8.7,3.6,3.6,125.28,2090.74,708.69,833.11,0.005205622,2.122,0,1386.022,0.8824,-0.7,-0.8,1222.99,1.0713,0.6932,0,1386.022,1.74,-0.7,-0.4,2411.741,0.5515,0.6932,0,1386,1.3112,-0.7,-0.6,1817.4,0.8114,0.7,0.004593441,0.009057782,0.006825612
HER24L,HER24L_3A,HER24L_3A_38,2.9,98.3,3,8.8,3.7,3.7,127.02,2140.14,723.85,852.32,0.005202914,2.11,0,1382.7,0.9476,-0.7,-0.7,1310.208,1.0318,0.6557,0,1382.7,1.7809,-0.7,-0.4,2462.413,0.5267,0.6557,0,1382.7,1.3643,-0.7,-0.6,1886.3,0.7793,0.7,0.004930281,0.009265869,0.007098075
HER24L,HER24L_3A,HER24L_3A_39,2.9,98.4,3,8.9,3.8,3.8,128.02,2194.3,738.4,871.54,0.005202914,2.093,0,1371.56,0.9741,-0.9,-0.9,1336.093,1.0157,0.6678,0,1371.56,1.8051,-0.9,-0.5,2475.798,0.5121,0.6678,0,1371.6,1.3896,-0.9,-0.7,1905.9,0.7639,0.7,0.005068158,0.009391779,0.007229969
HER24L,HER24L_3A,HER24L_3A_40,2.9,98.5,3,9,3.9,3.9,128.93,2249.22,751.69,890.76,0.005205622,2.101,0,1376.802,1.0184,-1,-1,1402.077,0.9889,0.6557,0,1376.802,1.8231,-1,-0.5,2510.1,0.5011,0.6557,0,1376.8,1.4208,-1,-0.8,1956.1,0.745,0.7,0.005301406,0.00949037,0.007395888
