SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH,Field_depth,Strat_depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,Accum_rate,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT,WMAR_SAT,WMAR_UNSAT,WMAR_Mean
HER42L,HER42L_1A,HER42L_1A_1,2.9,4,1,4,0,0,-70.67,25.03,-44.66,-39.35,0.005012531,2.511,0,485.3112,0.7882,4.6,5.836082213,382.4986,1.1284,0.8826,0,485.3112,1.5195,4.6,3.027311616,737.4476,0.6851,0.9896,0,485.3,1.1539,4.6,4.4,560,0.9,0.9,0.003950877,0.007616541,0.005783709
HER42L,HER42L_1A,HER42L_1A_2,2.9,4.1,1,4.1,0.1,0.1,-49.9,43.54,-24.69,-19.4,0.005012531,2.508,0,491.3793,0.9185,8.4,9.145345672,451.3113,1.0494,0.8826,0,491.3793,1.5957,8.4,5.264147396,784.0893,0.639,0.9896,0,491.4,1.2571,8.4,7.2,617.7,0.8,0.9,0.00460401,0.007998496,0.006301253
HER42L,HER42L_1A,HER42L_1A_3,2.9,4.2,1,4.2,0.2,0.2,-29.79,62.32,-4.52,0.55,0.00501002,2.529,0,1014.034,0.9683,10.2,10.53392544,981.8503,1.0192,0.8826,0,1014.034,1.6159,10.2,6.312271799,1638.604,0.6267,0.9896,0,1014,1.2921,10.2,8.4,1310.2,0.8,0.9,0.004851202,0.008095691,0.006473447
HER42L,HER42L_1A,HER42L_1A_4,2.9,4.3,1,4.3,0.3,0.3,-9.74,80.78,15.62,20.51,0.005012531,2.582,0,1071.814,1.0062,9.2,9.143311469,1078.444,0.9963,0.8826,0,1071.814,1.6168,9.2,5.69025235,1732.88,0.6262,0.9896,0,1071.8,1.3115,9.2,7.4,1405.7,0.8,0.9,0.005043609,0.008104261,0.006573935
HER42L,HER42L_1A,HER42L_1A_5,2.9,4.4,1,4.4,0.4,0.4,10.1,99.16,35.89,40.46,0.005012531,2.576,0,1718.479,1.0543,7.3,6.92402542,1811.743,0.9671,0.8621,0,1718.479,1.6477,7.3,4.430418159,2831.521,0.6075,0.964,0,1718.5,1.351,7.3,5.7,2321.6,0.8,0.9,0.005284712,0.008259148,0.00677193
HER42L,HER42L_1A,HER42L_1A_6,2.9,4.5,1,4.5,0.5,0.5,29.78,118.5,56,60.41,0.00501002,2.57,0,1147.834,1.0613,7.8,7.349477056,1218.233,0.9628,0.8621,0,1147.834,1.6543,7.8,4.71498519,1898.838,0.6035,0.964,0,1147.8,1.3578,7.8,6,1558.5,0.8,0.9,0.005317134,0.008288076,0.006802605
HER42L,HER42L_1A,HER42L_1A_7,2.9,4.6,1,4.6,0.6,0.6,49.27,136.78,76.25,80.37,0.005012531,2.604,0,1537.19,1.0339,11.1,10.73604797,1589.245,0.9795,0.8621,0,1537.19,1.6246,11.1,6.832451065,2497.277,0.6215,0.964,0,1537.2,1.3293,11.1,8.8,2043.3,0.8,0.9,0.005182456,0.008143358,0.006662907
HER42L,HER42L_1A,HER42L_1A_8,2.9,4.7,1,4.7,0.7,0.7,68.62,156.01,96.38,100.32,0.005012531,2.579,0,1178.164,1.068,15.4,14.41947566,1258.222,0.9588,0.8426,0,1178.164,1.6547,15.4,9.306822989,1949.469,0.6032,0.9397,0,1178.2,1.3614,15.4,11.9,1603.8,0.8,0.9,0.005353383,0.008294236,0.00682381
HER42L,HER42L_1A,HER42L_1A_9,2.9,4.8,1,4.8,0.8,0.8,88.06,175.2,116.52,120.27,0.005012531,2.551,0,1329.338,1.0948,20.2,18.4508586,1455.324,0.9426,0.8426,0,1329.338,1.6819,20.2,12.01022653,2235.76,0.5868,0.9397,0,1329.3,1.3884,20.2,15.2,1845.5,0.8,0.9,0.005487719,0.008430576,0.006959148
HER42L,HER42L_1A,HER42L_1A_10,2.9,4.9,1,4.9,0.9,0.9,106.98,194.38,136.54,140.22,0.00501002,2.537,0,1372.093,1.1067,25.3,22.86075721,1518.443,0.9354,0.8239,0,1372.093,1.6946,25.3,14.92977694,2325.209,0.579,0.9166,0,1372.1,1.4007,25.3,18.9,1921.8,0.8,0.9,0.005544589,0.00848998,0.007017285
