SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH,Field_depth,Strat_depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,Accum_rate,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT,WMAR_SAT,WMAR_UNSAT,WMAR_Mean
HER14L,HER14L_2A,HER14L-2A_146,2.9,75,1,75,14.5,14.5,764.84,1049.96,909.7,907.56,0.031545741,2.398,0,1431.642,0.839,-1.6,-1.9,1201.18,1.0976,0.5269,0,1431.642,1.606,-1.6,-1,2299.264,0.6327,0.5269,0,1431.6,1.2225,-1.6,-1.5,1750.2,0.9,0.5,0.026466877,0.050662461,0.038564669
HER14L,HER14L_2A,HER14L-2A_147,2.9,75.1,1,75.1,14.6,14.6,765.6,1055.61,912.65,910.73,0.031545741,2.408,0,1433.333,0.8205,-1.6,-2,1176.078,1.1088,0.5269,0,1433.333,1.5884,-1.6,-1,2276.637,0.6434,0.5269,0,1433.3,1.2045,-1.6,-1.5,1726.4,0.9,0.5,0.025883281,0.050107256,0.037995268
HER14L,HER14L_2A,HER14L-2A_148,2.9,75.2,1,75.2,14.7,14.7,767.2,1059.55,915.82,913.9,0.031545741,2.415,0,1441.791,0.8797,-1.6,-1.8,1268.328,1.0729,0.5269,0,1441.791,1.6287,-1.6,-1,2348.312,0.6189,0.5269,0,1441.8,1.2542,-1.6,-1.4,1808.3,0.8,0.5,0.027750789,0.051378549,0.039564669
HER14L,HER14L_2A,HER14L-2A_149,2.9,75.3,1,75.3,14.8,14.8,768.73,1065.05,918.82,917.07,0.031545741,2.428,0,1445.238,0.8184,-1.6,-2,1182.788,1.1101,0.5269,0,1445.238,1.5787,-1.6,-1,2281.56,0.6493,0.5269,0,1445.2,1.1986,-1.6,-1.5,1732.2,0.9,0.5,0.025817035,0.049801262,0.037809148
HER14L,HER14L_2A,HER14L-2A_150,2.9,75.4,1,75.4,14.9,14.9,769.01,1071.32,921.97,920.24,0.031545741,2.434,0,1453.135,0.8192,-1.6,-2,1190.365,1.1096,0.5269,0,1453.135,1.5768,-1.6,-1,2291.337,0.6504,0.5269,0,1453.1,1.198,-1.6,-1.5,1740.9,0.9,0.5,0.025842271,0.049741325,0.037791798
HER14L,HER14L_2A,HER14L-2A_151,2.9,75.5,1,75.5,15,15,770.01,1076.82,925.01,923.41,0.031545741,2.442,0,1457.911,0.852,-1.7,-2,1242.105,1.0897,0.5269,0,1457.911,1.5976,-1.7,-1.1,2329.191,0.6378,0.5269,0,1457.9,1.2248,-1.7,-1.5,1785.6,0.9,0.5,0.026876972,0.050397476,0.038637224
HER14L,HER14L_2A,HER14L-2A_152,2.9,75.6,1,75.6,15.1,15.1,771.16,1083.21,927.79,926.58,0.031545741,2.448,0,1457.143,0.8452,-1.6,-1.9,1231.567,1.0938,0.5269,0,1457.143,1.5903,-1.6,-1,2317.264,0.6423,0.5269,0,1457.1,1.2178,-1.6,-1.4,1774.4,0.9,0.5,0.026662461,0.050167192,0.038414826
HER14L,HER14L_2A,HER14L-2A_153,2.9,75.7,1,75.7,15.2,15.2,771.79,1088.68,930.92,929.75,0.031545741,2.448,0,1457.143,0.8697,-1.7,-2,1267.32,1.079,0.5199,0,1457.143,1.6082,-1.7,-1.1,2343.338,0.6314,0.5199,0,1457.1,1.239,-1.7,-1.5,1805.3,0.9,0.5,0.027435331,0.050731861,0.039083596
HER14L,HER14L_2A,HER14L-2A_154,2.9,75.8,1,75.8,15.3,15.3,772.42,1093.09,934.11,932.92,0.031545741,2.459,0,1459.347,0.9021,-1.7,-1.9,1316.472,1.0593,0.5199,0,1459.347,1.6273,-1.7,-1,2374.822,0.6198,0.5199,0,1459.3,1.2647,-1.7,-1.5,1845.6,0.8,0.5,0.028457413,0.051334385,0.039895899
HER14L,HER14L_2A,HER14L-2A_155,2.9,75.9,1,75.9,15.4,15.4,773.1,1098.58,937.39,936.09,0.031545741,2.469,0,1465.282,0.8832,-1.7,-1.9,1294.073,1.0708,0.5199,0,1465.282,1.6096,-1.7,-1.1,2358.573,0.6305,0.5199,0,1465.3,1.2464,-1.7,-1.5,1826.3,0.9,0.5,0.027861199,0.050776025,0.039318612
