SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH_CULM,SECT_NUM,SECT DEPTH,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER49L,HER49L9_1A,HER49L9_1A_1,2.9,0.2,1,50.3,5,5,1.897,0,1062.15,0.9684,-1.4,-1.4,1028.577,1.0192,0.8596,0,1062.15,2.1468,-1.4,-0.7,2280.176,0.305,0.8596,0,1062.2,1.5576,-1.4,-1,1654.4,0.7,0.9
HER49L,HER49L9_1A,HER49L9_1A_2,2.9,0.3,1,50.4,5.1,5.1,1.993,0,913.801,1.1016,-1.4,-1.3,1006.629,0.9384,0.8596,0,913.801,2.1121,-1.4,-0.7,1930.037,0.326,0.8596,0,913.8,1.6069,-1.4,-1,1468.3,0.6,0.9
HER49L,HER49L9_1A,HER49L9_1A_3,2.9,0.4,1,50.5,5.2,5.2,2.048,0,376.4015,1.0927,-1.3,-1.2,411.3077,0.9438,0.8596,0,376.4015,2.0636,-1.3,-0.6,776.7407,0.3554,0.8596,0,376.4,1.5782,-1.3,-0.9,594,0.6,0.9
HER49L,HER49L9_1A,HER49L9_1A_4,2.9,0.5,1,50.6,5.3,5.3,2.085,0,413.6084,1.3245,-1.1,-0.8,547.8248,0.8033,0.883,0,413.6084,2.1313,-1.1,-0.5,881.5065,0.3144,0.883,0,413.6,1.7279,-1.1,-0.7,714.7,0.6,0.9
HER49L,HER49L9_1A,HER49L9_1A_5,2.9,0.6,1,50.7,5.4,5.4,2.105,0,361.0015,1.3283,-0.9,-0.7,479.53,0.801,0.8596,0,361.0015,2.1181,-0.9,-0.4,764.6433,0.3224,0.8596,0,361,1.7232,-0.9,-0.6,622.1,0.6,0.9
HER49L,HER49L9_1A,HER49L9_1A_6,2.9,0.7,1,50.8,5.5,5.5,2.132,0,404.8614,1.349,-0.6,-0.4,546.1506,0.7885,0.883,0,404.8614,2.1076,-0.6,-0.3,853.3051,0.3287,0.883,0,404.9,1.7283,-0.6,-0.4,699.7,0.6,0.9
HER49L,HER49L9_1A,HER49L9_1A_7,2.9,0.8,1,50.9,5.6,5.6,2.154,0,405.5734,1.4438,-0.4,-0.3,585.5656,0.731,0.8596,0,405.5734,2.1345,-0.4,-0.2,865.7083,0.3124,0.8596,0,405.6,1.7892,-0.4,-0.2,725.6,0.5,0.9
HER49L,HER49L9_1A,HER49L9_1A_8,2.9,0.9,1,51,5.7,5.7,2.186,0,416.6984,1.3637,-0.1,-0.1,568.2451,0.7796,0.883,0,416.6984,2.0768,-0.1,0,865.4036,0.3474,0.883,0,416.7,1.7203,-0.1,-0.1,716.8,0.6,0.9
HER49L,HER49L9_1A,HER49L9_1A_9,2.9,1,1,51.1,5.8,5.8,2.333,0,499.4648,1.3205,0.2,0.2,659.5347,0.8058,0.8596,0,499.4648,1.9651,0.2,0.1,981.4948,0.4151,0.8596,0,499.5,1.6428,0.2,0.1,820.5,0.6,0.9
HER49L,HER49L9_1A,HER49L9_1A_10,2.9,1.1,1,51.2,5.9,5.9,2.308,0,456.0364,1.3852,0.5,0.4,631.6857,0.7666,0.8373,0,456.0364,2.0093,0.5,0.2,916.2963,0.3883,0.8373,0,456,1.6973,0.5,0.3,774,0.6,0.8
