SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH_sed,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_117,2.4,1095,29,8.4,48,48,2.475,0.0705,1779.296,1.3594,2.9,2.1,2418.844,0.7946,1.5,0.0705,1779.296,1.7141,2.9,1.7,3049.827,0.592,1.5,0.0705,1779.296,1.53675,2.9,1.9,2734.3355,0.6933,1.5
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_118,2.4,1095.5,29,8.9,48.5,48.5,2.479,0.0899,1774.517,1.3751,2.2,1.6,2440.223,0.7856,1.4753,0.0899,1774.517,1.7337,2.2,1.3,3076.535,0.5807,1.4753,0.0899,1774.517,1.5544,2.2,1.4,2758.379,0.68315,1.4753
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_119,2.4,1096,29,9.4,49,49,2.495,0.1087,1783.417,1.367,1.5,1.1,2437.847,0.7903,1.6456,0.1087,1783.417,1.7234,1.5,0.9,3073.553,0.5866,1.6456,0.1087,1783.417,1.5452,1.5,1,2755.7,0.68845,1.6456
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_120,2.4,1096.5,29,9.9,49.5,49.5,2.499,0.1364,1786.276,1.3693,1.6,1.2,2446.014,0.789,1.5075,0.1364,1786.276,1.7265,1.6,0.9,3084.003,0.5849,1.5075,0.1364,1786.276,1.5479,1.6,1,2765.0085,0.68695,1.5075
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_121,2.4,1097,29,10.4,50,50,2.51,0.1395,1790.3,1.3689,0.7,0.5,2450.811,0.7892,1.4843,0.1395,1790.3,1.7262,0.7,0.4,3090.36,0.585,1.4843,0.1395,1790.3,1.54755,0.7,0.5,2770.5855,0.6871,1.4843
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_122,2.4,1097.5,29,10.9,50.5,50.5,2.51,0.1364,1792.857,1.3815,0.4,0.3,2476.744,0.782,1.4531,0.1364,1792.857,1.7426,0.4,0.2,3124.259,0.5756,1.4531,0.1364,1792.857,1.56205,0.4,0.3,2800.5015,0.6788,1.4531
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_123,2.4,1098,29,11.4,51,51,2.51,0.1423,1796.707,1.3871,0.6,0.4,2492.229,0.7788,1.4292,0.1423,1796.707,1.7502,0.6,0.3,3144.577,0.5713,1.4292,0.1423,1796.707,1.56865,0.6,0.4,2818.403,0.67505,1.4292
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_124,2.4,1098.5,29,11.9,51.5,51.5,2.509,0.1193,1812.862,1.3795,1.8,1.3,2500.826,0.7831,1.5411,0.1193,1812.862,1.74,1.8,1,3154.337,0.5772,1.5411,0.1193,1812.862,1.55975,1.8,1.2,2827.5815,0.68015,1.5411
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_125,2.4,1099,29,12.4,52,52,2.505,0.1106,1839.207,1.3769,1,0.7,2532.375,0.7846,1.5151,0.1106,1839.207,1.7364,1,0.6,3193.631,0.5792,1.5151,0.1106,1839.207,1.55665,1,0.7,2863.003,0.6819,1.5151
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_126,2.4,1099.5,29,12.9,52.5,52.5,2.496,0.0766,1820.569,1.3687,1.1,0.8,2491.8,0.7893,1.4649,0.0766,1820.569,1.7256,1.1,0.6,3141.641,0.5854,1.4649,0.0766,1820.569,1.54715,1.1,0.7,2816.7205,0.68735,1.4649
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_127,2.4,1100,29,13.4,53,53,2.495,0.1081,1779.601,1.3738,1.7,1.2,2444.864,0.7864,1.4345,0.1081,1779.601,1.7322,1.7,1,3082.661,0.5816,1.4345,0.1081,1779.601,1.553,1.7,1.1,2763.7625,0.684,1.4345
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_128,2.4,1100.5,29,13.9,53.5,53.5,2.5,0.1203,1771.793,1.3619,3.1,2.3,2413.073,0.7932,1.4164,0.1203,1771.793,1.7171,3.1,1.8,3042.275,0.5903,1.4164,0.1203,1771.793,1.5395,3.1,2,2727.674,0.69175,1.4164
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_129,2.4,1101,29,14.4,54,54,2.505,0.1249,1745.645,1.37,2.3,1.7,2391.544,0.7886,1.5271,0.1249,1745.645,1.7275,2.3,1.3,3015.523,0.5843,1.5271,0.1249,1745.645,1.54875,2.3,1.5,2703.5335,0.68645,1.5271
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_130,2.4,1101.5,29,14.9,54.5,54.5,2.51,0.1527,1749.129,1.3892,1.9,1.4,2429.906,0.7776,1.4031,0.1527,1749.129,1.753,1.9,1.1,3066.262,0.5697,1.4031,0.1527,1749.129,1.5711,1.9,1.2,2748.084,0.67365,1.4031
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_131,2.4,1102,29,15.4,55,55,2.51,0.2118,1763.879,1.3953,2.3,1.6,2461.165,0.7741,1.3724,0.2118,1763.879,1.7613,2.3,1.3,3106.776,0.565,1.3724,0.2118,1763.879,1.5783,2.3,1.5,2783.9705,0.66955,1.3724
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_132,2.4,1102.5,29,15.9,55.5,55.5,2.515,0.1947,1782.424,1.3902,1.8,1.3,2477.973,0.777,1.4453,0.1947,1782.424,1.7547,1.8,1,3127.563,0.5688,1.4453,0.1947,1782.424,1.57245,1.8,1.2,2802.768,0.6729,1.4453
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_133,2.4,1103,29,16.4,56,56,2.512,0.1646,1807.194,1.4145,1.5,1.1,2556.35,0.7631,1.4941,0.1646,1807.194,1.7884,1.5,0.8,3232.064,0.5495,1.4941,0.1646,1807.194,1.60145,1.5,0.9,2894.207,0.6563,1.4941
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_134,2.4,1103.5,29,16.9,56.5,56.5,2.517,0.1018,1825.236,1.4145,2,1.4,2581.791,0.7631,1.3477,0.1018,1825.236,1.7889,2,1.1,3265.119,0.5492,1.3477,0.1018,1825.236,1.6017,2,1.3,2923.455,0.65615,1.3477
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_135,2.4,1104,29,17.4,57,57,2.522,0.0778,1827.536,1.4094,2.3,1.6,2575.65,0.7661,1.3634,0.0778,1827.536,1.782,2.3,1.3,3256.599,0.5532,1.3634,0.0778,1827.536,1.5957,2.3,1.5,2916.1245,0.65965,1.3634
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_136,2.4,1104.5,29,17.9,57.5,57.5,2.525,0.0701,1828.385,1.3879,2.3,1.7,2537.549,0.7784,1.3794,0.0701,1828.385,1.752,2.3,1.3,3203.363,0.5703,1.3794,0.0701,1828.385,1.56995,2.3,1.5,2870.456,0.67435,1.3794
