SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH,Field_depth,Strat_depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,Accum_rate,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT,WMAR_SAT,WMAR_UNSAT,WMAR_Mean
HER34L,HER34L_1A,HER34L_1A_1,2.9,1,1,1,11,11,90.38,559.39,288.06,297.33,0.014326648,1.928,0,1270.092,0.5453,-0.4,-0.7,692.5295,1.2756,1.956,0,1270.092,1.8938,-0.4,-0.2,2405.363,0.4583,1.956,0,1270.1,1.2196,-0.4,-0.5,1548.9,0.9,2,0.007812321,0.027131805,0.017472063
HER34L,HER34L_1A,HER34L_1A_2,2.9,1.1,1,1.1,11.1,11.1,96.53,569.08,294.66,304.31,0.014326648,1.971,0,1294.156,0.6574,-0.4,-0.6,850.7996,1.2076,1.8625,0,1294.156,1.8945,-0.4,-0.2,2451.756,0.4579,1.8625,0,1294.2,1.276,-0.4,-0.4,1651.3,0.8,1.9,0.009418338,0.027141834,0.018280086
HER34L,HER34L_1A,HER34L_1A_3,2.9,1.2,1,1.2,11.2,11.2,101.74,581.78,301.46,311.29,0.014326648,1.997,0,1306.937,0.5999,-0.4,-0.7,784.0319,1.2425,1.7774,0,1306.937,1.853,-0.4,-0.2,2421.698,0.4831,1.7774,0,1306.9,1.2265,-0.4,-0.4,1602.9,0.9,1.8,0.008594556,0.026547278,0.017570917
HER34L,HER34L_1A,HER34L_1A_4,2.9,1.3,1,1.3,11.3,11.3,106.34,596.25,307.35,318.27,0.014347202,2.014,0,1326.746,0.6392,-0.5,-0.8,848.0319,1.2187,1.7001,0,1326.746,1.8526,-0.5,-0.3,2457.892,0.4833,1.7001,0,1326.7,1.2459,-0.5,-0.5,1653,0.9,1.7,0.009170732,0.026579627,0.017875179
HER34L,HER34L_1A,HER34L_1A_5,2.9,1.4,1,1.4,11.4,11.4,110.87,605.27,314.32,325.24,0.014326648,2.029,0,1332.239,0.5947,-0.5,-0.8,792.2185,1.2457,1.6288,0,1332.239,1.8252,-0.5,-0.3,2431.56,0.4999,1.6288,0,1332.2,1.21,-0.5,-0.6,1611.9,0.9,1.6,0.008520057,0.026148997,0.017334527
HER34L,HER34L_1A,HER34L_1A_6,2.9,1.5,1,1.5,11.5,11.5,115.08,618.47,320.1,332.22,0.014326648,2.066,0,1347.684,0.5362,-0.4,-0.7,722.563,1.2811,1.5632,0,1347.684,1.7764,-0.4,-0.2,2393.984,0.5295,1.5632,0,1347.7,1.1563,-0.4,-0.5,1558.3,0.9,1.6,0.007681948,0.025449857,0.016565903
HER34L,HER34L_1A,HER34L_1A_7,2.9,1.6,1,1.6,11.6,11.6,118.37,633.97,326.33,339.2,0.014347202,2.11,0,1389.987,0.5597,-0.5,-0.9,777.9164,1.2669,1.5027,0,1389.987,1.751,-0.5,-0.3,2433.822,0.5449,1.5027,0,1390,1.1554,-0.5,-0.6,1605.9,0.9,1.5,0.008030129,0.025121951,0.01657604
HER34L,HER34L_1A,HER34L_1A_8,2.9,1.7,1,1.7,11.7,11.7,121.08,645.46,332.73,346.17,0.014326648,2.132,0,1395.288,0.489,-0.4,-0.8,682.2919,1.3097,1.3945,0,1395.288,1.7113,-0.4,-0.2,2387.752,0.5689,1.3945,0,1395.3,1.1002,-0.4,-0.5,1535,0.9,1.4,0.007005731,0.024517192,0.015761461
HER34L,HER34L_1A,HER34L_1A_9,2.9,1.8,1,1.8,11.8,11.8,124.18,656.95,339.1,353.15,0.014326648,2.111,0,1386.08,0.5857,-0.5,-0.9,811.8167,1.2511,1.346,0,1386.08,1.7591,-0.5,-0.3,2438.266,0.5399,1.346,0,1386.1,1.1724,-0.5,-0.6,1625,0.9,1.3,0.008391117,0.025202006,0.016796562
HER34L,HER34L_1A,HER34L_1A_10,2.9,1.9,1,1.9,11.9,11.9,128.76,673.02,345.72,360.13,0.014347202,2.071,0,1359.816,0.646,-0.4,-0.6,878.4742,1.2145,1.346,0,1359.816,1.8101,-0.4,-0.2,2461.456,0.509,1.346,0,1359.8,1.2281,-0.4,-0.4,1670,0.9,1.3,0.009268293,0.025969871,0.017619082
HER34L,HER34L_1A,HER34L_1A_11,2.9,2,1,2,12,12,132.31,689.28,352.17,367.1,0.014326648,2.071,0,1359.816,0.5661,-0.5,-0.9,769.7318,1.263,1.2583,0,1359.816,1.7825,-0.5,-0.3,2423.927,0.5257,1.2583,0,1359.8,1.1743,-0.5,-0.6,1596.8,0.9,1.3,0.008110315,0.025537249,0.016823782
HER34L,HER34L_1A,HER34L_1A_12,2.9,2.1,1,2.1,12.1,12.1,133.71,701.92,358.91,374.08,0.014326648,2.112,0,1386.737,0.5367,-0.5,-0.9,744.3185,1.2808,1.2186,0,1386.737,1.7418,-0.5,-0.3,2415.378,0.5504,1.2186,0,1386.7,1.1393,-0.5,-0.6,1579.8,0.9,1.2,0.007689112,0.024954155,0.016321633
HER34L,HER34L_1A,HER34L_1A_13,2.9,2.2,1,2.2,12.2,12.2,136.94,714.64,364.92,381.06,0.014347202,2.138,0,1408.432,0.5962,-0.6,-1,839.6661,1.2447,1.1812,0,1408.432,1.7431,-0.6,-0.3,2454.986,0.5497,1.1812,0,1408.4,1.1697,-0.6,-0.7,1647.3,0.9,1.2,0.008553802,0.025008608,0.016781205
HER34L,HER34L_1A,HER34L_1A_14,2.9,2.3,1,2.3,12.3,12.3,139.97,728.67,370.6,388.03,0.014326648,2.171,0,1420.812,0.5301,-0.6,-1.1,753.156,1.2848,1.1461,0,1420.812,1.6971,-0.6,-0.4,2411.256,0.5775,1.1461,0,1420.8,1.1136,-0.6,-0.7,1582.2,0.9,1.1,0.007594556,0.024313754,0.015954155
HER34L,HER34L_1A,HER34L_1A_15,2.9,2.4,1,2.4,12.4,12.4,141.77,743.25,376.47,395.01,0.014326648,2.177,0,1424.738,0.6281,-0.4,-0.6,894.8262,1.2254,1.113,0,1424.738,1.7268,-0.4,-0.2,2460.2,0.5595,1.113,0,1424.7,1.1775,-0.4,-0.4,1677.5,0.9,1.1,0.008998567,0.024739255,0.016868911
HER34L,HER34L_1A,HER34L_1A_16,2.9,2.5,1,2.5,12.5,12.5,143.32,758.47,382.69,401.99,0.014347202,2.146,0,1395.319,0.6176,-0.6,-1,861.6996,1.2318,1.0817,0,1395.319,1.7448,-0.6,-0.3,2434.562,0.5486,1.0817,0,1395.3,1.1812,-0.6,-0.7,1648.1,0.9,1.1,0.008860832,0.025032999,0.016946915
HER34L,HER34L_1A,HER34L_1A_17,2.9,2.6,1,2.6,12.6,12.6,147.42,775.07,388.63,408.96,0.014326648,2.151,0,1416.996,0.5609,-0.5,-0.9,794.8281,1.2661,1.052,0,1416.996,1.7216,-0.5,-0.3,2439.569,0.5626,1.052,0,1417,1.1413,-0.5,-0.6,1617.2,0.9,1.1,0.008035817,0.024664756,0.016350287
HER34L,HER34L_1A,HER34L_1A_18,2.9,2.7,1,2.7,12.7,12.7,151.21,793.99,395.08,415.94,0.014326648,2.146,0,1127.693,0.6195,-0.5,-0.8,698.6356,1.2306,1.024,0,1127.693,1.7455,-0.5,-0.3,1968.385,0.5482,1.024,0,1127.7,1.1825,-0.5,-0.5,1333.5,0.9,1,0.008875358,0.025007163,0.016941261
HER34L,HER34L_1A,HER34L_1A_19,2.9,2.8,1,2.8,12.8,12.8,152.2,810.3,401.52,422.92,0.014347202,2.12,0,878.5745,0.555,-0.5,-0.9,487.6049,1.2697,0.9974,0,878.5745,1.742,-0.5,-0.3,1530.498,0.5503,0.9974,0,878.6,1.1485,-0.5,-0.6,1009.1,0.9,1,0.007962697,0.024992826,0.016477762
HER34L,HER34L_1A,HER34L_1A_20,2.9,2.9,1,2.9,12.9,12.9,153.01,826.42,407.33,429.89,0.014326648,2.112,0,1386.737,0.5995,-0.5,-0.8,831.3434,1.2427,0.9721,0,1386.737,1.7631,-0.5,-0.3,2444.998,0.5375,0.9721,0,1386.7,1.1813,-0.5,-0.6,1638.2,0.9,1,0.008588825,0.025259312,0.016924069
HER34L,HER34L_1A,HER34L_1A_21,2.9,3,1,3,13,13,155.05,843.64,413.94,436.87,0.014326648,2.017,0,1147.327,0.5961,-0.6,-1,683.8885,1.2448,0.9721,0,1147.327,1.8353,-0.6,-0.3,2105.694,0.4938,0.9721,0,1147.3,1.2157,-0.6,-0.7,1394.8,0.9,1,0.008540115,0.026293696,0.017416905
HER34L,HER34L_1A,HER34L_1A_22,2.9,3.1,1,3.1,13.1,13.1,157.48,861.99,420.09,443.85,0.014347202,2.018,0,1333.774,0.6148,-0.6,-1,819.9946,1.2335,0.9251,0,1333.774,1.8409,-0.6,-0.3,2455.348,0.4904,0.9251,0,1333.8,1.2279,-0.6,-0.7,1637.7,0.9,0.9,0.00882066,0.026411765,0.017616212
HER34L,HER34L_1A,HER34L_1A_23,2.9,3.2,1,3.2,13.2,13.2,159.89,876.42,426.78,450.82,0.014326648,2.017,0,887.3735,0.6172,-0.5,-0.8,547.6924,1.232,0.9251,0,887.3735,1.8425,-0.5,-0.3,1635.022,0.4894,0.9251,0,887.4,1.2299,-0.5,-0.5,1091.4,0.9,0.9,0.008842407,0.026396848,0.017619628
HER34L,HER34L_1A,HER34L_1A_24,2.9,3.3,1,3.3,13.3,13.3,162.66,892.88,432.82,457.8,0.014326648,2.023,0,1332.675,0.6572,-0.6,-0.9,875.8258,1.2078,0.9032,0,1332.675,1.8516,-0.6,-0.3,2467.613,0.4839,0.9032,0,1332.7,1.2544,-0.6,-0.6,1671.7,0.8,0.9,0.009415473,0.026527221,0.017971347
HER34L,HER34L_1A,HER34L_1A_25,2.9,3.4,1,3.4,13.4,13.4,164.8,911.37,438.93,464.78,0.014347202,2.012,0,881.2966,0.644,-0.5,-0.8,567.5724,1.2157,0.8823,0,881.2966,1.8559,-0.5,-0.3,1635.578,0.4813,0.8823,0,881.3,1.25,-0.5,-0.5,1101.6,0.8,0.9,0.009239598,0.026626973,0.017933286
HER34L,HER34L_1A,HER34L_1A_26,2.9,3.5,1,3.5,13.5,13.5,166.08,930.57,444.52,471.75,0.014326648,2.02,0,996.0553,0.6852,-0.6,-0.9,682.4636,1.1908,0.8823,0,996.0553,1.8639,-0.6,-0.3,1856.578,0.4764,0.8823,0,996.1,1.2746,-0.6,-0.6,1269.5,0.8,0.9,0.009816619,0.026703438,0.018260029
HER34L,HER34L_1A,HER34L_1A_27,2.9,3.6,1,3.6,13.6,13.6,167.93,946.3,450.8,478.73,0.014326648,2.075,0,984.3455,0.6122,-0.6,-1,602.645,1.235,0.8624,0,984.3455,1.7953,-0.6,-0.3,1767.173,0.518,0.8624,0,984.3,1.2038,-0.6,-0.7,1184.9,0.9,0.9,0.008770774,0.02572063,0.017245702
HER34L,HER34L_1A,HER34L_1A_28,2.9,3.7,1,3.7,13.7,13.7,170,963.3,456.65,485.71,0.014347202,2.082,0,884.8279,0.6988,-0.6,-0.9,618.2847,1.1826,0.8433,0,884.8279,1.8207,-0.6,-0.3,1610.964,0.5026,0.8433,0,884.8,1.2598,-0.6,-0.6,1114.6,0.8,0.8,0.010025825,0.026121951,0.018073888
HER34L,HER34L_1A,HER34L_1A_29,2.9,3.8,1,3.8,13.8,13.8,172.15,982.93,462.71,492.68,0.014326648,2.073,0,1064.168,0.5593,-0.5,-0.9,595.1853,1.2671,0.8251,0,1064.168,1.7787,-0.5,-0.3,1892.861,0.528,0.8251,0,1064.2,1.169,-0.5,-0.6,1244,0.9,0.8,0.008012894,0.025482808,0.016747851
HER34L,HER34L_1A,HER34L_1A_30,2.9,3.9,1,3.9,13.9,13.9,174.76,1001.22,468.68,499.66,0.014326648,2.076,0,959.7782,0.6221,-0.6,-1,597.1065,1.229,0.8251,0,959.7782,1.798,-0.6,-0.3,1725.637,0.5164,0.8251,0,959.8,1.2101,-0.6,-0.6,1161.4,0.9,0.8,0.008912607,0.025759312,0.01733596
HER34L,HER34L_1A,HER34L_1A_31,2.9,4,1,4,14,14,176.22,1018.08,475.04,506.64,0.014347202,2.065,0,943.7844,0.5656,-0.7,-1.2,533.8256,1.2633,0.8076,0,943.7844,1.787,-0.7,-0.4,1686.559,0.523,0.8076,0,943.8,1.1763,-0.7,-0.8,1110.2,0.9,0.8,0.008114778,0.025638451,0.016876614
HER34L,HER34L_1A,HER34L_1A_32,2.9,4.1,1,4.1,14.1,14.1,178.04,1033.4,481.08,513.61,0.014326648,2.076,0,1244.604,0.5894,-0.6,-1,733.584,1.2488,0.7908,0,1244.604,1.7867,-0.6,-0.3,2223.679,0.5232,0.7908,0,1244.6,1.1881,-0.6,-0.7,1478.6,0.9,0.8,0.008444126,0.025597421,0.017020774
HER34L,HER34L_1A,HER34L_1A_33,2.9,4.2,1,4.2,14.2,14.2,179.16,1049.44,486.33,520.59,0.014326648,2.134,0,1081.602,0.5312,-0.6,-1.1,574.5551,1.2841,0.7908,0,1081.602,1.7238,-0.6,-0.3,1864.481,0.5613,0.7908,0,1081.6,1.1275,-0.6,-0.7,1219.5,0.9,0.8,0.007610315,0.024696275,0.016153295
HER34L,HER34L_1A,HER34L_1A_34,2.9,4.3,1,4.3,14.3,14.3,181.34,1067.4,492.26,527.57,0.014347202,2.115,0,1035.242,0.6465,-0.5,-0.8,669.2581,1.2143,0.7746,0,1035.242,1.7774,-0.5,-0.3,1840.032,0.5289,0.7746,0,1035.2,1.212,-0.5,-0.5,1254.6,0.9,0.8,0.009275466,0.025500717,0.017388092
