SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT DEPTH,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER34L,HER34L_1A,HER34L_1A_95,2.9,10.4,1,10.4,20.4,20.4,2.293,0,1304.323,0.7238,-0.5,-0.7,944.1218,1.1674,0.602,0,1304.323,1.6864,-0.5,-0.3,2199.612,0.584,0.602,0,1304.3,1.2051,-0.5,-0.5,1571.9,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_96,2.9,10.5,1,10.5,20.5,20.5,2.291,0,1314.4,0.7929,-0.5,-0.6,1042.157,1.1255,0.602,0,1314.4,1.7145,-0.5,-0.3,2253.593,0.5669,0.602,0,1314.4,1.2537,-0.5,-0.5,1647.9,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_97,2.9,10.6,1,10.6,20.6,20.6,2.3,0,1319.564,0.7672,-0.5,-0.7,1012.353,1.1411,0.602,0,1319.564,1.6989,-0.5,-0.3,2241.819,0.5764,0.602,0,1319.6,1.2331,-0.5,-0.5,1627.1,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_98,2.9,10.7,1,10.7,20.7,20.7,2.281,0,1355.318,0.8277,-0.5,-0.6,1121.772,1.1044,0.602,0,1355.318,1.7346,-0.5,-0.3,2350.979,0.5548,0.602,0,1355.3,1.2812,-0.5,-0.4,1736.4,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_99,2.9,10.8,1,10.8,20.8,20.8,2.248,0,1289.73,0.808,-0.6,-0.7,1042.156,1.1163,0.602,0,1289.73,1.7473,-0.6,-0.3,2253.593,0.5471,0.602,0,1289.7,1.2777,-0.6,-0.5,1647.9,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_100,2.9,10.9,1,10.9,20.9,20.9,2.248,0,1282.373,0.7689,-0.6,-0.8,985.9672,1.1401,0.602,0,1282.373,1.7319,-0.6,-0.3,2220.978,0.5564,0.602,0,1282.4,1.2504,-0.6,-0.6,1603.5,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_101,2.9,11,1,11,21,21,2.261,0,1289.789,0.8087,-0.6,-0.7,1043.027,1.116,0.5924,0,1289.789,1.7394,-0.6,-0.3,2243.452,0.5519,0.5924,0,1289.8,1.2741,-0.6,-0.5,1643.2,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_102,2.9,11.1,1,11.1,21.1,21.1,2.304,0,1314.318,0.7849,-0.7,-0.9,1031.663,1.1303,0.5924,0,1314.318,1.7035,-0.7,-0.4,2238.931,0.5736,0.5924,0,1314.3,1.2442,-0.7,-0.7,1635.3,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_103,2.9,11.2,1,11.2,21.2,21.2,2.357,0,1340.728,0.8144,-0.6,-0.7,1091.887,1.1125,0.5924,0,1340.728,1.6842,-0.6,-0.4,2257.99,0.5854,0.5924,0,1340.7,1.2493,-0.6,-0.5,1674.9,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_104,2.9,11.3,1,11.3,21.3,21.3,2.37,0,1351.968,0.6763,-0.6,-0.9,914.3494,1.1962,0.5924,0,1351.968,1.6225,-0.6,-0.4,2193.569,0.6227,0.5924,0,1352,1.1494,-0.6,-0.6,1554,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_105,2.9,11.4,1,11.4,21.4,21.4,2.406,0,1368.601,0.7847,-0.6,-0.8,1073.915,1.1305,0.5924,0,1368.601,1.6445,-0.6,-0.4,2250.681,0.6094,0.5924,0,1368.6,1.2146,-0.6,-0.6,1662.3,0.9,0.6
