SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH,Field_depth,Strat_depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,Accum_rate,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT,WMAR_SAT,WMAR_UNSAT,WMAR_Mean
HERPT1S1,HERPT1S1.1,HERPT1S1.1_1,2.4,18,1,0,0,0,-67.85,-62.25,-65.05,-65.04,0.010354111,2.327,0,23.8285,1.2989,-0.6,-0.5,30.9507,0.8292,1.1615,0,23.8285,1.6455,-0.6,-0.4,39.2096,0.6311,1.1615,0,23.8,1.4722,-0.6,-0.4,35.1,0.7302,1.1615,0.013448954,0.017037689,0.015243322
HERPT1S1,HERPT1S1.1,HERPT1S1.1_2,2.4,18.5,1,0.5,0.5,0.5,-52.44,21.59,-17.09,-16.75,0.010351967,2.332,0,23.8797,1.3103,-0.4,-0.3,31.2902,0.8227,0.95,0,23.8797,1.6609,-0.4,-0.2,39.6617,0.6223,0.95,0,23.9,1.4856,-0.4,-0.3,35.5,0.7225,0.95,0.013564182,0.017193582,0.015378882
HERPT1S1,HERPT1S1.1,HERPT1S1.1_3,2.4,19,1,1,1,1,-39.69,108.47,31.37,31.55,0.010351967,2.348,0,24.0436,1.3035,0.3,0.2,31.3397,0.8266,0.779,0,24.0436,1.6523,0.3,0.2,39.7281,0.6272,0.779,0,24,1.4779,0.3,0.2,35.5,0.7269,0.779,0.013493789,0.017104555,0.015299172
HERPT1S1,HERPT1S1.1,HERPT1S1.1_4,2.4,19.5,1,1.5,1.5,1.5,-26.99,195.82,79.74,79.85,0.010354111,2.348,0,24.0436,1.2819,1.4,1.1,30.8203,0.8389,0.6885,0,24.0436,1.6236,1.4,0.9,39.0371,0.6437,0.6885,0,24,1.4528,1.4,1,34.9,0.7413,0.6885,0.013272934,0.016810934,0.015041934
HERPT1S1,HERPT1S1.1,HERPT1S1.1_5,2.4,20,1,2,2,2,-14.86,283.18,128.17,128.14,0.010351967,2.334,0,23.9002,1.2735,1.1,0.9,30.4379,0.8437,0.6002,0,23.9002,1.6123,1.1,0.7,38.5345,0.6501,0.6002,0,23.9,1.4429,1.1,0.8,34.5,0.7469,0.6002,0.01318323,0.016690476,0.014936853
HERPT1S1,HERPT1S1.1,HERPT1S1.1_6,2.4,20.5,1,2.5,2.5,2.5,-2.65,370.48,176.55,176.44,0.010354111,2.295,0,23.5009,1.272,3.2,2.5,29.8923,0.8446,0.5811,0,23.5009,1.6095,3.2,2,37.8254,0.6517,0.5811,0,23.5,1.4408,3.2,2.3,33.9,0.7482,0.5811,0.013170429,0.016664941,0.014917685
HERPT1S1,HERPT1S1.1,HERPT1S1.1_7,2.4,21,1,3,3,3,9.6,457.74,225.04,224.73,0.010351967,2.262,0,23.1629,1.2869,1.8,1.4,29.8075,0.8361,0.5346,0,23.1629,1.6283,1.8,1.1,37.716,0.641,0.5346,0,23.2,1.4576,1.8,1.3,33.8,0.7386,0.5346,0.013321946,0.016856108,0.015089027
HERPT1S1,HERPT1S1.1,HERPT1S1.1_8,2.4,21.5,1,3.5,3.5,3.5,21.89,544.99,273.61,273.03,0.010351967,2.244,0,22.9786,1.2849,1.4,1.1,29.5241,0.8372,0.518,0,22.9786,1.6255,1.4,0.9,37.3519,0.6426,0.518,0,23,1.4552,1.4,1,33.4,0.7399,0.518,0.013301242,0.016827122,0.015064182
HERPT1S1,HERPT1S1.1,HERPT1S1.1_9,2.4,22,1,4,4,4,34.18,632.25,322.09,321.33,0.010354111,2.244,0.0039,950.0424,1.3046,4.5,3.4,1239.406,0.826,0.5098,0.0039,950.0424,1.6509,4.5,2.7,1568.427,0.6281,0.5098,0.0039,950,1.4778,4.5,3.1,1403.9,0.7271,0.5098,0.013507973,0.017093601,0.015300787
HERPT1S1,HERPT1S1.1,HERPT1S1.1_10,2.4,22.5,1,4.5,4.5,4.5,46.47,719.51,370.46,369.62,0.010351967,2.269,0.0079,1201.801,1.3281,3.5,2.6,1596.09,0.8125,0.5051,0.0079,1201.801,1.6822,3.5,2.1,2021.718,0.6101,0.5051,0.0079,1201.8,1.5052,3.5,2.4,1808.9,0.7113,0.5051,0.013748447,0.017414079,0.015581263
