depth	min	max	median	mean
1.1	-62.7	-32.1	-53.36	-51.87
1.2	-62.57	-29.38	-52.51	-50.86
1.3	-62.41	-26.57	-51.62	-49.84
1.4	-62.31	-23.7	-50.77	-48.83
1.5	-62.16	-20.85	-49.88	-47.82
1.6	-62.03	-18.04	-49.03	-46.81
1.7	-61.93	-15.31	-48.15	-45.79
1.8	-61.79	-12.6	-47.29	-44.78
1.9	-61.64	-9.99	-46.43	-43.77
2	-61.55	-7.3	-45.57	-42.76
2.1	-61.43	-4.58	-44.69	-41.74
2.2	-61.35	-1.77	-43.83	-40.73
2.3	-61.25	1.06	-42.98	-39.72
2.4	-61.16	3.89	-42.11	-38.71
2.5	-61.05	6.72	-41.28	-37.69
2.6	-60.95	9.55	-40.44	-36.68
2.7	-60.86	12.38	-39.6	-35.67
2.8	-60.76	15.21	-38.77	-34.65
2.9	-60.67	18.03	-37.92	-33.64
3	-60.58	20.83	-37.09	-32.63
3.1	-60.52	23.63	-36.24	-31.62
3.2	-60.45	26.38	-35.37	-30.6
3.3	-60.35	29.13	-34.53	-29.59
3.4	-60.24	31.87	-33.66	-28.58
3.5	-60.12	34.66	-32.81	-27.57
3.6	-59.95	37.47	-31.92	-26.55
3.7	-59.85	40.27	-31.09	-25.54
3.8	-59.77	43.07	-30.26	-24.53
3.9	-59.65	45.88	-29.38	-23.52
4	-59.57	48.68	-28.54	-22.5
4.1	-59.47	51.49	-27.67	-21.49
4.2	-59.38	54.29	-26.78	-20.48
4.3	-59.29	57.1	-25.94	-19.47
4.4	-59.18	59.9	-25.08	-18.45
4.5	-59.06	62.71	-24.22	-17.44
4.6	-58.99	65.49	-23.37	-16.43
4.7	-58.88	68.25	-22.53	-15.41
4.8	-58.76	71.02	-21.68	-14.4
4.9	-58.67	73.82	-20.83	-13.39
5	-58.59	76.62	-19.96	-12.38
5.1	-58.5	79.41	-19.12	-11.36
5.2	-58.44	82.21	-18.27	-10.35
5.3	-58.34	85	-17.41	-9.34
5.4	-58.28	87.79	-16.54	-8.33
5.5	-58.19	90.58	-15.67	-7.31
5.6	-58.13	93.38	-14.79	-6.3
5.7	-58.07	96.17	-13.92	-5.29
5.8	-58	98.96	-13.09	-4.28
5.9	-57.91	101.75	-12.31	-3.26
6	-57.8	104.54	-11.46	-2.25
6.1	-57.66	107.33	-10.6	-1.24
6.2	-57.55	110.12	-9.72	-0.23
6.3	-57.45	112.9	-8.86	0.79
6.4	-57.36	115.69	-7.98	1.8
6.5	-57.28	118.47	-7.13	2.81
6.6	-57.17	121.26	-6.28	3.82
6.7	-57.07	124.04	-5.43	4.84
6.8	-56.99	126.82	-4.58	5.85
6.9	-56.91	129.61	-3.76	6.86
7	-56.82	132.39	-2.93	7.88
7.1	-56.75	135.18	-2.08	8.89
7.2	-56.67	137.96	-1.22	9.9
7.3	-56.59	140.74	-0.35	10.91
7.4	-56.51	143.54	0.51	11.93
7.5	-56.42	146.33	1.38	12.94
7.6	-56.32	149.13	2.24	13.95
7.7	-56.22	151.93	3.09	14.96
7.8	-56.13	154.73	3.94	15.98
7.9	-56.02	157.53	4.79	16.99
8	-55.91	160.33	5.64	18
8.1	-55.79	163.13	6.49	19.01
8.2	-55.69	165.92	7.34	20.03
8.3	-55.62	168.72	8.19	21.04
8.4	-55.54	171.52	9.04	22.05
8.5	-55.46	174.32	9.89	23.06
8.6	-55.38	177.12	10.74	24.08
8.7	-55.3	179.92	11.59	25.09
8.8	-55.22	182.71	12.45	26.1
8.9	-55.13	185.5	13.33	27.12
9	-55.04	188.29	14.21	28.13
9.1	-54.95	191.08	15.08	29.14
9.2	-54.87	193.87	15.96	30.15
9.3	-54.79	196.67	16.84	31.17
9.4	-54.7	199.46	17.72	32.18
9.5	-54.62	202.25	18.57	33.19
9.6	-54.54	205.04	19.42	34.2
9.7	-54.46	207.83	20.27	35.22
9.8	-54.37	210.62	21.12	36.23
9.9	-54.28	213.42	21.97	37.24
10	-54.2	216.21	22.82	38.25
10.1	-53.04	216.97	23.99	39.24
10.2	-51.88	217.26	25.06	40.22
10.3	-50.82	217.55	26.12	41.21
10.4	-49.85	217.92	27.16	42.19
10.5	-48.99	218.26	28.41	43.17
10.6	-48.29	218.85	29.46	44.16
10.7	-47.2	219.22	30.29	45.14
10.8	-46.64	219.6	31.5	46.12
10.9	-45.97	220.06	32.47	47.11
