"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42PB","HER42PB_1A","HER42PB_1A_2",1.1,-51.51,6.66,1,16596,44628,1.45,-2.23378089603413,-0.442021426806079,-1.91038074098027,-1.54976619903746,2.43342468087341,-1.47894014646885,-1.23047878717035,1.8434483339687,-1.54063371547419,-0.129646741763927,3.98576046834208,2.25301517055108,5.65711361310133,0.176768590555455,-0.328504066972036,-1.8070737042011,-1.47856963722906
"HER42PB","HER42PB_1A","HER42PB_1A_3",1.2,-50.47,6.68,1,16084,44476,1.35,-1.87240199699016,-0.296460038984243,-1.60552305216814,-1.65161415936841,2.58467754140022,-2.42323295536985,-1.49477168787544,1.67348972925722,-1.11104656640368,0.208509052669035,3.85880488873254,2.12956924510092,5.63734136373414,0.177388583638584,-0.269663566949103,-1.58534036085504,-1.31567679390594
"HER42PB","HER42PB_1A","HER42PB_1A_4",1.3,-49.42,6.7,1,16223,44600,1.42,-2.2024047521673,-0.349344757075453,-1.45066340734131,-1.52664931431923,2.59067479797582,-2.52517814443035,-1.06989091182351,1.77437226841929,-1.48372426960219,0.122346636284003,3.92099508688773,2.19946676719253,5.59404057480981,0.178761663707453,-0.760969776898706,-1.86774537620598,-1.10677559930727
"HER42PB","HER42PB_1A","HER42PB_1A_5",1.4,-48.38,6.7,1,16870,48427,1.4,-1.60610912940623,-0.474935824688813,-2.11221776329409,-1.53758918296948,2.55719678292344,-1.52443109839197,-1.36191216889419,1.5510421782021,-1.04144027361942,-0.0490849596561747,3.66823522373385,1.93124621606097,5.6811803549319,0.176019759543787,0.510825623765991,-1.13599982073973,-1.64682544450572
"HER42PB","HER42PB_1A","HER42PB_1A_6",1.5,-47.34,6.71,1,16085,44532,1.13,-1.78245098249733,-0.506632237702033,-1.73268947293826,-1.79270748266452,2.38863413800255,-1.81354156956736,-1.44016477601069,1.69784674772983,-1.33698053977546,0.384851914973843,3.83157051287214,2.10226374757729,5.63771764212293,0.177376744186047,-0.0502618347808883,-1.28322217598008,-1.23296034119919
"HER42PB","HER42PB_1A","HER42PB_1A_7",1.6,-46.29,6.73,1,16366,44776,1.31,-1.69315828014667,0.0252699159958327,-1.26769250533184,-1.33951823990309,2.76838644909087,-1.82237001162668,-0.885600748408983,2.21369989532849,-5.8828130221731,0.978898318307632,4.33069278266046,2.57420544620707,5.79307414489059,0.17261992078627,-0.430782916092454,-1.73097457815893,-1.30019166206648
"HER42PB","HER42PB_1A","HER42PB_1A_8",1.7,-45.25,6.76,1,16696,47047,1.33,-2.23905912778506,-0.595823835767673,-1.82323123264135,-1.39399590519928,2.38376677469144,-1.94359491489123,-1.13525202223985,1.80179674948605,-1.38730691704848,0.321070943240524,3.84625857226986,2.16537091588506,5.37115568290353,0.186179671384878,-0.421213465076304,-1.65595792806899,-1.23474446299269
"HER42PB","HER42PB_1A","HER42PB_1A_9",1.8,-44.2,6.78,1,16936,47641,1.27,-2.06504736139294,-0.493084560125385,-1.6109745542194,-1.56811084978762,2.36877531483317,-1.50707495920125,-1.43720527924076,1.64262000658663,-1.27868205200089,0.272549777560815,3.70775352720817,1.96848098977946,5.69415597637956,0.175618652553283,-0.458307589482544,-1.58113413627125,-1.1228265467887
"HER42PB","HER42PB_1A","HER42PB_1A_10",1.9,-43.16,6.81,1,16562,46327,1.18,-2.36679683315096,-0.0797159266928787,-1.9742351298787,-1.35519592147248,2.49643844827833,-2.29268886099724,-1.2304442165,1.81877031194315,-1.43523862914602,0.351457538125493,3.91056935622937,2.15707986326194,5.77571458376799,0.173138749412997,-0.398907707562005,-2.30454395747938,-1.90563624991737
"HER42PB","HER42PB_1A","HER42PB_1A_11",2,-42.11,6.84,1,15674,42856,1.25,-2.54263014709527,-0.754665748835764,-0.626376207622842,-1.28339466409428,2.12934870856493,-2.26637677046711,-1.0745463529669,1.71716465020802,-1.11733362817211,-0.19342173801688,3.89056568610527,2.12166621239292,5.86543818298693,0.17049024621904,-1.93589337081184,-1.80714438806753,0.128748982744308
"HER42PB","HER42PB_1A","HER42PB_1A_12",2.1,-41.07,6.84,1,16295,44760,1.36,-1.93883745681047,-0.701316104283724,-1.89285234356865,-0.535049938243067,2.28188058827305,-2.20710144340515,-1.56120714769575,1.66313756646655,-1.01551269827894,0.0104284000918105,3.85657642499575,2.03985415245861,6.15279612505504,0.162527732054677,-0.0465200156348928,-1.24593700342497,-1.19941698779008
"HER42PB","HER42PB_1A","HER42PB_1A_13",2.2,-40.03,6.79,1,16620,46542,1.29,-1.81737816552805,-0.470929712955362,-2.57506386722557,-0.694751000656069,2.42184806113908,-1.49892443440952,-1.7866065068613,1.75771416487872,-1.37109106289963,0.0366385789403225,3.87030315624878,2.12824078932861,5.71005440257909,0.175129679946364,0.76968725768228,-1.35420604656839,-2.12389330425067
"HER42PB","HER42PB_1A","HER42PB_1A_14",2.3,-38.98,6.75,1,17745,52423,1.2,-1.88924246991293,-0.575854879601126,-2.12285732109443,-1.1064831306633,2.79115113731275,-2.04687141411651,-1.55575086142985,1.7635779343853,-1.25509363011494,0.0960600808530453,3.84177004574406,2.05959450863793,5.94376380799357,0.168243562884368,0.23638877806423,-1.32105383925149,-1.55744261731572
"HER42PB","HER42PB_1A","HER42PB_1A_15",2.4,-37.94,6.76,1,19359,57926,1.2,-1.73740036494603,-0.514123562105123,-1.84464589529962,-1.35479339491391,3.02939852389719,-1.55225793181043,-1.39609720105515,1.79343666552904,-2.46503372157714,0.175275956354583,3.82737976577271,2.03886116015389,5.98155339805825,0.167180652491479,0.108213584640233,-1.22929061231023,-1.33750419695046
"HER42PB","HER42PB_1A","HER42PB_1A_16",2.5,-36.89,6.78,1,19163,54196,1.4,-2.11452059056273,-0.505082678128628,-0.796788900880134,-1.47076616533236,2.55819563762689,-2.74917156444107,-1.53614892459521,1.73254613579642,-1.09528188943613,0.0893751255905137,3.82796250902209,2.05968130534035,5.8616725384758,0.17059977223839,-1.32662202963349,-1.61914672656106,-0.292524696927569
"HER42PB","HER42PB_1A","HER42PB_1A_17",2.6,-35.85,6.81,1,19345,53809,1.34,-2.33237501601728,-0.492496298445031,-1.53880908771029,-1.57117437221232,2.43208353469632,-1.58441959896234,-1.22907887803675,1.76991908538013,-1.27693489921438,0.0552241555288217,3.76933247447379,1.99872890051935,5.87530109319993,0.170204043016178,-0.801360765200178,-1.85182370997071,-1.05046294477053
"HER42PB","HER42PB_1A","HER42PB_1A_18",2.7,-34.8,6.84,1,19212,53059,1.31,-2.91205694142081,-0.387471807814632,-1.2579188500688,-1.47019272914611,2.53947188851858,-1.39850080068999,-1.02498729238843,1.90684117918608,-2.11069617622063,0.125639531232214,3.88124902458562,2.10862297422691,5.88721237268955,0.169859678349459,-1.67764616246063,-2.55128171873287,-0.873635556272239
"HER42PB","HER42PB_1A","HER42PB_1A_19",2.8,-33.76,6.87,1,18667,51028,1.3,-1.91322351034159,0.193125484258172,-1.33558921690349,-1.3054361787328,2.89955194893455,-1.3879572024208,-1.14987207110839,2.3654607728307,-5.92055669557406,0.439017173098319,4.44763924111087,2.66784025484851,5.9295827123696,0.168645931511153,-0.585726931939108,-2.1224832929384,-1.5367563609993
"HER42PB","HER42PB_1A","HER42PB_1A_20",2.9,-32.72,6.88,1,19151,51026,1.36,-1.90981521178312,-0.261156586195741,-1.69470383216618,-2.0529160554238,2.37954773802734,-1.87059449862984,-0.884969073354622,2.12265394672089,-2.35610231441154,-0.022745562750743,4.16396637781407,2.38683507215328,5.9137618010167,0.169097104964234,-0.217723483844871,-1.65951425041428,-1.44179076656941
"HER42PB","HER42PB_1A","HER42PB_1A_21",3,-31.67,6.87,1,19630,53119,1.26,-2.00089512865252,-0.261779392909892,-1.73263114205785,-1.6754727282179,2.42517906205109,-2.69404230921247,-1.25165848144154,1.9591851717294,-1.28869975312188,0.22994605948268,4.05209860840232,2.23877003394856,6.13176861947884,0.163085083938636,-0.271315094987576,-1.74976434819145,-1.47844925320388
"HER42PB","HER42PB_1A","HER42PB_1A_22",3.1,-30.63,6.88,1,19370,53696,1.33,-1.80760426456681,-0.117314255503612,-1.74636063932609,-1.63409333745501,2.75531747140047,-3.41704217700091,-1.04336116232313,2.01045502259175,-1.34420131935242,0.163548501676114,4.00142292956942,2.17923323029023,6.18640093786635,0.161644873981429,-0.0618754037180875,-1.69892848318516,-1.63705307946707
"HER42PB","HER42PB_1A","HER42PB_1A_23",3.2,-29.58,6.9,1,19100,51022,1.41,-1.73841343014391,0.0329938102352443,-1.71667344350751,-1.62430012337649,2.50267612139785,-2.02976523148466,-1.53974273534843,2.08110863268866,-2.75276537519428,0.301807398382642,4.11277805497855,2.37029632137234,5.71235102925244,0.175059269796112,-0.0219789067187752,-1.78058616862993,-1.75860726191115
"HER42PB","HER42PB_1A","HER42PB_1A_24",3.3,-28.54,6.9,1,19321,53273,1.31,-2.19430144279287,-0.349898240079391,-1.65417944953845,-1.54960664561887,2.42202252408332,-1.9444896443965,-1.61556461341067,1.91057306997895,-1.16082845629572,0.169861712420365,3.87973898333557,2.08667220231427,6.00878504672897,0.166422994369615,-0.545822465803087,-1.85586981652051,-1.31004735071742
"HER42PB","HER42PB_1A","HER42PB_1A_25",3.4,-27.49,6.9,1,19387,54212,1.41,-1.74467210779451,-0.0308741800361712,-0.939312936627641,-1.25150141926724,2.90869282704325,-1.33920699968635,-0.985035185965736,2.20849284096481,-6.1266987424684,0.531312303402352,4.24850971395296,2.52029388648269,5.63141250878426,0.177575341611031,-0.812335697825064,-1.72412191757811,-0.91178621975305
"HER42PB","HER42PB_1A","HER42PB_1A_26",3.5,-26.45,6.89,1,20298,56727,1.28,-2.02788698718098,-0.269575452020468,-1.86998395773517,-1.30237452211901,2.73428694761677,-2.52997893097822,-1.11159625530683,2.08017879652091,-2.247746463294,0.179519496300355,4.0687373975556,2.29641993064105,5.88532589752527,0.169914124962985,-0.159848700941896,-1.769286613376,-1.6094379124341
"HER42PB","HER42PB_1A","HER42PB_1A_27",3.6,-25.41,6.9,1,20294,55860,1.33,-2.01467654536146,-0.297025048287125,-1.88114515273694,-1.62026127343988,2.56961791028876,-1.9822412696083,-1.22223114381923,1.83640585426664,-1.49509813048587,0.151547409368828,3.87708908462862,2.07801830518597,6.04495412844037,0.165427227196843,-0.134919317899371,-1.7267269989572,-1.59180768105783
"HER42PB","HER42PB_1A","HER42PB_1A_28",3.7,-24.36,6.91,1,20109,56267,1.3,-1.8958702143911,-0.388623242853544,-1.61535663141793,-1.39077526533409,2.62736658883431,-1.99595367294808,-1.39077526533409,1.90591266455139,-1.87700173008671,0.142253177958007,3.83821050241464,2.04061308860721,6.03606618330545,0.165670814340274,-0.282862786015832,-1.51470448935056,-1.23184170333473
"HER42PB","HER42PB_1A","HER42PB_1A_29",3.8,-23.32,6.93,1,19773,56953,1.33,-2.09271581900337,-0.364437229354753,-1.72774207224994,-1.2765085456862,2.79906443647516,-3.34547878749874,-1.1390375550576,1.84955922959529,-0.917730551550689,0.294297953607464,3.84751808839582,2.07321085232756,5.89709957509699,0.169574888004762,-0.368651134985448,-1.73813837778896,-1.36948724280351
"HER42PB","HER42PB_1A","HER42PB_1A_30",3.9,-22.27,6.93,1,19707,56234,1.32,-1.86517474630269,-0.466580107101151,-1.28179823187813,-1.46301542632903,2.78330147513266,-3.58992350524779,-1.32123996392942,1.89164091561515,-0.904346159997636,0.176431261034439,3.89513154410567,2.14557294489794,5.75291584424906,0.173824896291444,-0.587786664902119,-1.40609698841607,-0.818310323513951
"HER42PB","HER42PB_1A","HER42PB_1A_31",4,-21.23,6.92,1,19371,53069,1.39,-1.65368116100374,-0.0834639617229229,-1.62524322568321,-1.41527013755874,2.77965078721623,-2.60919260603118,-1.19212658624453,2.04309968702565,-2.66048590041873,0.126796963760273,4.06084467853663,2.22907146212429,6.24598930481283,0.160102739726027,-0.0287101058824314,-1.57787710752188,-1.54916700163945
"HER42PB","HER42PB_1A","HER42PB_1A_32",4.1,-20.19,6.92,1,18704,52007,1.45,-1.86486954231404,-0.0365524773521883,-1.52536240199767,-1.1717223617541,2.69525876504606,-1.95381702833054,-1.41095205081993,1.82108009215187,-2.69459225787974,0.115397981565468,3.91330961661392,2.11282166507089,6.05360701474691,0.16519076933206,-0.342597830047896,-1.83730148967497,-1.49470365962708
"HER42PB","HER42PB_1A","HER42PB_1A_33",4.2,-19.14,6.91,1,17772,48531,1.5,-1.47125763595151,0.118762190625485,-1.09176801424661,-0.939498802519057,2.7283993638496,-6.11564853509289,-1.10501324099663,2.02583250636453,-1.15280390483298,0.451023894710355,4.18295071347191,2.36902146461779,6.13556519942137,0.162984169754126,-0.382550848585288,-1.59771902832089,-1.2151681797356
"HER42PB","HER42PB_1A","HER42PB_1A_34",4.3,-18.1,6.9,1,18726,52063,1.66,-1.75568481228406,-0.268770885801874,-1.27225816270618,-1.68609152048486,2.54923212155574,-2.14772690006008,-1.10862873892438,1.90092270289989,-2.23110850899914,0.067119278625955,3.86738906737918,2.08560635879983,5.94139264990329,0.168310707425855,-0.486905440048339,-1.49392502531226,-1.00701958526392
"HER42PB","HER42PB_1A","HER42PB_1A_35",4.4,-17.05,6.88,1,19032,51325,1.4,-1.34564158642079,-0.111049923489515,-1.32074403479906,-1.11412978543606,2.8726295661061,-1.34564158642079,-0.831460254807824,2.23037965992952,-6.12476507953232,0.46827945461012,4.19996250022734,2.42218107003327,5.91766990291262,0.168985431158945,-0.0251059211310764,-1.2405825499385,-1.21547662880742
