XRF core scanner log ,,,"Please include sufficient detail for clear identification of researcher, costs, site and cores",,,,,,,,,,,,,,,,
Date,User,Costs to,Sample details - core and section name etc,Details2,Details3,Details4,Details5,Radiation Check,Start,End,Tube age in hours,,XRF count ,Scan duration,"Other details, comments, notes etc",,,,
,,,,,,,,For weekly checks,time,time,start,end,secs,,"Radiograph KV, mA.ms","XRF kV, mA",interval,holder position,Notes
01/10/2015,BAS-SJR,BAS ,HER42-1B,50 cm,555-1045,Isla Hermite,Mo tube,0.5 cm,19,2,100.03,106.45,10,,"45,50,200","30,50",1000,0,Xrad=60 um; sed =550-1050
01/10/2015,BAS-SJR,BAS ,HER42-1C,49 cm,1085-1565,Isla Hermite,Mo tube,0.5 cm,19,2,100.03,106.45,10,,"45,50,200","30,50",1000,0,Xrad=60 um; sed =1080-1570
02/10/2015,BAS-SJR,BAS ,HER42-1D,50 cm,300-785,Isla Hermite,Mo tube,1 cm,6,9,110.84,113.56,10,,"45,50,200","30,50",1000,0,Xrad=60 um; sed =290-790
02/10/2015,BAS-SJR,BAS ,HER42-1E,50 cm,40-520,Isla Hermite,Mo tube,1 cm,9.3,17,113.98,121.34,10,,"45,50,200","30,50",1000,0,Xrad=60 um; sed =30-530
02/10/2015,BAS-SJR,BAS ,HER42-1F,50 cm,570-1050,Isla Hermite,Mo tube,1 cm,9.3,17,113.98,121.34,10,,"45,50,200","30,50",1000,0,Xrad=60 um; sed =560-1060
02/10/2015,BAS-SJR,BAS ,HER42-1G,50 cm,1105-1595,Isla Hermite,Mo tube,1 cm,9.3,17,113.98,121.34,10,,"45,50,200","30,50",1000,0,Xrad=60 um; sed =1095-1600
03/10/2015,BAS-SJR,BAS ,HER24-2A,50cm,340-830,Isla Hermite,Mo tube,2 cm,17.3,20,121.63,124.72,10,,"45,50,200","30,50",1000,0,Xrad=60 um; sed =320-835
02/10/2015,BAS-SJR,BAS ,3L-1A,50 cm,80-525,Macquarie Island,Mo tube,5 cm,21,6,125.63,134.45,10,,"45,50,200","30,50",500,0,Xrad=60 um; sed =30-530
02/10/2015,BAS-SJR,BAS ,3L-1B,50 cm,570-1055,Macquarie Island,Mo tube,1 cm,21,6,125.63,134.45,10,,"45,50,200","30,50",500,0,Xrad=60 um; sed =560-1060
02/10/2015,BAS-SJR,BAS ,3L-1C,50 cm,1100-1585,Macquarie Island,Mo tube,1 cm,21,6,125.63,134.45,10,,"45,50,200","30,50",500,0,Xrad=60 um; sed =1090-1590
03/09/2015,BAS-SJR,BAS ,Glass FAN 1-6 & YAN 1-6 XRF glass stds Mo-tube END,,,,Mo tube,OK,,,,,10,,-,"30,50",1000,1,Fan 1-6 and YAN 1-6 informal stds check; new glass ref settings made - similar to June 2014 settings file - MSE=1.70
03/09/2015,BAS-SJR,BAS ,Glass plexi square std,,,,Mo tube,OK,,,,,,,,,,,Glass plexi std ref - OK - weekly check done during new detector set up; XRAD ok - copy data
