"Site","label","depth","mean_age","GRD","DCMS","K","Ca","Lncoh_inc"
"HER14L_0ka","HER14L_2A",8.6,0.66452,0.8167,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",8.8,0.67886,0.9542,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",9,0.6932,0.8952,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",9.2,0.70754,0.7394,-2.4,NA,NA,NA
"HER14L_0ka","HER14L_2A",9.4,0.72188,0.6546,-2.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",9.6,0.73622,0.8306,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",9.8,0.75056,0.8473,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",10,0.76489,0.8082,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",10.2,0.77123,0.8556,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",10.4,0.77758,0.8167,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",10.6,0.78392,0.8074,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",10.8,0.79026,0.8014,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",11,0.7966,0.8487,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",11.2,0.80294,0.8611,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",11.4,0.80928,1.0078,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",11.6,0.81562,1.1056,-1.4,NA,NA,NA
"HER14L_0ka","HER14L_2A",11.8,0.82196,1.1303,-1.4,NA,NA,NA
"HER14L_0ka","HER14L_2A",12,0.8283,1.1903,-1.3,NA,NA,NA
"HER14L_0ka","HER14L_2A",12.2,0.83464,1.2167,-1.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",12.4,0.84098,1.299,-0.4,NA,NA,NA
"HER14L_0ka","HER14L_2A",12.6,0.84732,1.1998,1.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",12.8,0.85366,1.091,3.5,NA,NA,NA
"HER14L_0ka","HER14L_2A",13,0.86001,1.0371,5.4,NA,NA,NA
"HER14L_0ka","HER14L_2A",13.2,0.86635,1.0421,5.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",13.4,0.87269,0.9637,3.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",13.6,0.87903,0.9045,1.3,NA,NA,NA
"HER14L_0ka","HER14L_2A",13.8,0.88537,0.8382,-0.5,NA,NA,NA
"HER14L_0ka","HER14L_2A",14,0.89171,0.8637,-1.3,NA,NA,NA
"HER14L_0ka","HER14L_2A",14.2,0.89805,0.8362,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",14.4,0.90439,0.8537,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",14.6,0.91073,0.8205,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",14.8,0.91707,0.8184,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",15,0.92341,0.852,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",15.2,0.92975,0.8697,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",15.4,0.93609,0.8832,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",15.6,0.94244,0.8451,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",15.8,0.94878,0.8977,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",16,0.95512,0.8348,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2A",16.2,0.96146,0.8833,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",16.4,0.9678,0.8531,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",16.6,0.97414,0.8291,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2A",16.8,0.98048,0.8693,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",17,0.98682,0.8513,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",17.2,0.99316,0.8624,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",17.4,0.9995,0.8632,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",17.6,1.00584,0.8794,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",17.8,1.01218,0.8887,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",18,1.01852,0.898,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",18.2,1.02486,0.8835,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",18.4,1.03121,0.8426,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",18.6,1.03755,0.8482,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",18.8,1.04389,0.8317,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2A",19,1.05023,0.859,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",19.2,1.05657,0.8873,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",19.4,1.06291,0.8919,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",19.6,1.06925,0.8831,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",19.8,1.07559,0.8905,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",20,1.08193,0.8547,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",20.2,1.08923,0.8456,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",20.4,1.09653,0.8503,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",20.6,1.10384,0.8954,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",20.8,1.11114,0.9692,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",21,1.11844,0.9756,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",21.2,1.12574,0.9346,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",21.4,1.13304,0.9455,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",21.6,1.14034,0.9517,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",21.8,1.14764,1.0907,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",22,1.15495,1.0925,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",22.2,1.16225,0.8916,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",22.4,1.16955,0.8671,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",22.6,1.17685,0.8674,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",22.8,1.18415,0.9138,-1,NA,NA,NA
"HER14L_0ka","HER14L_2A",23,1.19145,0.947,-0.3,NA,NA,NA
"HER14L_0ka","HER14L_2A",23.2,1.19875,0.9282,-0.3,NA,NA,NA
"HER14L_0ka","HER14L_2A",23.4,1.20606,0.9952,-1,NA,NA,NA
"HER14L_0ka","HER14L_2A",23.6,1.21336,0.9892,-1.4,NA,NA,NA
