"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER49L","HER49L_1A","HER49L_1A_5",5.9,984.21,6.86,1,27428,65651,1.59,0.000810524346904421,0.00203670220504188,0.012531953363676,0.00143400461375397,0.00180809277386371,0.0491925930544298,NA,0.0029303572541929,0.00108069912920589,0.0409210881808924,NA,0.033543238356506,1,0.178003616185548,56682,5.61786339754816,0.178003616185548,0.350860974073313,-1.81694971805661,-2.16781069212993
"HER49L","HER49L_1A","HER49L_1A_6",6,987.78,6.91,1,27568,67333,1.38,0.00115445859872611,0.00216958598726115,0.0116441082802548,0.00141321656050955,0.000577229299363057,0.0472133757961783,NA,0.00270700636942675,0.00187101910828025,0.0369028662420382,NA,0.026671974522293,1,0.175179140127389,59041,5.70844222247472,0.175179140127389,0.428668005187828,-1.68026396500271,-2.10893197019054
"HER49L","HER49L_1A","HER49L_1A_7",6.1,991.35,6.94,1,27935,70025,1.34,0.000807881773399015,0.00191133004926108,0.0153694581280788,0.00252216748768473,0.00173399014778325,0.0678423645320197,0.00277832512315271,0.00293596059113301,0.000591133004926108,0.0370246305418719,0.00100492610837438,0.0288866995073892,1,0.170581280788177,59407,5.86230795887721,0.170581280788177,-0.277319285416234,-2.08458294118025,-1.80726365576402
"HER49L","HER49L_1A","HER49L_1A_8",6.2,994.92,6.96,1,28314,67974,1.4,0.00114850791302486,0.00128477156372272,0.0126725195149014,0.00140156897860661,0.000700784489303303,0.0479453388098343,NA,0.00221915088279379,0.0017130287516303,0.0336181892507446,NA,0.0144439469739736,1,0.166922972104884,59946,5.99078717201166,0.166922972104884,-0.0870113769896298,-2.28885490018214,-2.20184352319251
"HER49L","HER49L_1A","HER49L_1A_9",6.3,998.49,6.96,1,29022,70311,1.31,0.000895706208363657,0.00154882531862882,0.0121666759969397,0.00130623822053033,0.000261247644106067,0.0282334061094628,0.000223926552090914,0.00257515534904551,0.00330291664334098,0.0384034036835918,0.00251917371102278,0.0242960309018642,1,0.15859598051839,62088,6.3053300388281,0.15859598051839,0.170345365747239,-2.06120395413006,-2.23154931987729
"HER49L","HER49L_1A","HER49L_1A_10",6.4,1002.07,6.96,1,28846,69956,1.58,0.000779304708140883,0.000589230389082131,0.0108342361863489,0.00146357225675239,0.000627245252893882,0.0556727680523085,0.000627245252893882,0.00351637490258691,0.000703274980517382,0.0402957556404554,0.00250898101157553,0.0142555739294064,1,0.161316074585163,61098,6.19901025097207,0.161316074585163,-0.909818217368538,-2.91164915634345,-2.00183093897491
"HER49L","HER49L_1A","HER49L_1A_11",6.5,1005.64,6.97,1,28740,69432,1.5,0.00091823851245361,0.000210429659103952,0.0091441251865172,0.00101388835750086,0.00151126755174657,0.0592455140222673,0.00120518804759536,0.00304166507250258,0.00141561770669932,0.0356965221716341,0.000210429659103952,0.0167769828212878,1,0.165895091249952,60946,6.02790590405904,0.165895091249952,-1.57239664075375,-3.77171545969309,-2.19931881893933
"HER49L","HER49L_1A","HER49L_1A_12",6.6,1009.21,6.99,1,28448,70020,1.32,0.000878784984239182,0.000725952813067151,0.0113477887095234,0.00139459356194479,0.00116534530518674,0.0598720030566434,0.000382080427930079,0.00267456299551056,0.00116534530518674,0.0369089693380457,NA,0.0202693667016907,1,0.16246059795587,60849,6.15533866415804,0.16246059795587,-0.652873281422005,-2.74929315963626,-2.09641987821425
"HER49L","HER49L_1A","HER49L_1A_13",6.7,1012.78,7,1,28208,70723,1.41,0.000630167853801058,0.00137491168102049,0.0136918288234957,0.00158496763228751,0.00108847174747455,0.0706933755991369,0.000668359844940516,0.00276891935761071,0.00307445528672637,0.0306108808982756,NA,0.0183512517425096,1,0.163117994156625,60909,6.13053149145399,0.163117994156625,-0.142174488780543,-2.29840972158357,-2.15623523280302
"HER49L","HER49L_1A","HER49L_1A_14",6.8,1016.36,7,1,28308,73247,1.35,0.00115351340959339,0.00157646832644429,0.0135922330097087,0.00161491877343074,0.0030760357589157,0.121253484571758,0.00148034220897818,0.00255695472459867,0.00265308084206479,0.0303181774488128,0.000922810727674709,0.0205517639142555,1,0.164202633855619,60556,6.09003629551575,0.164202633855619,-0.0240975515790605,-2.15431141863232,-2.13021386705326
"HER49L","HER49L_1A","HER49L_1A_15",6.9,1019.93,6.99,1,28791,71947,1.39,0.00100563535282621,0.00144204314744891,0.0125040320285373,0.00259947251579606,0.00242870424833501,0.0851564427072463,0.00231485873669431,0.00449689770980779,0.00180255393431114,0.0305675198755289,NA,0.0202455268201051,1,0.168662125495702,61592,5.92901338733266,0.168662125495702,-0.589247585541794,-2.15999019421618,-1.57074260867438
"HER49L","HER49L_1A","HER49L_1A_16",7,1023.5,6.99,1,28920,71844,1.25,0.000819779032288115,0.00124829989007508,0.0129860451251095,0.00352132357051031,0.00167682074786205,0.0633651929275427,0.00229165502207814,0.00281333258807967,0.00104335513200306,0.0318409628677361,NA,0.0177929312689807,1,0.1608630037449,62307,6.21646977067408,0.1608630037449,-1.03705439566868,-2.34209279136956,-1.30503839570088
"HER49L","HER49L_1A","HER49L_1A_17",7.1,1027.07,7,1,29360,70930,1.4,0.000688443212493433,0.000670326285848869,0.00884106020254724,0.0004529231661141,NA,0.0266137652408645,0.00139500335163143,0.00414877620160516,0.00199286193090204,0.0323387140605468,NA,0.0147471782886751,1,0.155062775150823,63756,6.44900105152471,0.155062775150823,0.392042087776024,-2.57939749320892,-2.97143958098495
"HER49L","HER49L_1A","HER49L_1A_18",7.2,1030.64,7.01,1,29704,72462,1.4,0.000659842351178799,0.000267503655883297,0.00697292863002461,0.0015871883582409,0.000891678852944324,0.0367371687413061,NA,0.00429789207119164,0.00226486428647858,0.0307629204265792,0.00233619859471413,0.00907729072297321,1,0.155045118949959,64768,6.44973544973545,0.155045118949959,-1.78058616862993,-3.26065735888316,-1.48007119025323
"HER49L","HER49L_1A","HER49L_1A_19",7.3,1034.22,7,1,30699,73465,1.4,0.000799763548168368,0.00026079246135925,0.00725003042578716,0.000573743414990351,0.0003129509536311,0.0270007128327277,0.000817149712258984,0.00498982909400699,0.0030251925517673,0.0323730375367283,NA,0.011474868299807,1,0.153102560981971,66323,6.53156938451056,0.153102560981971,-0.78845736036427,-3.32503602069659,-2.53657866033232
