"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER49L","HER49L_1A","HER49L_1A_5",5.9,984.21,6.86,1,27428,65651,1.59,-0.787870508621031,0.857045527769821,1.07232686260347,-0.632190171258292,0.0697718303052343,-0.674722323007246,NA,-0.725023007182475,-0.984079421254264,-1.03360307780527,NA,2.15572136130961,NA,1.31376918203625,56682,5.61786339754816,0.178003616185548,0.350860974073313,-1.81694971805661,-2.16781069212993
"HER49L","HER49L_1A","HER49L_1A_6",6,987.78,6.91,1,27568,67333,1.38,0.192415438938653,0.985647393336022,0.83518799756805,-0.638409943938291,-0.728317213457583,-0.688281673517864,NA,-1.06653637318674,-0.224107387124479,-1.23729352337222,NA,1.38121231051106,NA,1.09730423919221,59041,5.70844222247472,0.175179140127389,0.428668005187828,-1.68026396500271,-2.10893197019054
"HER49L","HER49L_1A","HER49L_1A_7",6.1,991.35,6.94,1,27935,70025,1.34,-0.795402406531814,0.735713241359866,1.83020982206094,-0.306612512057289,0.0217238581181829,-0.54695525380184,0.706553442378759,-0.716455257557157,-1.45484641837068,-1.23112108569588,-0.752738566508169,1.63084972618498,NA,0.744929023905062,59407,5.86230795887721,0.170581280788177,-0.277319285416234,-2.08458294118025,-1.80726365576402
"HER49L","HER49L_1A","HER49L_1A_8",6.2,994.92,6.96,1,28314,67974,1.4,0.175454715950499,0.129344361870805,1.10987136015875,-0.641894893243366,-0.648204312689813,-0.683267093626954,NA,-1.81248895599433,-0.376030982497565,-1.40379933865103,NA,0.00290429642618829,NA,0.464560005464521,59946,5.99078717201166,0.166922972104884,-0.0870113769896298,-2.28885490018214,-2.20184352319251
"HER49L","HER49L_1A","HER49L_1A_9",6.3,998.49,6.96,1,29022,70311,1.31,-0.545084041925194,0.384889507588073,0.974763152685521,-0.670417797128346,-0.933198991424837,-0.818310886122054,-1.15372085666201,-1.26814240590356,1.15280590268005,-1.16122875026835,0.197387043444529,1.1134027950262,NA,-0.173612073433515,62088,6.3053300388281,0.15859598051839,0.170345365747239,-2.06120395413006,-2.23154931987729
"HER49L","HER49L_1A","HER49L_1A_10",6.4,1002.07,6.96,1,28846,69956,1.58,-0.876853135404162,-0.543784376211698,0.618875317846217,-0.623343550751252,-0.695886984310931,-0.630327518040762,-0.859998717162689,0.171023855808379,-1.34701064607848,-1.06530223870961,0.190991560458488,-0.0183285701124779,NA,0.0348531408470117,61098,6.19901025097207,0.161316074585163,-0.909818217368538,-2.91164915634345,-2.00183093897491
"HER49L","HER49L_1A","HER49L_1A_11",6.5,1005.64,6.97,1,28740,69432,1.5,-0.480862171179463,-0.910379003031167,0.167455344060323,-0.757888695422315,-0.122688960506891,-0.605851117236303,-0.439104288439275,-0.554828437622882,-0.662021572098485,-1.29844513842655,-1.25125110973298,0.265877371420805,NA,0.385784272928016,60946,6.02790590405904,0.165895091249952,-1.57239664075375,-3.77171545969309,-2.19931881893933
"HER49L","HER49L_1A","HER49L_1A_12",6.6,1009.21,6.99,1,28448,70020,1.32,-0.593313138436727,-0.411467561506698,0.756042561046337,-0.643981933596529,-0.346984148960036,-0.601559125352769,-1.03854321999625,-1.11614372460716,-0.902683621774646,-1.23698414714462,NA,0.65952881451734,NA,0.122568235938026,60849,6.15533866415804,0.16246059795587,-0.652873281422005,-2.74929315963626,-2.09641987821425
"HER49L","HER49L_1A","HER49L_1A_13",6.7,1012.78,7,1,28208,70723,1.41,-1.30192496758789,0.216579892446846,1.38212364501531,-0.587022129435176,-0.396828786839192,-0.527423361480508,-0.830056475663506,-0.971868680169886,0.93311736322315,-1.55624486993153,NA,0.443324425892229,NA,0.172950405265105,60909,6.13053149145399,0.163117994156625,-0.142174488780543,-2.29840972158357,-2.15623523280302
"HER49L","HER49L_1A","HER49L_1A_14",6.8,1016.36,7,1,28308,73247,1.35,0.189721448387575,0.411641774234614,1.35552211431503,-0.578060766520278,0.89190314336288,-0.181042873660578,-0.238719657593744,-1.29597196442412,0.527923514758335,-1.57108250133849,-0.804262456020902,0.691359814218251,NA,0.256076077288662,60556,6.09003629551575,0.164202633855619,-0.0240975515790605,-2.15431141863232,-2.13021386705326
