"depth","label","MSE","cps","kcps","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
11,"A",1.31,49880,18181,0.681564245810056,0.458100558659218,1.87150837988827,1,0.849162011173184,45.8379888268156,0.558659217877095,1.15642458100559,18.3854748603352,0.921787709497207,3.8268156424581,166.68156424581,28.6703910614525,34968,5.81371784879189,0.172006971443893,-0.780666558576502,-1.40741128456081,-0.626744725984312
12,"A",1.45,44628,16596,0.893333333333333,0.72,4.38666666666667,1,1.44,78.0133333333333,1.54666666666667,1.98666666666667,43.24,1.45333333333333,6,368.466666666667,65.1333333333333,32520,5.65711361310133,0.176768590555455,-0.328504066972036,-1.8070737042011,-1.47856963722906
13,"A",1.35,44476,16084,0.7,0.763636363636364,3.72727272727273,1,0.954545454545455,66.6272727272727,0.436363636363636,1.11818181818182,26.7818181818182,1.64545454545455,6.18181818181818,238.254545454545,42.2636363636364,30857,5.63734136373414,0.177388583638584,-0.269663566949103,-1.58534036085504,-1.31567679390594
14,"A",1.42,44600,16223,0.852459016393443,0.467213114754098,3.02459016393443,1,0.926229508196721,57.3606557377049,0.336065573770492,1.4672131147541,25.3524590163934,0.967213114754098,4.85245901639344,216.975409836066,38.7868852459016,31203,5.59404057480981,0.178761663707453,-0.760969776898706,-1.86774537620598,-1.10677559930727
15,"A",1.4,48427,16870,0.94047619047619,1.66666666666667,5.19047619047619,1,1.78571428571429,107.892857142857,1.80952380952381,2.13095238095238,39.4404761904762,2.94047619047619,7.95238095238095,327.75,57.6904761904762,32377,5.6811803549319,0.176019759543787,0.510825623765991,-1.13599982073973,-1.64682544450572
16,"A",1.13,44532,16085,1.07843137254902,0.950980392156863,3.43137254901961,1,0.941176470588235,62.2352941176471,0.92156862745098,1.34313725490196,31.1862745098039,1.49019607843137,8.38235294117647,263.480392156863,46.7352941176471,31642,5.63771764212293,0.177376744186047,-0.0502618347808883,-1.28322217598008,-1.23296034119919
17,"A",1.31,44776,16366,1.18,0.65,3.67,1,0.93,57.16,0.57,1.47,32.82,NA,9.54,272.68,47.07,31975,5.79307414489059,0.17261992078627,-0.430782916092454,-1.73097457815893,-1.30019166206648
18,"A",1.33,47047,16696,0.9375,0.65625,3.4375,1,1.54166666666667,67.84375,0.885416666666667,2,37.90625,1.55208333333333,8.61458333333333,292.895833333333,54.53125,33353,5.37115568290353,0.186179671384878,-0.421213465076304,-1.65595792806899,-1.23474446299269
19,"A",1.27,47641,16936,0.742647058823529,0.632352941176471,3.07352941176471,1,1.04411764705882,53.8897058823529,1.11029411764706,1.19117647058824,26.0661764705882,1.39705882352941,6.61764705882353,205.617647058824,36.1102941176471,32875,5.69415597637956,0.175618652553283,-0.458307589482544,-1.58113413627125,-1.1228265467887
20,"A",1.18,46327,16562,1.63157894736842,0.671052631578947,6.72368421052632,1,1.86842105263158,88.5526315789474,0.723684210526316,2.11842105263158,44.9605263157895,1.72368421052632,10.3552631578947,364.25,63.0657894736842,32476,5.77571458376799,0.173138749412997,-0.398907707562005,-2.30454395747938,-1.90563624991737
21,"A",1.25,42856,15674,0.228187919463087,0.144295302013423,0.879194630872483,1,0.516778523489933,15.7818791946309,0.191275167785235,0.63758389261745,10.4496644295302,0.610738255033557,1.54362416107383,91.8590604026846,15.6610738255034,32041,5.86543818298693,0.17049024621904,-1.93589337081184,-1.80714438806753,0.128748982744308
22,"A",1.36,44760,16295,0.886363636363636,0.954545454545455,3.31818181818182,1,3.92045454545455,65.75,0.727272727272727,1.39772727272727,35.4090909090909,2.42045454545455,6.77272727272727,317.568181818182,51.6136363636364,32488,6.15279612505504,0.162527732054677,-0.0465200156348928,-1.24593700342497,-1.19941698779008
23,"A",1.29,46542,16620,2.70454545454545,2.15909090909091,8.36363636363636,1,6.68181818181818,151.295454545455,2.97727272727273,2.22727272727273,77.8636363636364,3.38636363636364,13.9090909090909,644.068181818182,112.795454545455,33302,5.71005440257909,0.175129679946364,0.76968725768228,-1.35420604656839,-2.12389330425067
24,"A",1.2,52423,17745,1.48,1.26666666666667,4.74666666666667,1,2.78666666666667,137.986666666667,1.08,1.77333333333333,49.3733333333333,2.4,9.30666666666667,394.586666666667,66.3866666666667,34573,5.94376380799357,0.168243562884368,0.23638877806423,-1.32105383925149,-1.55744261731572
25,"A",1.2,57926,19359,1.19047619047619,1.11428571428571,3.80952380952381,1,1.63809523809524,132.085714285714,1.34285714285714,1.57142857142857,38.3714285714286,0.533333333333333,7.6,293.380952380952,49.0476190476191,35955,5.98155339805825,0.167180652491479,0.108213584640233,-1.22929061231023,-1.33750419695046
26,"A",1.4,54196,19163,0.459546925566343,0.26537216828479,1.33980582524272,1,0.508090614886731,28.7346278317152,0.13915857605178,0.475728155339806,12.5825242718447,0.741100323624595,2.43042071197411,102.304207119741,17.453074433657,37005,5.8616725384758,0.17059977223839,-1.32662202963349,-1.61914672656106,-0.292524696927569
27,"A",1.34,53809,19345,0.724358974358974,0.448717948717949,2.85897435897436,1,0.967948717948718,53.3653846153846,0.955128205128205,1.36538461538462,27.5192307692308,1.30128205128205,4.94871794871795,203.262820512821,34.5961538461538,37106,5.87530109319993,0.170204043016178,-0.801360765200178,-1.85182370997071,-1.05046294477053
28,"A",1.31,53059,19212,0.642857142857143,0.186813186813187,2.3956043956044,1,0.807692307692308,44.8241758241758,0.868131868131868,1.26373626373626,23.8076923076923,0.423076923076923,4.00549450549451,171.505494505495,29.1318681318681,36516,5.88721237268955,0.169859678349459,-1.67764616246063,-2.55128171873287,-0.873635556272239
