"depth","label","MSE","cps","kcps","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
11,"A",1.31,49880,18181,-0.940811478517519,-0.14023394040933,-1.30319443072467,NA,0.265051391679458,-0.12652360106347,-0.503773104841363,-0.616929873853586,-0.392762606430912,0.128863935217758,-1.06549550098191,-0.851231424066932,-0.905986472820473,34968,5.81371784879189,0.172006971443893,-0.780666558576502,-1.40741128456081,-0.626744725984312
12,"A",1.45,44628,16596,-0.597098719584066,0.701384082379749,0.246601690660608,NA,1.29841705939274,0.976276959347976,0.588422198633366,0.00905239374284421,0.579333056151998,0.627991621065294,-0.247756083058019,0.0362243905557092,0.0843962541319894,32520,5.65711361310133,0.176768590555455,-0.328504066972036,-1.8070737042011,-1.47856963722906
13,"A",1.35,44476,16084,-0.90690655355134,0.810904943151503,-0.0497628479330069,NA,0.493942667898161,0.649095482867207,-0.768760988037022,-0.655832434913124,0.0348140652197671,0.764099969132739,-0.193474318164081,-0.451557296137366,-0.437617754261323,30857,5.63734136373414,0.177388583638584,-0.269663566949103,-1.58534036085504,-1.31567679390594
14,"A",1.42,44600,16223,-0.656594269256485,-0.103571973176817,-0.429834218079567,NA,0.435023701484426,0.338526305352411,-1.04887812292581,-0.341570921660127,-0.0275300709158348,0.181598371428005,-0.633734544875191,-0.556221498263648,-0.541227590465436,31203,5.59404057480981,0.178761663707453,-0.760969776898706,-1.86774537620598,-1.10677559930727
15,"A",1.4,48427,16870,-0.53176993773614,2.26364324341833,0.552723516960416,NA,1.71942534522031,1.64873917885926,0.756771203378325,0.0901577022643104,0.474788616359148,1.40053956034161,0.264481825909919,-0.0947788609604897,-0.0620594077197475,32377,5.6811803549319,0.176019759543787,0.510825623765991,-1.13599982073973,-1.64682544450572
16,"A",1.13,44532,16085,-0.357891360937903,1.21928125797737,-0.200255790657988,NA,0.46634584885309,0.507676522328869,0.0330778259884536,-0.443783301929259,0.207879316251053,0.655450696399647,0.360228775070293,-0.338968245781932,-0.316232417050603,31642,5.63771764212293,0.177376744186047,-0.0502618347808883,-1.28322217598008,-1.23296034119919
17,"A",1.31,44776,16366,-0.243552746479196,0.511010656082444,-0.0779362400786574,NA,0.442972380927003,0.331258987490863,-0.482218413936288,-0.339375701808982,0.265918276085271,NA,0.595453373779559,-0.300573161846102,-0.307619417072641,31975,5.79307414489059,0.17261992078627,-0.430782916092454,-1.73097457815893,-1.30019166206648
18,"A",1.33,47047,16696,-0.535796349523689,0.528822444085494,-0.197009789045277,NA,1.43189698107876,0.68661809757877,-0.00984439668281424,0.0167903219191542,0.429688966668995,0.70005799741221,0.409919112592572,-0.220563161814638,-0.13003220638624,33353,5.37115568290353,0.186179671384878,-0.421213465076304,-1.65595792806899,-1.23474446299269
19,"A",1.27,47641,16936,-0.831778397122151,0.45977849590418,-0.400631390335383,NA,0.66943279051045,0.209078754683272,0.232896843747306,-0.582678332700136,0.00402741584667635,0.584699640868071,-0.0695979061241671,-0.616371195754431,-0.627529054708942,32875,5.69415597637956,0.175618652553283,-0.458307589482544,-1.58113413627125,-1.1228265467887
20,"A",1.18,46327,16562,0.168077695193984,0.570340544070705,1.02359960558461,NA,1.80801003127168,1.23906885825198,-0.226180919381643,0.0833348222728473,0.62368513521142,0.815018345904731,0.744556895733846,0.0233479328924384,0.0454627097170628,32476,5.77571458376799,0.173138749412997,-0.398907707562005,-2.30454395747938,-1.90563624991737
21,"A",1.25,42856,15674,-2.33083529743121,-2.29047798682823,-2.67772715929636,NA,-0.706656898734505,-2.33776079180364,-1.65335930994349,-1.30570086836437,-1.03497744808879,-0.322407980644234,-2.71633383479706,-1.51780883324091,-1.63580855544301,32041,5.86543818298693,0.17049024621904,-1.93589337081184,-1.80714438806753,0.128748982744308
22,"A",1.36,44760,16295,-0.607048585766887,1.22624597196793,-0.261284011745974,NA,3.25806014394151,0.621608092413584,-0.220875638912855,-0.397696415809779,0.352227069977097,1.18718944974896,-0.0274787557204341,-0.130084647219216,-0.196399593934178,32488,6.15279612505504,0.162527732054677,-0.0465200156348928,-1.24593700342497,-1.19941698779008
23,"A",1.29,46542,16620,0.810085165202228,2.74546696952951,1.42069287182454,NA,4.30127550443789,2.34989714361987,1.29084034882592,0.14129919087116,1.24792115092723,1.55531529887664,1.28104340797714,0.660988518530184,0.74717621269358,33302,5.71005440257909,0.175129679946364,0.76968725768228,-1.35420604656839,-2.12389330425067
