"depth","label","MSE","cps","kcps","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca","cps_sum_all","cps_sum_filtered"
11,"A",1.31,49880,18181,0.244587008821171,0.16439454691259,0.671611868484362,0.358861267040898,0.304731355252606,16.4494787489976,0.200481154771451,0.414995990376905,6.59783480352847,0.330793905372895,1.37329591018444,59.8155573376103,10.2886928628709,5.81371784879189,0.172006971443893,-0.780666558576502,-1.40741128456081,-0.626744725984312,100,97.2153167602246
12,"A",1.45,44628,16596,0.15012996325177,0.121000268889486,0.737205341937797,0.168055929013176,0.242000537778973,13.1106032087479,0.259926503540378,0.333871112306175,7.26673837052971,0.244241283499149,1.00833557407905,61.9230079770548,10.9460428430582,5.65711361310133,0.176768590555455,-0.328504066972036,-1.8070737042011,-1.47856963722906,100,96.5111589136865
13,"A",1.35,44476,16084,0.173127079773361,0.188865905207303,0.921845489702311,0.24732439967623,0.236082381509128,16.4785502293372,0.107923374404173,0.276553646910693,6.62379710405612,0.406961057649069,1.52891447072578,58.9261624246785,10.4528284917708,5.63734136373414,0.177388583638584,-0.269663566949103,-1.58534036085504,-1.31567679390594,100,96.5689360554007
14,"A",1.42,44600,16223,0.233183856502242,0.12780269058296,0.827354260089686,0.273542600896861,0.253363228699552,15.6905829596413,0.0919282511210762,0.401345291479821,6.93497757847534,0.26457399103139,1.32735426008969,59.3520179372197,10.609865470852,5.59404057480981,0.178761663707453,-0.760969776898706,-1.86774537620598,-1.10677559930727,100,96.3878923766816
15,"A",1.4,48427,16870,0.163132137030995,0.289094926384042,0.900324199310302,0.173456955830425,0.309744563982902,18.7147665558469,0.313874491502674,0.369628513019597,6.84122493650236,0.510046048691845,1.37939579160386,56.8505172734219,10.0068143804076,5.6811803549319,0.176019759543787,0.510825623765991,-1.13599982073973,-1.64682544450572,100,96.8220207735354
16,"A",1.13,44532,16085,0.247013383634241,0.217820892841103,0.785951675199856,0.229048773915387,0.215575316626246,14.2549178119105,0.211084164196533,0.307643941435372,7.14317793945926,0.341327584658223,1.91996766370251,60.3498607742747,10.704661816222,5.63771764212293,0.177376744186047,-0.0502618347808883,-1.28322217598008,-1.23296034119919,100,96.928051738076
17,"A",1.31,44776,16366,0.263534036090763,0.14516705377881,0.819635519028051,0.223333928890477,0.207700553868144,12.7657673753797,0.127300339467572,0.328300875469001,7.32981954618546,0,2.13060568161515,60.8986957298553,10.5123280328748,5.79307414489059,0.17261992078627,-0.430782916092454,-1.73097457815893,-1.30019166206648,100,95.7521886725031
18,"A",1.33,47047,16696,0.191298063638489,0.133908644546942,0.701426233341127,0.204051267881055,0.314579037983293,13.8436032053053,0.180670393436351,0.40810253576211,7.73481837311625,0.316704572023721,1.75781665143367,59.7657661487449,11.1271707016388,5.37115568290353,0.186179671384878,-0.421213465076304,-1.65595792806899,-1.23474446299269,100,96.679915828852
19,"A",1.27,47641,16936,0.212002266954934,0.180516781763607,0.877395520664973,0.28546839906803,0.29806259314456,15.3838080644823,0.316953884259356,0.340043240066329,7.44106966688357,0.398816145756806,1.88912911147961,58.6973405260175,10.3083478516404,5.69415597637956,0.175618652553283,-0.458307589482544,-1.58113413627125,-1.1228265467887,100,96.6289540521819
20,"A",1.18,46327,16562,0.267662486239126,0.110086990308028,1.10302847151769,0.164051201243335,0.306516718112548,14.5271655837848,0.118721264057677,0.347529518423382,7.37582835063786,0.282772465301012,1.69879336024349,59.7556500528849,10.3460185205172,5.77571458376799,0.173138749412997,-0.398907707562005,-2.30454395747938,-1.90563624991737,100,96.4038249832711
21,"A",1.25,42856,15674,0.15867089789061,0.100336008960239,0.611349635990293,0.695351876050028,0.359342915811088,10.9739593055815,0.133003546761247,0.443345155870823,7.26619376516707,0.424677991413104,1.07336195631884,63.8743699831995,10.8899570655217,5.86543818298693,0.17049024621904,-1.93589337081184,-1.80714438806753,0.128748982744308,100,97.0039201045361
22,"A",1.36,44760,16295,0.17426273458445,0.187667560321716,0.65236818588025,0.196604110813226,0.770777479892761,12.9267202859696,0.142984807864164,0.274798927613941,6.96157283288651,0.475871313672922,1.33154602323503,62.4352100089366,10.1474530831099,6.15279612505504,0.162527732054677,-0.0465200156348928,-1.24593700342497,-1.19941698779008,100,96.677837354781
23,"A",1.29,46542,16620,0.255683038975549,0.204116711787203,0.790683683554639,0.0945382665119677,0.631687508057239,14.3032100038675,0.281466202569722,0.210562502685746,7.36109320613639,0.320140947960981,1.31494134330282,60.8890894246057,10.6634867431567,5.71005440257909,0.175129679946364,0.76968725768228,-1.35420604656839,-2.12389330425067,100,97.3206995831722
24,"A",1.2,52423,17745,0.211739122141045,0.181218167598192,0.679091238578487,0.143066974419625,0.398679968716022,19.7413349102493,0.154512332373195,0.253705434637468,7.06369341701162,0.3433607386071,1.33147664193198,56.4523205463251,9.49773954180417,5.94376380799357,0.168243562884368,0.23638877806423,-1.32105383925149,-1.55744261731572,100,96.4519390343933
25,"A",1.2,57926,19359,0.215792562925111,0.201981838897904,0.690536201360356,0.181265752857094,0.296930566584953,23.942616441667,0.243414010979526,0.284846183061147,6.95542588820219,0.0966750681904499,1.37761972171391,53.1799192072644,8.89065359251459,5.98155339805825,0.167180652491479,0.108213584640233,-1.22929061231023,-1.33750419695046,100,96.5576770362186
