Site,Section,ID,filename,position_mm,Section_depth_cm,Field_depth_cm,Strat_depth_cm,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo_coh
HER14L,HER14L_2A,HER14L_2A_1,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000000.spe,316,1.5,1.5,1.5,114.95,206.6,162.93,161.68,6.62,1,0.018359,-0.018,0.007267,0.110437,25331,1.36,0,14,9,19,46,32,111,66,513,100,23,22,160,7321,53,227,45,15,0,104,1944,6,1397,0,965,0,19,0,0,12,0,0,0,0,0,168,0,0,94,45,9,0,44375,7798
HER14L,HER14L_2A,HER14L_2A_2,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000001.spe,317,1.6,1.6,1.6,122.74,213.55,170.07,168.88,6.64,1,0.018359,-0.018,0.007324,0.110437,25557,1.37,0,0,0,0,36,27,115,46,671,103,0,0,69,6232,0,180,90,84,0,102,1991,76,2041,0,674,0,0,5,0,23,6,0,0,0,0,0,39,72,30,104,20,0,44676,8052
HER14L,HER14L_2A,HER14L_2A_3,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000002.spe,318,1.7,1.7,1.7,130.23,220.04,177.27,176.08,6.65,1,0.01836,-0.018,0.007262,0.110437,25943,1.35,0,9,0,0,48,30,104,55,820,161,11,4,173,9567,102,220,89,84,0,6,1752,112,1983,0,870,5,0,0,0,81,58,0,0,0,0,6,9,29,96,57,0,1.29E+15,44092,7895
HER14L,HER14L_2A,HER14L_2A_4,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000003.spe,319,1.8,1.8,1.8,137.69,227.03,184.47,183.27,6.66,1,0.018362,-0.018,0.007226,0.110437,25354,1.27,0,20,10,22,29,25,111,94,562,200,10,15,113,9209,58,132,69,46,0,48,1586,0,1675,0,725,0,0,0,0,63,150,0,0,0,0,19,54,51,70,101,18,1.26E+15,42703,7693
HER14L,HER14L_2A,HER14L_2A_5,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000004.spe,320,1.9,1.9,1.9,145.24,234.4,191.57,190.47,6.69,1,0.018364,-0.018,0.007212,0.110437,25677,1.42,0,4,20,0,11,29,140,54,872,98,10,0,124,8330,57,151,0,68,0,100,1981,90,1697,0,993,0,7,0,0,75,71,0,0,0,0,89,115,0,0,120,16,0,42771,7729
HER14L,HER14L_2A,HER14L_2A_6,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000005.spe,321,2,2,2,152.62,240.95,198.77,197.67,6.72,1,0.018358,-0.018,0.007137,0.110437,25548,1.25,33,29,44,46,48,36,124,64,832,107,6,36,147,11142,12,168,105,71,0,27,1836,0,1989,0,927,0,0,0,8,0,33,0,0,14,0,201,19,0,144,87,18,0,41715,7734
HER14L,HER14L_2A,HER14L_2A_7,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000006.spe,322,2.1,2.1,2.1,160.16,247.79,206.02,204.86,6.74,1,0.01836,-0.018,0.007128,0.110437,25227,1.51,0,16,18,12,41,23,127,34,596,176,20,4,149,10820,174,111,82,93,0,68,1652,79,1787,0,752,0,0,0,0,62,0,0,0,141,0,89,115,0,77,55,13,1.40E+15,40711,7979
HER14L,HER14L_2A,HER14L_2A_8,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000007.spe,323,2.2,2.2,2.2,167.77,254.9,213.2,212.06,6.75,1,0.018355,-0.018,0.007068,0.110437,25500,1.31,29,24,31,0,39,43,120,40,442,157,12,0,90,9376,52,194,9,59,0,0,1834,25,1595,0,912,0,0,0,4,13,96,0,0,0,0,131,146,29,60,77,24,2.08E+15,42104,8031
HER14L,HER14L_2A,HER14L_2A_9,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000008.spe,324,2.3,2.3,2.3,175.31,261.48,220.34,219.26,6.76,1,0.018357,-0.018,0.0071,0.110437,25948,1.44,0,29,19,4,34,34,143,36,413,175,17,0,85,8142,82,136,0,70,0,0,1918,0,1481,0,1196,0,0,0,0,45,0,0,0,0,0,76,0,0,5,31,0,3.19E+14,43091,8342
HER14L,HER14L_2A,HER14L_2A_10,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000009.spe,325,2.4,2.4,2.4,182.85,268.33,227.48,226.45,6.77,1,0.01836,-0.018,0.007128,0.110437,27986,1.26,17,7,9,18,44,32,128,49,505,84,0,0,74,6601,132,152,106,41,0,84,2145,35,1579,0,1138,0,0,0,0,45,67,0,0,0,0,222,174,0,0,13,15,0,46997,8424
HER14L,HER14L_2A,HER14L_2A_11,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000010.spe,326,2.5,2.5,2.5,190.66,275.18,234.71,233.65,6.79,1,0.018362,-0.018,0.007112,0.110437,28354,1.42,0,13,0,0,38,34,153,26,479,127,0,7,53,7337,101,160,152,12,0,209,2222,121,1128,0,949,0,0,0,0,0,9,0,64,0,0,239,217,0,28,20,0,2.93E+15,48380,8271
HER14L,HER14L_2A,HER14L_2A_12,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000011.spe,327,2.6,2.6,2.6,198.01,282.23,241.86,240.85,6.79,1,0.01836,-0.018,0.007145,0.110437,27550,1.64,0,25,7,31,38,46,182,31,606,66,0,18,41,6197,0,109,38,0,0,72,2091,123,1190,0,947,0,13,0,0,59,0,0,0,0,0,9,23,0,38,73,16,0,49026,8199
HER14L,HER14L_2A,HER14L_2A_13,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000012.spe,328,2.7,2.7,2.7,205.16,289.17,249.03,248.04,6.79,1,0.018354,-0.018,0.007145,0.110437,27949,1.26,9,11,34,10,53,42,169,38,591,81,0,15,29,6388,0,153,157,152,0,0,1966,108,1225,0,1113,0,0,0,0,19,153,4,0,0,0,174,94,0,123,122,18,1.61E+15,49200,8258
